Gothic Rock,Darkwave,Doom Metal,Symphonic Metal,Post-Punk,Gothic Metal,Progressive Rock,Folk Metal,Heavy Metal,Thrash Metal,Power Metal,Melodic Death Metal,Industrial,Death Metal,Electronic,Punk,Alternative,Indie,Rock,Metal,Parody,Trance,R&B,Pop,Rap,Hard Rock,Grindcore,Synthwave,Dream Pop,Gothic,Jazz,Folk Rock,Experimental,New Wave,Alternative Rock,Grunge,Emo,Trap,Nu Metal,Synthpop,Progressive Metal,Black Metal,Shoegaze,Neofolk,Post-Metal,Progressive,EBM,Futurepop,Hardcore,Goth Rock,Indie Rock,Dance,Soul,Latin,Synth-pop,Indie Pop,Ambient,K-Pop,Hip-Hop,Teen Pop,Psychedelic,Blues,Folk,Electro Pop,Pop Rock,Punk Rock,Hip Hop,Classic Rock,Sertanejo,Baroque,Alternative Pop,Jewish Folk,Post-Rock,Pop Punk,Post-Hardcore,Techno,House,Stoner Rock,Surf,Reggae,Garage Rock,Art Rock,Baroque Pop,Trip Hop,Britpop,Blues Rock,Soft Rock,Indie Folk,Latin Folk,Latin Rock,Garage,user_id
,,,,,,,,,,,,,,0.8,0.6,0.9,0.5,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4247
,,,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248
0.9,0.8,,0.6,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249
0.9,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251
0.7,,,,,,0.8,,,,,,0.8,,,,,,,0.9,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252
,,,,,,,,,,,,,,,,0.6,,,0.5,,,,,0.9,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4253
,0.7,,,0.6,,,,,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4255
,,,,,,,,,,0.7,,0.8,,,,,,,,,,,0.5,,,,,,,,,,,0.6,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4256
0.9,0.7,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4257
,0.7,,,,0.9,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4258
0.8,0.6,0.7,,0.7,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4259
,,,,0.7,,,,,,,,,,,,0.9,,0.8,,,,,,,,,,,,,,,0.6,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4260
0.8,0.8,,,,,,,,,,,,,0.7,,,,,,,,,0.6,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4261
0.8,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4262
0.8,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4263
,,,,,,,,,,,,,,,,0.5,,0.9,0.8,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4264
0.6,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4265
,,,,,,,,,,,,0.9,,0.8,,,,,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4266
,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4267
,,,,,,,,,,,,,,0.6,,0.8,,0.9,0.7,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4268
,,,,,,,,,,,,0.7,,,0.9,,,,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4269
,,,,,,,,,,,,,,,,0.8,,0.9,0.5,,,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4271
,0.8,,,,,,,,,,,0.9,,0.7,,,,,0.6,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4272
,,,,0.9,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4273
,,,,,,,,,,,,,,0.7,,,0.6,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4274
,,,,,,,,,,,,,,0.7,,0.6,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4275
,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4276
,,,,,,,,,,,,,,0.6,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4277
,,,,,,,,,,,,,,,,0.6,0.5,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4278
,,,,,,,,,,,,,,,,,,0.5,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4279
,,,,,,,,,,,,,,0.7,,,,,,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4280
,,,,,,,,,,,,0.9,,0.8,0.6,,,,,,,,,,,,,,0.7,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4281
,,,,,,,,,,,,,,0.8,,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4282
,,,,,,,,,,,,,,0.7,,0.8,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4283
,,,0.6,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4284
,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4285
,,,,,,,,,,,,,,0.5,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4286
,,,,,,,,,,,,,,,,,,,,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4287
,,,,,,,,,,,,,,0.7,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4288
,,,,,,,,,,,,,,,,0.8,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4289
,,,,,,,,,,,,,,0.4,,,,0.9,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4290
,,,,,,,,,,,,,,,,0.8,0.9,0.7,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4291
,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,0.7,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4292
,,,,,,,,,,,,,,,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4293
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,4295
,,,,,,,,,,,,,,,,,0.5,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,4296
,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,0.5,,,,,,,,,,,,,,,,,,,,4297
,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,4298
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,4299
,,,,,,,,,,,,,,,,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,4300
,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,4301
,,,,,,,,,,,,,,0.8,,,0.6,,,,,,0.6,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4302
,,,,,,,,,,,,,,,,0.8,,0.9,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4303
,,,,,,,,,,,,,,,,0.8,,0.9,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.7,,,,,,,,,,,,,,4304
,,,,,,,,,,,,,,,0.8,0.9,,0.9,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,4305
,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4306
,,,,,,,,,,,,,,,0.8,0.9,0.7,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4307
,,,,,,,,,,,,,,,,0.8,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,4308
,,,,,,,,,,,,,,0.5,,0.9,0.8,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4309
,,,,,,,,,,,,,,,,0.8,0.9,0.7,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4310
,,,,,,,,,,,,,,,,0.6,,0.9,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.5,,,,,,,,,,,,4311
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,4312
,,,,,,,,,,,,,,,,0.9,0.9,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4313
,,,,,,,,,,,,,,,0.6,0.9,0.8,0.8,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4314
,,,,0.5,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,4315
,,,,,,,,,,,,,,,,0.8,0.9,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4317
,,,,,,,,,,,,,,0.8,,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,4318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,4320
,,,,,,,,,,,,,,0.8,,0.7,0.9,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,4321
,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.6,,,,,,,,0.5,0.9,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4322
,,,,,,,,,,,,,,0.5,,0.8,0.9,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.8,0.7,0.5,,,,,4324
,,,,,,,,,,,,,,,,0.8,0.7,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,4325
,,,,,,0.9,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4326
,,,,,,,,,,,,,,,,0.8,,0.8,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,4328
,,,,,,,,,,,,,,0.5,,0.8,,0.9,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4329
,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0.5,,4330
,,,,,,,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,4331
,,,,,,,,,,,,,,,,0.8,0.9,0.8,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,4332
,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,4333
,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.8,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,4334
,,,,,,,,,,,,,,,0.5,0.8,0.6,0.9,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4336
,,,,,,,,,,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,4337
,,,,,,,,,,,,,,0.7,,,0.8,,,,,,0.9,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4338
,,,,,,,,,,,,,,,0.6,0.8,0.7,0.9,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4339
,,,,,,,,,,,,,,,,0.7,,0.9,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,0.6,,,,,,,,,,,,4340
,,,,,,,,,,,,,,,,0.8,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4342
,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.6,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,4343
,,,,,,,,,,,,,,0.8,,,0.6,0.5,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4345
,,,,,,,,,,,,,,0.6,,0.9,,0.7,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4346
