Rock,Metal,Electronic,Alternative,Rap,Gothic Metal,Psychedelic Rock,Grunge,Symphonic Metal,Gothic Rock,Alternative Metal,Industrial Rock,Darkwave,Alternative Rock,Pop,Soul,Classic Rock,Adult Contemporary,Doom Metal,Progressive Metal,Metalcore,Post-Hardcore,Screamo,R&B,Indie,Hip-Hop,Death Metal,Folk Metal,Post-Punk,Progressive,Stoner Rock,Hard Rock,Glam Metal,Classical,Ambient,Punk,Emo,Heavy Metal,Visual Kei,J-Rock,Video Game Music,Pop Rock,Latin,Soft Rock,Celtic,J-Pop,K-Pop,Dance,Film Score,Indie Rock,Art Rock,Experimental,Post-Rock,Experimental Rock,Trip Hop,Hip Hop,Synthwave,Psytrance,Garage Rock,Brazilian Music,Black Metal,Punk Rock,Industrial,Blackgaze,Nordic Folk,Power Metal,Meditation,Shoegaze,Dream Pop,Gothic,Progressive Rock,Funk Rock,Latin Rock,Folk,Britpop,MPB (Brazilian Popular Music),Reggaeton,Jazz,Regional Mexican,New Wave,Reggae,Psychedelic,Psychedelic Pop,Indie Pop,Thrash Metal,Pop Punk,Lo-Fi,Post-Punk Revival,Surf Punk,Garage,user_id
,,0.9,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4885
0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4886
0.8,0.6,,0.7,0.9,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4888
0.7,0.5,0.6,0.9,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4889
,,,,,,0.8,,,,,,,0.8,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4890
,,,0.8,,,,,,,,,,,,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4891
,,,,,,,,,,,,,0.8,,,,,,,,,,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4892
,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.6,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4893
,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.7,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,4894
,,,,,,,,0.6,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4895
,,,,,,,,,0.8,0.6,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4896
,,,,,,,,0.8,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,4897
0.7,0.8,,0.7,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4898
,,,,,,,,,0.9,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,4899
0.8,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,4902
,,,,,,,,0.8,,,,,,,,,,,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4903
,,,0.7,,,0.9,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,4904
0.5,,,0.8,,,,,,,,,,,,,,,,,,,,0.7,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4905
,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,4907
0.7,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4908
0.7,,,0.9,,,,,,,,,,,0.8,,,,,,,,,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4909
0.7,,0.5,0.9,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4910
,,0.5,,,,,,,,,,,0.8,,,,,,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,4911
,,0.6,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,4913
0.9,,0.5,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,4914
,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.8,,,,,,,,,,,,4915
,,,,,,,0.7,,,,,,0.9,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,4917
,,0.7,0.6,,,,,,,,,,,0.8,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,4918
0.7,,0.5,0.6,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4920
0.7,,,0.6,,,,,,,,,,,0.9,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4921
0.7,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,4922
0.8,,,,,,,,,,,,,,0.7,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,4923
0.7,,0.6,,,,,,,,,,,,0.9,,,,,,,,,,0.5,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4925
0.7,,,,,,,,,,,,,,0.8,,,,,,,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,4926
,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,4927
,,0.5,0.8,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,4928
,,,0.7,,,0.7,,,,,,,,,,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4929
,,,0.7,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,4930
0.8,,,,,,,,,,,,,,0.9,,,,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,4931
,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,4932
,,,,,,,,,,,,,0.9,,,,,,,,0.5,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,4934
0.7,,,0.8,,,,,,,,,,,0.5,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,4935
0.7,,,0.5,,,,,,,,,,,0.8,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,4936
,,,0.7,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.5,,,,4937
0.7,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4938
0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,4939
,,,0.9,,,,,,,,,,,0.8,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,4941
,,,,,,0.7,,,,,,,0.8,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,4942
0.7,,,0.7,,,,,,,,,,,0.9,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4943
,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,4945
,,,,,,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4946
0.9,0.5,,0.8,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,4947
,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,4948
,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,0.6,,,,,,,,4949
0.9,,,0.8,,,,,,,,,,,,,0.8,,,,,,,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4950
0.7,,0.6,0.9,,,,,,,,,,,0.8,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4951
0.7,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4952
,,,0.9,,,,,,,,,,,,,,,,,,,,0.7,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,4953
0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.5,,4954
,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,0.9,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4955
0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,4957
0.8,,,0.8,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.7,,,,,,,,,4958
0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4959
0.7,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,4960
0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.5,4961
0.7,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,4962
0.8,0.5,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4963
0.7,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,4964
,,,0.8,,,,,,,,,,,0.9,,,,,,,,,0.7,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4966
,,0.6,,,,,,,,,,,,0.7,,,,,,,,,0.7,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4967
,,0.7,0.7,,,,,,,,,,,0.8,,,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4968
