K-Pop,Indie Pop,R&B,Alternative,Pop,Hip-Hop,Rock,Metal,Indie,Dance,Latin,Electronic,Soul,Metalcore,Punk,Lo-Fi,J-Pop,Country,Folk,Sertanejo,Pop Rock,Synth-pop,Electropop,Electro,Emo,Synthpop,Disco,Funk Carioca,LGBTQ+,MPB (Brazilian Popular Music),Reggae,Psychedelic,Dub,Indie Folk,Jazz,Christian/Gospel,Blues,Film Score,Hip Hop,Teen Pop,Post-Punk,Classical,Melodic Death Metal,Technical Death Metal,Instrumental Rock,Black Metal,Death Metal,Doom Metal,Post-Rock,Gothic Metal,Gothic Rock,Darkwave,New Wave,Classic Rock,Industrial,Ambient,Alternative Rock,Indie Rock,Pop Punk,Folk Rock,Experimental,Rap,user_id
0.5,,,0.7,0.9,,0.6,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5981
,,0.7,,1.0,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5982
,,0.6,0.7,0.9,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5983
,,,0.7,0.9,,0.5,,0.8,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5984
,,,0.7,0.9,,,,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5985
,,,0.6,0.8,,0.9,,,,,,,,,,,,,,0.7,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5986
,,0.5,,0.9,,0.6,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5987
,,0.7,,1.0,,,,,0.8,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5988
,,,0.8,0.9,,0.6,,,,,0.7,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5989
,,0.8,,0.9,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5990
,,0.8,,1.0,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5991
0.7,,0.6,,0.9,,,,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5992
,,,,0.9,,0.7,,,,,0.5,,,,,,0.6,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5993
,,0.9,,0.8,0.7,,,,,,,0.6,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5994
,,0.8,,1.0,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5998
,,0.8,,0.9,,,,,0.7,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5999
0.6,,,,0.9,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6001
,,,,0.9,,0.6,,0.7,,,0.5,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6002
,,,,,,0.9,,,,,0.7,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6004
,,0.7,,1.0,,,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6005
,,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6006
,,,,0.9,,,,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6007
,,,0.8,0.6,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6008
,,,0.8,0.7,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6009
,,0.8,,0.6,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,6010
,,0.6,,0.9,,0.4,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,6011
,,,,,,0.7,,,,,,0.6,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,6013
,,0.6,,0.8,,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,6014
,,0.8,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,6015
0.6,,,,1.0,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,6016
,,,0.7,0.6,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6017
,,,0.8,,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,6018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.7,0.8,0.5,0.4,,,,,,,,,,,,,,,,,,6020
0.6,,,,1.0,,,,,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,6022
,,0.8,,0.9,,,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6023
,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.9,,,0.8,0.7,,,,,,,,,,,6024
,,,0.8,0.7,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,6025
,,,,0.8,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.9,,,,,,,,,6026
,,,0.9,,,,,,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,6030
,,0.8,,0.9,,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6032
,,0.7,,1.0,,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6033
,,0.8,,0.9,0.6,,,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6036
,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,0.5,,,6038
1.0,,0.7,,0.9,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6039
,,0.5,,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.9,,,,,,,,,6040
,,0.5,0.8,0.9,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6041
,,,0.7,,,0.6,,0.9,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,6042
,,,0.8,0.7,,0.8,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,6043
