Indie,Alternative,Rock,Pop,Psychedelic,Punk,Garage,Psychobilly,Electronic,Hardcore,Comedy,Hip-Hop,K-Pop,Pop Punk,Post-Hardcore,Electronic Rock,Post-Rock,Metal,J-Rock,Folk,MPB (Brazilian Popular Music),Grunge,R&B,Synth-pop,Pop-Rock,Latin,Dance,Funk Carioca,Progressive Rock,Heavy Metal,Alternative Rock,Experimental,Funk,Soul,Pop Rock,Gothic,World,Brazilian,Country,Broadway,Contemporary,Trip-Hop,Indie Pop,Electronica,Art Pop,Symphonic Metal,EDM,Electropop,Indie Rock,Britpop,Brazilian Rock,Dream Pop,Shoegaze,Psychedelic Rock,Samba,Punk Rock,Synthpop,Hip Hop,Rap,Underground Hip Hop,Jazz,Brazilian Pop,Progressive Metal,Classic Rock,Blues Rock,Jazz Fusion,Black Metal,Classical,Emo,Brazilian Hip Hop,Sertanejo,Thrash Metal,Metalcore,Blues,Reggae,Hard Rock,Nu Metal,Progressive,Brazilian Music,user_id
,0.7,0.9,,,0.8,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,1493
,0.8,0.9,0.7,,0.7,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1494
0.9,0.8,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495
,,,,,0.9,,,,0.8,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1496
,0.8,0.9,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,1497
,0.6,,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,1498
0.6,0.8,0.9,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499
,,,,,,,,,,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.7,,,,,,,,,,,,,,,,0.8,,,,,1500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.7,0.5,,,1501
,0.7,0.9,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,1502
0.5,0.4,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503
,,0.8,,0.7,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.5,1506
