Electronic,Rock,Indie,Experimental,Synthpop,Pop,R&B,MPB,Dance,Soul,Alternative,Classic Rock,Britpop,Electropop,Indie Pop,Art Pop,Alternative Rock,Latin,Country,Indie Rock,MPB (Brazilian Popular Music),Folk,Alternative R&B,World,Metal,Punk,Synth-pop,Punk Rock,Hip Hop,Garage Rock,Hip-Hop,Brazilian,K-Pop,Trance,Post-Punk,Psychedelic Rock,Blues Rock,Shoegaze,Psychedelic,Pop Punk,Post-Hardcore,Brazilian Music,Pop-Rock,Samba,Ambient,Pop Rock,Sertanejo,user_id
0.5,,0.8,,,0.9,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1777
0.6,,0.5,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,1778
0.8,,0.7,,,0.9,,,,,0.6,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,1779
,0.6,0.7,,,0.9,0.8,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780
0.5,,0.4,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,1781
0.7,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,1782
0.7,,,,,,0.6,,,,,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1783
,0.6,0.9,0.5,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784
0.6,,,,,0.9,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,1785
,0.7,0.9,,,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,1786
,0.8,0.7,,,0.9,,,,,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1787
,0.7,,,,0.9,,,0.7,,0.6,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1788
,,0.7,,,0.9,0.8,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1789
0.6,0.4,0.7,,,0.9,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790
0.6,,0.7,,,0.9,0.8,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791
,,,,,,,,,,0.6,0.9,,,,,,,,0.8,,,,,,,,,,,,,,,,0.7,0.5,,,,,,,,,,,1792
,,0.6,,,0.9,0.7,,,,0.5,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,1793
0.8,0.5,0.9,,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1794
0.8,0.7,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,1795
0.8,0.7,0.9,,0.7,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,1796
0.7,0.9,0.8,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,1797
0.6,0.7,0.9,,,,,,,,0.8,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,1800
0.5,,,,,,,,,,0.6,,,,0.9,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,1801
,0.8,0.9,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,1802
,,,,,,,,,,0.6,,,0.9,0.8,,,,,,,,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,1803
0.6,,0.9,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,1804
,0.7,0.8,,,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,1805
,,0.5,,,0.9,0.7,,0.8,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806
0.6,0.5,0.9,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1807
,,,,,0.9,,,0.8,,,,,0.7,0.5,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,1808
,,,,,0.9,0.8,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1809
,,,,,0.9,0.7,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,1810
,0.9,0.5,,,0.8,,,,,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1811
0.7,,0.5,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.4,,,,,,,,,,,,,,,1813
,0.6,0.7,,,0.8,,,,,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,1814
0.7,,0.9,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,1815
,0.8,0.9,,,,,,,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0.5,,,,,,,,,1817
,,,,,0.8,0.9,,,,,,,,,,,,,0.7,,,,,,,,,0.8,,,,,,,,,,,,,0.7,,,,,,1819
,0.7,0.8,,,0.9,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,1820
,0.6,0.7,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,1821
,0.9,,,,0.8,,,,0.5,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1822
,,,,,0.9,0.8,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1824
0.8,,,,,,,,,,0.6,,,0.9,0.8,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,1825
,0.9,,,,0.6,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,0.5,,,,1827
0.8,,0.9,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1828
,,0.5,,,1.0,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829
0.8,,,,,0.9,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830
0.5,,0.9,,,0.7,,,,,0.8,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1831
0.8,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.5,,,1833
0.8,,0.9,0.5,,,,,,,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1834
,,,,0.8,,,,0.7,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,1836
,0.9,0.7,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,1837
,0.8,0.9,,,0.5,,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838
0.8,,,,0.8,0.6,,,,,,,,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1839
0.7,,,,,0.9,,,0.8,,0.5,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1840
,,,,,0.9,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1841
0.6,,,,,0.9,0.7,,0.8,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1842
0.5,,,,,1.0,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1843
0.6,,,,,0.9,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1844
0.6,,,,,1.0,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1845
