Pop,Rock,Punk,Alternative,Pop Rock,R&B,Dance,Teen Pop,MPB (Brazilian Popular Music),Sertanejo,Rap,Indie,Pop Punk,Alternative Rock,Post-Hardcore,Grunge,Soul,K-Pop,Country,Children's Music,Soft Rock,Indie Pop,Folk,Electronic,Metal,Gospel,Nu Metal,Punk Rock,Indie Rock,Symphonic Metal,Metalcore,Blues,Experimental,Industrial,Noise,Hip-Hop,Reggae,Post-Grunge,Electronic Rock,Art Rock,Post-Rock,Emo,Progressive Rock,Shoegaze,Psychedelic,Progressive Metal,Synthwave,Heavy Metal,Classic Rock,Psychedelic Rock,Hard Rock,Blues Rock,Funk,Brazilian Rock,Gothic,Latin,Gothic Rock,Doom Metal,Post-Punk,Black Metal,Power Metal,Thrash Metal,Hardcore,Progressive,Alternative Metal,New Wave,Vallenato,Sludge Metal,Experimental Rock,Post-Metal,Death Metal,Musical,MPB,Brazilian Hip Hop,Melodic Death Metal,Punk Pop,Grindcore,Hardcore Punk,J-Rock,Glam Rock,Trance,Jazz,Classical,Gothic Metal,Christian/Gospel,user_id
0.7,0.8,,0.9,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7626
,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.8,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7628
,0.6,,0.9,,,,,,,,0.7,,,,,,,,,,,,0.8,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7629
,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7633
,,,,0.8,,,,,,,,,0.9,,,,,,,,0.6,,,,,0.7,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7634
0.8,,,,,,,,,,,0.7,,0.9,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7635
,,,,0.8,,,,,,,,,0.9,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7636
,,,,,,,,,,,,,0.9,,0.8,,,,,,,,,,,,0.6,0.7,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7637
0.8,0.9,0.5,0.7,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7638
0.5,0.8,0.6,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7639
0.8,0.9,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7641
0.7,0.6,,0.8,,,,,,,,0.9,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7642
0.9,0.7,,,,0.5,,,,,,,,,,,,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7643
,,,,0.8,,,,,,,,,0.9,,,,,,,,,,,,,,,0.7,,,,,,,,,0.6,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7644
0.7,0.9,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7645
,,,,0.8,,,,,,,,,0.9,0.5,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7646
,0.9,,0.8,,,,,,,,0.5,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7647
,0.9,,0.8,,,,,,,0.6,,,,,,,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7648
0.7,,,,0.4,,,,,,,,,0.8,,,,,,,,,,0.5,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7649
0.8,0.9,,0.5,,,,,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7651
,,,,,,,,,,,0.6,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.9,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7652
,,,,,,,,,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7653
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7654
0.7,0.8,0.8,0.9,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7656
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.7,0.9,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7657
,0.9,0.5,0.8,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7658
,0.9,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7659
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,0.8,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,7660
,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.8,,,,,,,,,,,,,,,,,,0.7,,,0.6,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,7661
,0.9,,0.8,,,,,,,,0.6,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7662
,0.8,,0.6,,,,,,,,0.7,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7663
,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,7664
0.7,0.9,0.6,0.8,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7665
,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,7666
,,,,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,7667
0.7,0.9,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,7668
0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,7669
,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7670
,0.9,,0.8,,,,,,,,0.6,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7671
,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,7672
0.4,0.9,,,,,,,,,,,,,,0.6,,,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7673
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.8,0.7,,,,,,,,,,,,,,,7674
,0.9,,0.5,,,,,,,,,,,,0.7,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,7675
0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,7676
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,0.8,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7677
,0.7,,0.4,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,7678
,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7680
,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7681
,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,7682
0.8,0.9,,0.7,,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7683
0.6,0.9,0.7,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7684
0.5,0.7,,0.8,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7685
0.8,0.9,,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7686
,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7687
,0.9,,,,,,,,,0.8,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,7688
,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,0.5,,,,0.8,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.7,,,,,,,,,,,7690
,0.9,,,,,,,,,,0.5,,,,0.6,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7691
,,,0.6,0.9,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,7692
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.9,,,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,7693
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.9,0.6,,,,,,,,7694
0.7,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,7695
,0.8,,,,,,,,,,0.6,,,,,,,,,,,,0.4,0.7,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7696
,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.6,,,0.8,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,7697
0.7,0.9,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,7698
,0.7,,0.9,,,,,,,,0.8,,,,,,,,,,,,0.5,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7700
0.6,0.9,,0.8,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,7701
,0.9,,,,,,,,,,,,,,,,,,,,,0.5,,0.8,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,7704
0.9,0.8,,0.6,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7705
,0.8,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.6,,7706
,0.9,,0.7,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,7708
0.9,0.8,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,7709
,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7710
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.6,,,,,,,,0.8,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,7711
0.5,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7712
