Pop,Rock,R&B,Alternative,K-Pop,Latin,Electronic,Teen Pop,Dance,Indie,Country,Hip-Hop,Sertanejo,J-Pop,Singer-Songwriter,Alternative R&B,Experimental Pop,Hip Hop,Soul,Folk,Film Score,Punk,Indie Rock,Pop Rock,Metal,Rap,Experimental,Electropop,Indie Pop,Synth-pop,Reggae,Alternative Rock,Post-Hardcore,Rap Rock,Dream Pop,MPB (Brazilian Popular Music),French Chanson,Italian Pop,Post-Grunge,Hard Rock,Brazilian Rock,Ambient,Disco,Progressive Metal,Post-Rock,Hardcore Punk,Christian,Grunge,Jazz,Classical,Visual Kei,J-Rock,Death Metal,Melodic Death Metal,Alternative Metal,Heavy Metal,Nu Metal,Industrial,Gothic,Classic Rock,Anime,Post-Punk,Anime Score,Brazilian Music,Progressive Rock,Gospel,Blues Rock,Grime,Progressive,Pop Punk,Psychedelic,Trap,Reggaeton,Psychedelic Rock,Indie Folk,Emo,user_id
0.9,,0.6,,,0.5,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4608
1.0,,0.8,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4609
,,,,,,0.7,,,,,,,,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4610
0.6,,,0.8,,,,,,0.9,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4612
0.6,0.8,,0.9,,,,,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4613
0.6,0.6,,,,,0.7,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4614
0.9,,0.6,,0.8,,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4615
0.8,0.7,,0.6,,,0.5,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4616
0.7,0.8,,0.9,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4617
0.9,0.7,0.6,,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4618
0.7,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4619
0.8,,,0.6,0.7,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4620
0.8,0.6,,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4621
,,,0.8,,,0.7,,,0.9,,,,,,,,,,0.5,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4622
0.5,0.6,,0.8,,,,,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4623
,0.9,,0.8,,,,,,0.8,,,,,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4625
0.9,0.6,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4626
0.6,,,0.7,,,,,,0.9,,,,,,,,,,0.8,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4627
0.9,0.4,0.6,0.7,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4629
0.8,0.9,,0.8,,,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4630
,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.7,0.9,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4632
,,,0.7,,,0.8,,,,,,,,,,,0.9,,,,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4633
,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.9,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4634
0.9,,0.8,,,,0.6,,,,,0.7,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4635
0.9,0.6,,0.7,,,0.5,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4636
0.6,0.7,,0.8,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4637
0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4638
,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4639
0.6,0.5,,0.8,,,,,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4640
,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4641
,,,0.7,,,0.9,,,0.8,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4642
0.8,,,0.9,,,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4643
0.9,0.5,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4644
,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,0.5,,,,,,,,,,,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4645
0.9,,0.7,0.5,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4646
,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4647
0.9,,,0.5,,,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4648
0.7,0.6,,0.8,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4649
,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,4650
0.9,,0.7,,,,,0.8,,,,0.6,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4651
,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,4652
0.7,,0.5,,0.8,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,4653
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.8,0.8,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,4654
,0.7,0.6,0.5,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4655
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,0.5,,,,0.6,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,4657
,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,4659
,0.9,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,4660
0.9,0.7,0.6,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4664
,,,0.6,0.8,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.7,,,,,,,,,,,,,,,,4666
,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.5,,,,0.8,,,,,,,,,,,,,,,4668
,0.8,,0.9,,,,,,0.5,,,,,,,,,,,,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4669
,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.7,,,,,,0.6,,,,,,,,,,,,,,4672
,0.8,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,4673
,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.8,,,,,0.8,,,,,,,,,,,,4674
,0.9,,0.7,0.6,,,,,,,,,,,,,,,,,0.8,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4680
,,,,0.7,,0.6,,,,,,,0.8,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,4681
0.6,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4682
0.8,,,0.6,,,0.6,,,,,0.5,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4684
0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.5,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.6,,,,,,,,,,4685
,,,0.8,,,,,,,,,,,,,,0.9,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,4686
,0.8,,,,,0.5,,,,,,,,,,,,,,,,,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,4690
0.7,0.9,,0.5,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,4691
,0.9,,0.8,,,,,,0.6,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,4697
,,,0.8,,,0.7,,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,4700
,,0.7,0.8,,,,,,,,,,,,,,0.9,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4701
,,0.6,0.7,,,,,,,,0.9,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4702
,,0.6,0.7,,,,,,,,,,,,,,0.9,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4703
,,0.7,0.6,,,,,,,,,,,,,,0.9,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4704
,,0.7,,,,,,,,,,,,,,,0.9,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,4705
,0.7,,,,,,,,,0.5,,,,,,,0.9,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,4706
,,0.6,,,,,,,,,,,,,,,0.9,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,4707
0.7,,0.8,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,4708
,,,,,,,,,,0.3,,,,,,,0.9,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,4709
,,0.8,0.7,,,,,,0.6,,,,,,,,0.9,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4710
,,0.7,,,,,,,,,,,,,,,0.9,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,4711
,,,,,,,,,,,0.6,,,,,,,,,,0.7,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,4712
,,0.7,,,,,,,,,,,,,,,0.9,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,4713
,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,0.8,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,4714
,,0.7,,,,,,,,,,,,,,,1.0,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,4715
,,0.7,,,,,,,,,,,,,,,0.9,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,4716
,,0.8,,,,,,,,,,,,,,,0.9,0.7,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4718
,,,0.7,,,,,,,,,,,,,,1.0,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,4720
,,0.7,0.6,,,,,,,,,,,,,,1.0,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4722
