Indie,Alternative,Rock,New Wave,Pop,Punk,Experimental,Folk,Classic Rock,Psychedelic,Metal,Hip Hop,Psychedelic Pop,Jazz,Indie Rock,Electronica,Psychedelic Rock,Shoegaze,Space Rock,Industrial,Electronic,Post-Punk,Ambient,Progressive Rock,Hip-Hop,Cloud Rap,Synthpop,Gypsy Jazz,Alternative Rock,Lo-Fi,Garage Rock,Country,Gothic,R&B,Classical,Pop Rock,Darkwave,Soul,Synth-pop,Dance,Latin,K-Pop,Blues,Heavy Metal,Reggae,Metalcore,Teen Pop,Soundtrack,Latin Rock,Funk,Electropop,Punk Rock,Arabic Pop,Western Pop,Contemporary R&B,Show Tunes,Trip Hop,Eurovision,Power Metal,Symphonic Metal,Hard Rock,Rap,Gangsta Rap,Southern Rap,user_id
0.8,0.8,0.7,,0.7,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2488
0.7,0.9,0.8,,,,0.5,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2489
,0.6,,,0.9,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,2490
0.8,0.9,0.7,,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2491
,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.6,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,2492
0.9,0.8,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,2493
0.7,0.5,,,0.9,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,2494
,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,2496
0.7,0.5,,,0.9,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497
0.8,0.5,,,0.9,,,0.6,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2498
,,0.9,,,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,2499
0.8,0.9,,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,2500
,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,2501
,,0.9,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,2502
0.8,,0.6,,0.9,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2503
,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,2504
,,0.6,,0.8,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,2505
,,,,1.0,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,2506
,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,2507
,0.6,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2508
0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,2509
,,,,1.0,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,2510
0.7,0.8,0.7,,0.9,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2511
,0.8,0.5,,0.9,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2512
,,,,0.9,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,2513
,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,2514
,,,,0.9,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,2515
,0.6,0.7,,0.9,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2516
,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,2517
0.9,0.8,0.7,,0.6,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2518
,,,,0.9,,,,,,,,,,,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,2520
0.6,0.8,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2521
,,,,0.9,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,2522
0.9,0.8,0.7,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2523
0.5,0.7,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,2524
,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,2525
0.6,,0.5,,0.8,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526
,,,,,,,,,,,,,,0.7,,,,,,0.6,,,,,,,,0.9,,,,,,,0.5,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,2527
0.8,,,,0.9,,,0.7,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2528
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,0.5,0.3,,,,,,,,,2529
,,,,0.9,,,,,,,,,,,,,,,,0.5,,,,0.7,,,,,,,,,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,2530
,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,2532
0.7,0.4,0.6,,0.9,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2534
0.8,,,,,,,0.5,,,,0.6,,,,,,,,,0.7,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2535
,,,,0.9,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,2536
,0.6,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,2537
,,,,0.8,,,,,,,,,,,,,,,,0.9,,,,,,0.6,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.7,,,,,,,,2538
,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,0.6,,,,,,,2541
,,,,1.0,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,2542
,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,2543
0.9,0.8,0.8,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2544
0.5,,,0.6,0.7,,,,,,,,,,,,,,,,0.8,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2545
,,0.5,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,2546
,,0.6,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,2547
,0.7,0.7,,0.9,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2548
,0.5,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,2549
,,,,0.8,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.9,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2550
,,,,0.7,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,0.9,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2551
0.9,0.8,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2552
0.7,0.6,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,2553
,,,,0.7,,,,,,,,,,,,,,,,0.9,,,,0.8,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,2554
,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,,,,2555
,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,2556
