Pop,Alternative,Rock,Indie,Electronic,Dance,R&B,Hip-Hop,Latin,K-Pop,Pop Rock,MPB (Brazilian Popular Music),Experimental,Symphonic Metal,New Age,Soul,Indie Rock,Pop Punk,Sertanejo,Synth-pop,Electropop,Funk,Country,Drag,Post-Punk,Gothic Rock,Psychedelic Rock,Brazilian Rock,Progressive Rock,Jazz,Classical,Metal,Symphonic,Brazilian Music,Punk,Psychedelic,Brazilian,Rap,Trap,Lo-fi,Brazilian Indie,Heavy Metal,Alternative Rock,Hardcore,Art Pop,Hip Hop,Punk Rock,Funk Carioca,MPB,Garage Rock,Indie Pop,Ambient,Alternative Metal,Blues,Folk,Garage,user_id
0.9,0.8,,0.7,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306
0.9,,0.6,0.8,,,0.5,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307
0.9,,0.4,0.6,,,0.7,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308
0.9,,,,0.8,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309
0.9,0.7,,0.8,0.5,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310
0.9,0.5,,0.6,0.7,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311
1.0,,,,0.5,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312
0.9,0.8,,0.7,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313
0.9,,,,0.6,,0.7,0.8,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1314
0.9,0.7,,0.7,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315
0.9,,,,0.8,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316
0.9,,,,,0.8,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317
1.0,,,,0.6,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318
0.9,0.6,,0.8,0.5,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1319
0.9,0.7,,0.8,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320
0.9,0.7,,0.8,,,0.5,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321
0.9,0.7,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1322
,0.9,,0.6,0.5,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325
0.9,0.5,,0.7,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326
0.9,,,0.7,,,0.8,,0.6,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327
,0.9,,0.6,0.5,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328
0.9,,,0.8,0.7,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330
,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331
,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,1332
0.9,,,0.6,0.5,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333
,0.6,0.8,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,1334
0.6,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,1335
,0.8,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,1336
,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,1338
0.9,,,,0.6,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1339
,0.9,0.7,0.8,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,1340
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.9,0.7,0.6,,,,,,,,,,,,,1341
1.0,,,,,0.7,0.8,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342
0.9,0.6,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,1343
0.7,0.6,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.5,,,,,,,,,,1344
0.4,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.6,0.5,,,,,,,,1345
0.9,0.6,,0.7,0.5,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347
0.9,,,,0.6,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348
0.9,0.8,,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,1349
0.9,0.8,,0.7,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1351
,,,,,,,,,,,,,,,,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.6,0.5,,,,,,1352
0.9,0.8,,0.6,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353
1.0,,,0.7,0.5,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354
0.9,0.7,0.6,0.8,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1355
,0.8,,0.9,0.8,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356
1.0,,,,0.6,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1357
0.6,0.9,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,1358
0.9,0.8,,0.7,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359
0.9,0.5,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,1360
0.8,0.7,,0.6,,,0.9,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361
,,,,0.8,,,,,,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.7,,,,,1362
0.8,,0.7,0.5,,,,0.6,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363
0.8,,,,,,,,,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.6,,,,1364
0.7,,,0.9,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1365
,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.9,,,,,,,,,,,,,,,,,,,,,,1366
0.9,,,0.6,0.8,0.5,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367
0.9,0.5,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1368
0.5,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,0.7,,,,,,,,,,,,,1369
0.9,0.7,,0.8,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370
0.5,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,1371
0.9,,,,0.6,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372
0.9,,0.6,0.7,0.6,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373
0.9,0.8,0.6,0.7,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1374
0.6,,0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,,1375
0.9,0.7,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1376
0.9,,0.6,0.5,,,0.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377
,0.8,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.6,1378
0.6,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,1379
0.7,0.8,0.5,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1381
,0.8,0.7,0.9,,,,,,,,,0.5,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1382
