Pop,Indie Rock,R&B,Alternative,Rock,Progressive,Metal,Experimental,Psychedelic,Indie,Electronic,Hip-Hop,Alternative Rock,Punk Rock,Post-Hardcore,Pop Rock,Punk,Hip Hop,Brazilian,Folk,Rap,Post-Punk,Metalcore,Emo,Hardcore,Blues,Garage Rock,Grunge,Brazilian Rock,Heavy Metal,Hard Rock,Progressive Rock,Brazilian Popular Music,Reggae,Psychedelic Rock,Britpop,MPB (Brazilian Popular Music),Tropicalia,Indie Pop,Gothic Rock,Glam Rock,Reggaeton,Jazz,Classic Rock,MPB (Popular Brazilian Music),Trip Hop,Country,Soul,Progressive Metal,Post-Grunge,Brazilian Music,Pop Punk,Alternative Metal,Nu Metal,Bossa Nova,Brazilian Pop,Skate Punk,J-Pop,Death Metal,Black Metal,Technical Death Metal,Deathcore,Dance,Samba,MPB,Power Pop,Symphonic Metal,user_id
0.7,0.8,,0.9,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9065
0.7,,,0.8,0.6,,,,,0.9,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9066
,,,0.9,0.6,,,,,0.8,0.7,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9067
,,,0.7,,,,,,,,,,,,,0.8,,,,,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9068
0.7,,,0.8,0.8,,,,,,,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9069
,,,,0.8,,0.9,,,,,,,,,,,,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9070
,0.9,,,,,,,,,,,0.8,,,,0.7,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9071
,,,0.8,0.9,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9072
,,,0.8,0.7,,,,0.5,0.9,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9073
,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.8,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9074
0.7,,,0.6,0.8,,,,,0.9,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9075
,,,,,,,,0.7,0.8,,,0.9,,,,,,,0.6,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9076
0.7,,,0.6,0.8,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9077
,,,0.8,0.9,,,,,0.7,,0.6,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9078
0.7,,,0.8,0.8,,,,,0.9,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9079
0.4,,0.7,0.5,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9080
0.8,,,0.7,0.6,,,,,0.9,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9081
,,,0.8,0.7,,,,0.6,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9082
0.7,,,0.8,0.8,,,,,0.9,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9083
0.9,,0.6,,0.7,,,,,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9084
,0.9,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.7,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9085
,,,0.8,0.9,,,,,0.7,,,,,,,,,,0.5,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9086
0.7,,,0.5,,,,,,0.8,,,,,,,,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9087
0.6,,,0.8,0.5,,,,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9088
,,,0.8,0.6,,,,,0.9,,0.5,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9089
,,,0.7,0.8,,,,,0.9,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9090
,,,0.5,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9091
0.9,,,0.6,,,,,,0.7,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9092
,,,,,,,,,,,,0.9,,,0.6,,,,,,,,,,,,,,,0.7,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,9093
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.8,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,9094
,,,0.7,0.8,,,,,0.9,,,,,,,,,0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9095
,,,0.8,0.9,,,,,0.7,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,9096
,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,9097
,,,,,,,,,0.6,,,0.7,,,,,,,,,,,,,,,0.5,0.8,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,9098
,,,0.8,0.9,,,,,0.8,,,,,,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9099
,0.9,,,,,,,,,,,0.8,,,,,,,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,9101
,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9102
0.6,,,0.8,0.7,,,,,0.9,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9103
,,,0.8,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,9104
0.5,,,0.8,0.7,,,,,0.9,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9105
0.9,,,0.5,,,,,,0.8,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,9106
0.8,,,0.6,0.7,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9107
0.8,,0.9,,0.5,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,9108
,,,0.8,0.9,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,9110
0.6,,,0.8,,,,,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9111
0.5,,,0.8,0.7,,,,,0.9,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9112
0.6,,,0.8,0.7,,,,,0.9,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9113
0.5,,,0.8,0.6,,,,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9114
0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,9115
,0.9,,,,,,,,,0.7,,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9116
,,,,0.9,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.5,,,,,,,,,,,,,,9118
,,,,,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,9119
,,,,,,,,,,,,0.8,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,9120
,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,0.5,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,9122
0.9,,,0.7,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9123
,,,0.8,0.9,,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,9124
,,,,0.9,,0.7,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.6,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9125
0.7,,,,,,,,,,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,9126
,,,0.6,0.9,,,,,,,,,,,,0.8,,,,,,,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9127
,0.6,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,9128
,,,,,,,,,,,,,0.9,,,,0.7,,,,,,,0.6,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,9129
,,,,,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.6,,,,,,,,,,,9130
0.6,,,0.7,0.8,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,9131
0.7,,,0.8,0.9,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,9132
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,9133
,0.8,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,9134
,,,,,,,,,,,,0.8,,,,0.7,,,,,,,,,,,0.9,,0.5,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9135
0.6,,,0.8,0.9,,0.7,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9136
1.0,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,9137
,,,0.6,0.7,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,,,9138
0.8,,,0.8,0.9,,,,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9139
,0.7,,,,,,,,,,,0.8,0.9,0.6,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9140
0.6,0.9,,,,,0.5,,,,,,0.8,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9141
,,,,,,,,,,,,0.6,0.9,,,,,,,,,,,0.7,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9142
,,,,,,,,,,,,0.7,0.9,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,9143
0.9,,,0.6,0.7,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9144
,0.6,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,9145
0.7,,,0.7,0.9,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9146
,,,,,,,,,,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,0.7,,9148
,,,,,,,,,,,,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,0.6,,9150
0.6,,,0.8,0.9,,,,,0.7,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9151
,,,,0.9,,,,,0.6,,,,,,,0.8,,,,,,0.7,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9153
0.5,,,0.7,0.9,,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9154
,,,,,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,9155
,0.6,,,,,,,,,,,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.5,9156
0.9,,0.8,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,9157
0.7,,,0.8,0.9,,,,,0.6,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9158
