Alternative Rock,Pop,Punk,J-Rock,Indie,Indie Pop,R&B,Dance,Electropop,Rock,Alternative,Jazz,Hip-Hop,Rap,K-Pop,Electronic,Country,Brazilian,Pop-Rock,Electro Pop,Folk,Indie Rock,Teen Pop,Samba,Grunge,Brazilian Pop,Hip Hop,Trap,Dance Pop,Pop Rock,Soul,Pop Punk,Post-Hardcore,Funk Rock,Gospel,Acapella,Reggaeton,Classical,Latin,New Age,Adult Contemporary,Art Pop,Metal,Synth-pop,MPB (Brazilian Popular Music),Contemporary,Italian Music,Dance-Pop,Experimental,Sertanejo,Ax\u00e9,Psychedelic Rock,Nu Metal,Hard Rock,Christian Rock,Reggae,Brazilian Hip-Hop,Acoustic,Ambient,Emo,MPB,Contemporary R&B,Funk,user_id
,1.0,,,,,0.7,0.9,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510
,0.9,,,,,0.6,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511
,1.0,,,,,0.6,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512
,0.5,,,,,,,,0.9,0.7,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,513
,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,514
,0.9,,,0.7,,,0.8,,,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515
,0.9,,,0.6,,0.7,,,,,,,,,0.5,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517
,0.8,,,0.9,,,,,0.7,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518
,0.9,,,0.7,,0.6,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519
,0.8,,,0.9,,,,,0.5,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520
,0.9,,,0.8,,,,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,521
,0.9,,,0.4,,0.7,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522
,0.8,,,,,0.5,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,524
,1.0,,,,,,0.8,,,,,,,,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525
,0.9,,,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,526
,0.9,,,,,0.7,0.8,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527
,0.9,0.5,,,,,,,0.7,,,,,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528
,0.9,,,,,,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.3,,,,,,,,,,,,,,,,,,,529
,1.0,,,,,0.8,0.7,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,530
,1.0,,,,,0.8,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531
,0.8,,,0.6,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,532
,0.8,,,,,0.9,,,,0.5,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533
,0.8,,,,,0.6,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,534
,0.9,,,,,0.8,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535
,0.9,,,,,0.7,0.8,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536
,0.9,,,,,,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,537
,0.9,,,0.4,,0.8,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539
,0.9,,,0.7,,,,,,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,540
,0.9,,,,,,0.8,,,,,,,0.6,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541
,0.9,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542
,0.9,,,0.7,,0.6,,,,0.5,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543
,0.9,,,0.7,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544
,0.9,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,545
,0.9,,,,,0.8,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546
,0.9,,,,,0.7,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547
,0.9,,,,,0.7,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548
,0.9,,,0.7,,,0.8,,,0.5,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549
,0.9,,,0.6,,,0.7,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,550
,0.9,,,0.6,,0.5,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551
,1.0,,,,,,,,,,,,,0.8,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,552
,0.9,,,,,,0.8,,,,0.5,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553
,1.0,,,,,0.7,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554
,,,,0.5,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.8,,,,,,,,,,,,,,,555
,0.9,,,0.7,,0.6,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,556
,1.0,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,557
,0.9,,,,,0.8,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558
0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.5,,,,,,,,,559
,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.9,0.5,0.4,,,,,560
,,,,,,,,,,,,0.7,0.9,,,,0.6,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,561
,0.9,,,0.7,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,562
,0.7,,,,,,,,0.6,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.9,,,563
,0.9,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.6,,564
,0.9,,,0.8,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,565
,0.6,,,0.9,,,,,0.7,0.8,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566
,0.9,,,,,0.7,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568
0.9,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,0.5,569
,0.7,,,0.8,,,,,0.9,0.6,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570
,0.9,,,0.6,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,571
,0.9,,,,,0.6,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,572
,0.8,,,,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,574
,0.9,,,,,0.7,,,0.4,,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575
0.6,0.7,,,,,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576
,0.9,,,0.7,,,0.8,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577
