Pop,R&B,Dance,Soul,Country,Latin,K-Pop,Hip Hop,Rap,Rock,Pop Rock,Hip-Hop,Indie,Folk,Electronic,Alternative,Experimental,Forr\u00f3,Boy Band,Metalcore,Brega,Sertanejo,Punk Rock,Reggaeton,Pop Punk,Banda,Alternative Rock,Classical,New Age,Ambient,Gothic Metal,Symphonic Rock,Indie Pop,Latin Pop,Ballad,Romantic,Punk,Metal,Grunge,Acoustic,Singer-Songwriter,Hardcore,Psychedelic,MPB,Synthpop,Shoegaze,Industrial,Psychedelic Rock,Brazilian,Classic Rock,Progressive Rock,New Wave,Pop-Rock,Gothic,Symphonic,Teen Pop,Britpop,Alternative Metal,Hard Rock,Reggae,Symphonic Metal,Gothic Rock,Power Metal,Indie Rock,Post-Hardcore,Garage Rock,user_id
0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8374
0.9,,,,,0.5,,,,,,0.6,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8376
0.8,,,,,,,,,0.6,,,0.7,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8377
0.8,,,,,,,,,0.5,,,0.9,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8378
0.9,,,,,,,,,0.6,,,0.8,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8379
,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8380
0.9,0.8,,,,,,,,0.6,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8381
0.9,,0.8,,,,,,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8382
0.7,,,,,,,,,0.6,,,0.9,,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8383
0.9,,,,,,,,,0.6,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8384
0.9,0.8,,,,,,,,,,,0.7,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8385
0.9,0.7,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8386
1.0,0.8,0.7,,,,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8387
0.8,,,,,,,,,0.7,0.5,,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8388
0.9,0.7,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8389
0.9,0.8,,,,,,,,0.5,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8390
0.7,,,,,,,,,0.9,,,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8391
0.9,,,,0.4,,,,,0.5,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8392
0.9,0.7,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8394
0.9,,,,,,,,,0.7,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8395
0.9,,,,,0.5,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8396
,,,,,,,,,0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.7,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,8397
0.8,,,,,,,,,,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8399
,,,,,,,,,,,,0.7,,,0.7,,,,,,,,,,,,,,,,,,,,,0.8,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,8401
0.8,,,,,,,,,0.6,,,0.9,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8410
,,,,,,,,,0.9,,,0.5,,,0.8,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8411
0.6,,,,,,,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,8412
,,,,,,,,,0.9,,,0.8,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,8413
0.7,,,0.5,,,,,,0.8,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8415
0.9,0.5,,,,,,,,,,,0.7,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8418
0.7,,,,,,,,,0.9,,,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,8419
0.9,0.6,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,8420
,,,,,,,,,0.8,,,0.9,0.6,0.7,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8421
0.7,,,,,,,,,0.8,,,0.9,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8422
0.6,,,,,,,,,,,,0.9,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,8423
0.9,0.6,,,,,,,,0.7,,,0.8,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8424
0.8,0.7,,,,,,,,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,8425
0.9,,,0.5,,,,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,8426
0.5,,,,,,,,,0.6,,0.7,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8427
0.9,,,,,,,,,,,,0.7,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8428
,,,,,,,0.5,,,,,0.9,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,8429
0.8,,,,,,,,,0.7,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,8430
0.5,,,,,,,,,0.7,,,0.8,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8431
0.8,,,,,,0.8,,,0.7,,,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8432
0.8,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.6,,,,,,,,,,,,,,,8433
,0.7,,,,,,,,,,0.9,0.6,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8434
,,,,,,,,,0.5,,,0.9,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8435
0.8,,,,,,,,,0.7,,,0.7,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8436
,,,,,,,,,0.7,,,0.8,,0.6,0.9,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8438
0.6,,,,,,,,,0.8,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,8439
,,,,,,,,,0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,8440
0.8,,,,,,0.5,,,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,8441
0.9,0.7,,,,,,,,0.5,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8442
0.8,,,,,,,,,0.7,,,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,8443
0.7,0.5,,,,,,,,0.6,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8444
,,,,,,,,,0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,8447
0.9,,,,,,,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,8448
0.9,,,,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,8449
,,,,,,,,,0.9,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.5,,,,,,,,,,8450
0.9,0.7,,,0.6,,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8451
0.6,,,,,,,,,0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8452
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,0.6,,,,,,,0.8,0.7,,,,,,,,8453
,,,,,,,,,0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,8455
0.5,,,,,,,,,0.9,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8456
0.6,,,,,,,,,0.7,,,0.9,,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8457
0.8,,,,,,,,,0.7,,,0.7,,,0.9,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8458
0.7,0.6,,,,,,,,,,0.5,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8459
0.8,,,,,,0.5,,,0.6,,,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8460
0.6,,,,,,,,,0.7,,0.5,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8461
0.5,,,,,,,,,0.8,,,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,8462
0.5,,,,,0.6,,,,0.7,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8463
,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,,,,8464
0.8,,,,,,,,,0.5,,,0.9,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8466
0.8,,,,,,,,,0.9,,,0.7,,,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8467
,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,0.5,8468
