Progressive Rock,Pop,Heavy Metal,Alternative,Pop Rock,Indie,Electronic,Rock,Soul,Classic Rock,Punk,New Wave,Post-Punk,Punk Rock,Indie Rock,Brazilian Alternative,Hip Hop,Rap,Folk,Reggaeton,Latin,R&B,Alternative Rock,Indie Folk,Acoustic,Hard Rock,Dance,Hip-Hop,Russian Pop,Country,Alternative Metal,Post-Rock,Experimental Rock,Classical,Baroque,Romantic,Flamenco,Experimental,Finnish Music,Grunge,Blues,Reggae,Psychedelic,Psychedelic Rock,Metal,Bollywood,Film Score,Shoegaze,Brazilian,Trap,Brazilian Funk,K-Pop,MPB (Brazilian Popular Music),MPB,Samba,Sertanejo,Brazilian Music,Indie Pop,Symphonic Metal,Disco,Post-Hardcore,Brazilian Pop,user_id
,0.8,,,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,6077
,0.6,,0.5,,,,,,0.9,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,6078
,0.8,,,0.8,,,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,6081
0.5,,,,,,,,,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,6082
,0.9,,,,,0.7,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,6083
,,0.6,,,,,,,0.9,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.5,,,,,,,,,,,,,,,,6085
,,,0.8,,0.9,0.5,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,6087
,,,0.8,,0.9,,0.8,,0.6,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6089
,0.5,,0.9,,0.8,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6090
,0.9,,,,,0.7,,,,,,,,,,,,,,,0.7,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6091
,0.9,,,,,,0.5,0.6,,,,,,,,,,,,,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6092
,0.9,,,,0.6,0.7,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,6093
,,,0.9,,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6094
,0.8,,0.7,,0.9,,,,,,,,,,,,,,,,0.5,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6095
,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,6096
,0.8,,,,,,,0.7,,,,,,,,,,,,,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6097
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,6098
,0.9,,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6099
,0.9,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6101
,0.9,,,,0.6,0.7,,,,,,,,,,,,,,,0.5,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6102
,0.9,,0.5,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6103
,0.8,,0.6,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,6104
,0.9,,0.8,,0.6,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6105
,1.0,,,,0.4,0.5,,,,,,,,,,,,,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6106
,0.8,,0.9,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,6107
,0.9,,0.7,,0.8,,0.6,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6108
,0.9,,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6110
,0.9,,0.5,,0.6,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6111
,0.9,,0.6,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,6112
,0.9,,,,0.6,0.7,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,6113
,0.8,,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,6114
,0.9,,,,,,,0.5,,,,,,,,,,,,,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,6115
,0.9,,0.7,,0.6,,0.5,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6116
,0.9,,0.7,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6117
,0.8,,0.6,,,,0.7,,,,,,,,,,0.9,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6118
,0.9,,0.7,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6119
,0.9,,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6120
,1.0,,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6121
,0.9,,,,,,,,,,,,,,,,,,0.6,0.8,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,6122
,0.9,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6123
,0.9,,0.7,,0.5,0.4,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6125
,0.9,,,,,0.7,,,,,,,,,,,,,,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6126
,0.9,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6127
,0.9,,,0.7,,,,,,,,,,,,,,,,,0.7,,,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6128
,0.9,,0.7,,0.6,,0.5,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6129
,0.9,,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6130
,0.9,,0.7,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6131
,0.9,,,,,,,,,,,,,,,,,,,0.5,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.7,,,,,,6132
,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.7,,,,,6134
,0.9,,,0.6,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.5,,,,,6135
,0.9,,,,,0.6,,,,,,,,,,,,,,,0.5,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6136
,0.8,,0.7,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,6137
,0.9,,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6138
,0.9,,,,0.6,,,,,,,,,,,,,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6139
,0.9,,,,0.6,0.5,0.7,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6140
,1.0,,,,,,,0.6,,,,,,,,,,,,,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6141
,0.9,,0.7,,0.6,,0.4,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6142
,0.9,,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6144
,0.9,,,,,,,0.7,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.6,,,6146
,0.9,,,,0.5,,0.6,,,,,,,,,,,,,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6147
,1.0,,,,,0.6,,,,,,,,,,,,,,,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6149
,0.9,,0.6,,,0.8,,,,,,,,,,,,,,0.5,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6150
,0.9,,,,,,0.6,,,,,,,,,,,,,,0.7,,,,,0.8,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6151
,0.9,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6152
,1.0,,,,0.6,,,,,,,,,,,,,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6153
,1.0,,,,,0.5,,,,,,,,,,,,,,,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6155
,0.6,,0.9,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,6157
,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.6,,,,,6158
,0.9,,0.5,,,,0.6,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6159
,0.9,,,,,,0.6,,,,,,,,,,,,,,0.5,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6160
,0.9,,,,,,0.7,,,,,,,,,,,0.5,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6161
,0.8,,0.9,,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,6162
,0.8,,0.7,,0.5,,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6163
,0.9,,,,0.5,,,,,,,,,,,,,,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,6164
,0.9,,,,0.5,,0.7,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,6165
,0.9,,,,,0.5,,,,,,,,,,,,,,0.7,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6168
,,,,,,,0.9,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,0.5,6169
,,,0.8,,0.5,,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,6170
