Alternative,Pop,Indie,Rock,Brazilian,MPB (Brazilian Popular Music),Electronic,R&B,Dance,Folk,Grunge,Brazilian Rock,Psychedelic,Punk,K-Pop,Classical,Hip-Hop,Metal,Indie Rock,Post-Punk Revival,Rap,Synth-pop,Soul,Pop-Rock,Pop Punk,Psychedelic Rock,Classic Rock,Jazz,Ambient,Industrial,Post-Hardcore,Alternative Rock,Emo,New Wave,Heavy Metal,Italian Pop,Country,Progressive,Alternative Metal,Punk Rock,Sludge Metal,Funk,Reggaeton,Hard Rock,Christian Music,Blues,Experimental,Stoner Rock,Blues Rock,Nu Metal,Hip Hop,Progressive Rock,Grindcore,Pop Rock,Christian,Post-Punk,Neue Deutsche H\u00e4rte,Post-Rock,Soundtrack,Brazilian Pop,Indie Pop,MPB,Garage Rock,user_id
0.6,0.8,,0.7,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9180
0.5,,,,,,,,,,,,,,0.8,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9181
0.7,0.6,0.8,,0.6,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9182
0.8,0.7,,0.8,,,,,,,,,,,,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9183
,0.9,0.7,0.6,,,0.8,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9184
,0.9,,,,,,0.8,,,,,,,0.7,,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9185
0.6,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9187
0.8,,0.9,0.7,,,0.6,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9188
,0.8,,,,,,,,,,,,,0.8,,,,0.9,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9189
0.5,0.9,,,,,0.6,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9190
0.8,0.7,0.9,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9191
0.9,0.5,0.8,0.6,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9192
0.6,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9193
,0.9,0.5,0.6,,,,0.7,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9194
0.6,0.8,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9195
0.8,0.7,0.9,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9196
,0.8,,,,,,,,,,,,,0.9,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9197
,0.9,0.8,0.7,,,0.7,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9198
0.8,0.8,0.9,0.7,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9199
0.9,,0.8,0.7,,,0.6,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9200
0.5,0.9,,,,,,0.7,,,,,,,,,0.6,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9201
0.6,0.8,0.6,0.7,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9202
0.9,,0.5,0.8,,,,,,,,,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9204
0.8,0.8,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9205
0.6,0.8,0.9,0.7,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9206
,0.8,0.7,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9207
0.8,,,0.7,,,,,,,,,,0.5,,,,0.9,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9208
,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.7,0.9,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9209
0.8,,,0.9,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,9210
0.8,0.7,0.9,0.6,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9211
0.8,0.6,0.9,0.7,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9212
,0.9,,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,9213
0.7,,,0.8,,,0.6,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,9214
0.8,0.5,0.9,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9215
0.8,,0.9,0.7,,,0.6,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9216
,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.9,,,,,,,,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,9217
0.8,,0.7,0.9,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,9219
0.6,0.8,,0.9,,,,,,,,,,,,,,,,,,,0.5,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9220
0.7,0.8,,0.6,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,9221
,0.7,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,9222
0.7,,,0.9,,,,,,,0.7,,0.8,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223
0.7,0.8,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9225
,0.7,,0.9,,,,,,,,,,,,,,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,9226
,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.5,,,,,,,,,,,,,,,9227
0.9,,0.8,0.7,,,0.6,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9229
0.8,,0.9,0.7,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9230
,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.5,0.9,,,,,,,,0.8,,,,,,,,,,0.7,,,,,,,,,,,,,,9231
,,,,,,,0.7,,,,,,,,,0.9,,,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9232
,,0.6,,,,,0.5,,,,,,,,,,0.4,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,9233
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.8,,,,,,,,,,,,,,,,,0.9,0.6,0.5,,,,,,,,,,9234
0.7,,,0.9,,,,,,,0.5,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,9236
,0.7,,,,,,,,,,,,,,,,0.8,,,,,,,,0.6,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,9237
0.9,0.6,0.8,0.7,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9238
0.8,0.6,0.9,0.7,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9240
0.8,0.5,0.9,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9242
,,,,,,,0.8,,,,,,,,,,,,,1.0,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,0.6,,,,,,,,9243
0.8,0.5,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,9244
0.8,,,0.9,,,,,,,0.5,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9245
0.8,,0.9,,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,9246
0.7,0.6,0.8,0.9,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9248
0.9,,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.8,,,,,,,,,,,,9249
,,,,,,,,,,,,,,,,,,0.8,,,,,,0.5,,,,,,,0.9,,,,,,,,,,,,,,,0.6,,,,,,,,,0.7,,,,,,,,9250
0.8,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,9251
0.6,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9253
,,,0.6,,,0.8,,,,,,,,,,0.7,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,9254
0.7,0.9,0.6,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9255
0.9,0.5,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,9256
0.8,0.6,,0.9,,,,,,,,,,,,,,0.7,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9257
0.9,,0.8,0.7,,,,,,,,,,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9259
,,0.9,,,,,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,9260
0.8,0.6,0.8,0.9,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9261
0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,9263
0.7,0.6,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,9264
0.7,0.5,0.9,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9265
0.8,,0.9,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,9266
0.5,0.7,0.9,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9267
0.8,0.7,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9268
0.7,,0.9,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9269
0.7,0.6,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9270
0.8,,,,0.7,,,,,0.6,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,9271
0.6,0.8,0.7,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9272
