Heavy Metal,Thrash Metal,Rock,Alternative,Rap,Electronic,Metal,Drum and Bass,Dance,Jazz,Pop,Film Score,Post-Punk,Indie Rock,Alternative Rock,New Wave,Punk,Indie,Hip Hop,Polish Rap,Reggae,Hardcore,Hip-Hop,Post-Hardcore,Alternative Metal,Indie Pop,Soundtrack,Art Pop,Progressive Rock,World Music,Folk,Grunge,Post-Grunge,Punk Rock,Pop Rock,Soul,Trip-Hop,R&B,Polish,Latin,LGBT+,Psychedelic Rock,Ambient,Gothic Rock,Nu Metal,Hard Rock,Industrial,MPB (Brazilian Popular Music),Classical,K-Pop,Symphonic Metal,Psychedelic,Funk,Relaxation,Metalcore,Acoustic,EDM,Reggaeton,Latin Pop,Trap,Death Metal,Black Metal,Synth-pop,Disco,Samba,Pop Punk,Country,Electropop,J-Pop,Instrumental,Video Game Music,Blues Rock,Psychedelic Pop,Teen Pop,Brazilian Rock,user_id
,,0.9,0.6,,,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8230
,,0.7,,,0.6,,,,,0.8,,,,,,,,,,,,0.6,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8232
,,,0.8,,0.6,,,,0.6,,,,0.7,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8234
,,,,,,,,,0.6,,0.9,,,,,,,,,,,,,,,,0.8,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8235
,,,0.7,,,,,,,0.9,,,,,,,0.8,,,,,0.5,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8236
,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8237
,,0.8,0.7,,,,,,,0.9,,,,,,,0.6,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8238
,,,,,0.7,,,,,0.9,,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8239
,,0.5,0.8,,,,,,,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8241
,,,,0.8,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8244
,,,,,0.7,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8246
,,0.8,0.7,,,,,,,0.7,,,,,,,,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8247
,,0.7,0.8,,0.6,,,,,0.5,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8249
,,,0.8,,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8251
,,0.9,0.8,,,,,,,0.5,,,,,,,0.6,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8252
,,,,,0.8,,,,,0.8,,,,,,,0.9,,,0.7,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8253
,,,,,,0.8,,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8254
,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8255
,,0.9,0.8,,,0.7,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8256
,,,,,0.6,,,,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,8258
,,0.8,0.6,,,,,,,0.7,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,8259
,,,,,0.5,,,,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8260
,,,,,,,,0.5,,0.9,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8261
,,,0.6,0.7,,,,,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,8262
,,,,,,,,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,8263
,,,0.5,,,,,,,0.9,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8264
,,,,,,,,,,0.6,,,0.7,0.9,,,,,,,,,,,,,,,,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8266
,,,,,0.5,,,0.8,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8267
,,0.9,,,,0.5,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,8268
,,0.9,0.7,,,0.7,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,8269
,,0.6,,,0.7,,,,,0.8,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,8270
,,,0.6,,0.8,,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8271
,,,,0.6,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,8272
,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,0.7,0.6,,,,,,,,,,,,,,,,8274
,,,,,,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8275
,,0.7,,,0.5,,,,,0.9,,,,,,,0.6,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8277
,,,0.6,,0.5,,,,,0.9,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8279
,,,,,,,,0.6,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8280
,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.9,0.9,,,,,,,,,,,,,,8281
,,,0.7,,,,,,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,8283
,,,,,0.7,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,8284
,,0.7,,,,,,,,0.9,,,,,0.6,,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8285
,,,,,0.6,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8286
,,,,,0.7,,,0.9,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,8287
,,,,,0.7,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8289
,,0.5,0.8,,0.7,,,,,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8290
,,,,,0.7,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,8291
,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8293
,,0.6,0.8,,,,,,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8294
,,0.6,0.9,,0.5,,,,,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8295
,,,,,,,,,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.5,,,,,,,,,,,8297
,,,0.6,,0.5,,,,,0.9,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8298
,,,0.6,,0.8,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,8300
,,,0.7,,0.5,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8301
,,,,,0.5,,,0.6,,0.9,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8302
,,,0.8,,0.6,,,,,0.9,,,,,,,0.7,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8303
,,,0.8,,0.6,,,,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8304
,,,0.6,,0.7,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,8305
,,0.5,,,,,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,8306
,,0.9,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8307
,,,,,,,,,,,,,,0.8,,,,,,,,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.7,,,,,,,,,,8308
,,0.7,0.6,,,,,,,0.9,,,,,,,0.8,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8310
,,0.7,0.6,,,,,,,0.8,,,,,,,0.9,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8311
,,0.5,0.8,,,,,,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,8314
,,,0.9,,0.5,,,,,0.8,,,,,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8318
,,,0.5,,,,,,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,8319
,,,0.6,,,,,,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,8320
,,0.7,,,,,,,,0.9,,,,,,,0.6,,,,,,,,,,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8321
,,,,,0.6,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8322
,,,0.7,,,,,,,,,,,,0.6,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,8324
,,0.6,,,,,,,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,8325
,,0.7,0.5,,,,,,,0.9,,,,,,0.6,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8326
,,,0.7,,0.5,,,,,0.9,,,,,,,0.8,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8327
,,,,,0.6,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8328
,,,,0.9,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,0.7,,,,,8329
,,,0.4,,,,,,,0.9,,,,,,,0.6,,,,,,,,,,,,,,,,,,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8330
,,,,0.7,,,,,,0.6,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8331
,,,,,,,,0.8,,0.9,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,8332
,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,,,8333
,,,,,,,,0.6,,1.0,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8334
,,,0.6,,0.8,,,,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8335
,,,,,,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8337
,,,,,,,,0.5,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.8,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,8338
,,,,,,,,0.6,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8339
,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.6,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.8,,8340
,,,,,0.6,,,,,0.5,,,,,,,,,,,,0.8,,,,,,,,,,,,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8341
,,,0.6,,,,,,,0.9,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,8342
,,0.8,0.9,,,,,,,0.5,,,,,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8343
,,0.6,,,,0.4,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.5,8344
,,,0.6,,,,,,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,8345
