Pop,Rock,Indie,Alternative,MPB (Brazilian Popular Music),R&B,Hip-Hop,Latin,Emo,Classic Rock,Punk,Electronic,Post-Hardcore,Indie Folk,Ambient,Electronicore,Meditation,Alternative Rock,Pop Rock,Indie Pop,Rap,Folk Pop,Country,Pop Punk,Power Pop,Cumbia,Indie Rock,Metal,Christian Rock,Folk,Classical,World,Christian/Gospel,Brazilian,Brazilian Rock,Post-Punk Revival,Psychedelic Rock,Reggae,Gospel,Soul,Contemporary Christian,Punk Rock,Alternative Metal,Skate Punk,Jazz,Sertanejo,Grunge,Psychedelic,Singer-Songwriter,Experimental,Blues Rock,Ska,Heavy Metal,Progressive Rock,Hardcore Punk,Metalcore,Brazilian Hip Hop,Hardcore,Brazilian Pop,Dance,Electropop,Teen Pop,Art Pop,Nu Metal,Industrial,Hip Hop,K-Pop,Synthpop,Darkwave,New Wave,Samba,Synth-pop,Alternative R&B,user_id
0.8,,,0.7,0.3,,,,,,,,,,,,,,0.6,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318
0.9,,,,,0.8,0.7,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319
,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.6,,,,,,,,320
0.9,,,,,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,321
0.9,0.6,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322
0.9,0.5,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,323
0.9,,0.7,0.5,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,324
0.9,,0.7,0.6,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325
0.9,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,326
0.9,0.7,0.8,,,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328
0.9,,0.7,,,,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329
,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.9,0.7,0.6,,,,330
0.9,,,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,331
0.9,,0.7,0.6,,0.8,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333
0.9,,0.6,,,0.8,0.7,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334
1.0,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,335
0.9,0.6,0.8,0.7,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336
0.8,,,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,337
0.9,,0.7,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,338
,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.7,,,,,,,,,0.8,0.6,339
