Pop Punk,Alternative Rock,Emo,Indie Pop,Rock,Alternative,Indie,Punk,Blues,Pop,Classic Rock,J-Pop,Blues Rock,Orchestral,Power Metal,Gothic Rock,Glam Metal,Post-Hardcore,Folk,French Pop,Indie Rock,Post-Punk,Electronic,R&B,Dance,Gothic,Symphonic Metal,Folk Metal,Film Score,Melodic Death Metal,K-Pop,Hip-Hop,Experimental,Darkwave,Industrial,Metal,Grunge,Ambient,Rap,Synthpop,Electropop,Hip Hop,Alternative Metal,Gothic Metal,Progressive Metal,Goth,EBM,Game Soundtrack,Heavy Metal,Comedy,Progressive Rock,Doom Metal,Country,Celtic,Shoegaze,Dream Pop,J-Rock,Hard Rock,Pop Rock,Nu Metal,Classical,Metalcore,MPB,New Wave,Electro,Swing,Medieval Rock,Neue Deutsche H\u00e4rte,Black Metal,Death Metal,Folk Punk,Post-Grunge,Folk Rock,Soul,Techno,Synthwave,Trance,Drum and Bass,Deathcore,Post-Rock,Psychedelic,Punk Rock,Garage Rock,Art Pop,Latin Rock,Reggae,user_id
,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.9,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4019
,,,,,0.6,,,,0.9,,,,,,,,,,,,,0.8,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4020
,,,,,,,,,,,0.5,,,,,,,,,,,0.9,,,,,,,,,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4021
,,,,0.9,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4022
,,,,0.7,0.9,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4023
,,,,,0.7,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4024
,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4025
,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4026
,,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4027
,0.8,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.9,0.5,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4028
,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.7,0.9,,,,,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4029
,,,,0.8,0.7,,0.9,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4030
,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.6,,,,,,,,0.7,0.9,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4031
,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.7,,,,,,,0.7,0.6,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4032
,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4033
,,,,0.8,0.9,0.7,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4034
,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,0.9,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4036
,,,,0.5,,,,,0.9,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4038
,,,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4040
,,,,,0.8,0.9,,,0.7,,,,,,,,,0.6,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4041
,,,,0.8,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4044
,,,,0.7,,,,,0.9,,,,,,,,,,,,,0.6,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4045
,0.7,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4046
,,,,0.9,0.8,0.6,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4047
,,,,0.7,0.6,,,,0.8,,,,,,,,,,,,,0.4,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4049
,,,,0.9,0.8,,,,,,,,,,,,,,,,,0.7,,,0.5,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4050
,,,,0.8,0.9,,,,,,,,,,,,,,,,,0.6,,,0.7,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4051
,0.8,,,,,,,,,,,,,,,,,0.5,,,,0.6,,,0.7,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4052
,0.9,,0.7,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,4053
,0.8,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,4054
,,,,,0.9,,,,0.7,,,,,,,,,,,,,0.7,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4055
,,,,,0.6,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4056
,0.8,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,4057
,,,,,,,0.6,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4058
,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4059
,,,,0.9,0.7,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4060
,0.7,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.8,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,4061
,,,,0.8,0.9,0.7,,,0.6,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4062
,,,,0.6,0.8,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,4063
,,,,0.9,0.8,,,,0.7,,,,,,,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4064
,,,,,0.5,0.4,,,0.9,,,,,,,,,,,,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4065
,,,,0.9,0.8,,,,0.6,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4066
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,4067
,,,,0.8,0.9,0.7,,,,,,,,,,,0.5,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4068
,,,,0.6,0.7,0.5,,,0.9,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4069
,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,4070
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,4071
,0.9,,,,,,0.8,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,4072
,,,,0.7,0.9,0.8,0.7,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4073
,,,,,,,0.6,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,4074
,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.8,0.5,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,4075
,,,,0.8,,,,0.9,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,4076
,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,4077
,0.8,,,,,,,,,,,,,,,,,,,,,0.7,,,0.6,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,4078
,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.7,0.9,,,,,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4079
,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.9,0.8,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,4080
,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.6,,,,,,,,0.9,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4081
,0.8,,,,,,,,,,,,,,,,,,,,,0.7,,,0.6,,,,,,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4082
,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,0.9,0.8,,,,,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4083
,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.7,0.9,,,,,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4084
,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,0.8,,,,,,,,,,,4086
,,,,0.8,0.9,,,,0.6,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4087
,,,,0.9,0.9,0.7,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4088
,,,,0.9,0.8,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089
,,,,0.6,,0.7,,,0.5,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,4090
,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,0.7,,,,,0.7,,,,,,,,,,,,,0.9,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,4092
,,,0.7,,,,,,,,,,,,,,,,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,4093
,,,,,,0.5,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.8,,,,,,,,,,,,,,,,,0.7,,,,,,,,4094
,,,,,,0.8,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.9,,,,,,,4095
,,,,0.8,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,4097
,,,,0.9,0.8,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,4098
,0.9,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,4099
,,,,,0.8,0.9,,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,4100
,,,,0.8,0.7,0.9,,0.5,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4101
,,,,0.9,0.8,0.8,,,0.6,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4102
,,,,0.7,0.8,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4103
,,0.8,,0.7,,0.5,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104
,,,,,,,,,0.5,0.6,,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,4105
,0.8,0.9,,,,,,,,,,,,,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,4107
,,,,,0.9,0.8,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4108
,,,,0.7,0.4,0.6,,,0.9,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4109
,,,,0.9,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,4110
,,,,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,4111
