Indie,Alternative,Rock,Pop,Psychedelic,Punk,K-pop,Post-Punk,Gothic Rock,Hip Hop,Electronic,Metalcore,R&B,Hip-Hop,Ambient,Brazilian Pop,Brazilian Hip-Hop,Rap,Underground Hip-Hop,Folk,Art Pop,Experimental,Indie Pop,Alternative R&B,K-Pop,J-Pop,Video Game Music,Dream Pop,Brazilian,Shoegaze,Metal,Gothic,Bossa Nova,Soul,Samba,Jazz Rap,Latin,Alternative Rock,Psychedelic Pop,Hard Rock,Pop Punk,Emo,Post-Hardcore,Indie Rock,Acoustic,Dance,Reggae,Heavy Metal,Blues,Thrash Metal,Folk Metal,Classic Rock,Blues Rock,Psychedelic Rock,Garage Rock,Brazilian Rock,Post-Punk Revival,Brazilian Music,Christian Music,Ska,Progressive Metal,Power Metal,Symphonic Metal,Pop Rock,Black Metal,Grunge,Hardcore,Punk Rock,Alternative Metal,Deathcore,Progressive Rock,Instrumental Rock,Country,Soundtrack,Flamenco Pop,Industrial Metal,Progressive,Nu Metal,Funk Rock,Comedy,user_id
,,,0.7,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.9,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9594
,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.8,,,0.7,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,9595
,0.8,0.9,0.7,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9596
,0.7,0.9,,,0.8,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.8,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.6,,,,,,0.7,,,,,,,,9598
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9599
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.7,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,9601
0.6,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,9602
,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.8,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9604
,0.5,0.7,0.9,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9605
,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,9606
0.9,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9607
,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.8,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,9608
