Alternative,Electronic,Experimental,Indie,Rock,Alternative Rock,Industrial,Grunge,Punk,Progressive,Rap,Hip-Hop,Pop Punk,Classic Rock,Folk,Downtempo,Trip Hop,Electronica,Ambient,Dub,Pop,Grindcore,Metal,Classical,Hip Hop,Funk,Hardcore,Alternative Metal,Progressive Rock,Nu Metal,Experimental Rock,R&B,Psychedelic,World,Post-Rock,Jazz Fusion,Indie Rock,Latin,Nu Jazz,Reggae,New Wave,Industrial Rock,Heavy Metal,Synthpop,K-Pop,Dance,Teen Pop,Country,Sertanejo,Brazilian Hip-Hop,MPB,Synth-pop,Soul,Adult Contemporary,Jazz,J-Pop,Shoegaze,Gospel,Dream Pop,Christian Rock,EBM,Darkwave,Symphonic Metal,Pop Rock,Italian Music,Eurovision,Dance-pop,Gothic,Chillwave,user_id
0.6,0.9,0.8,0.7,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2826
,,,,0.6,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.5,,,,,,0.4,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,2827
,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,2828
,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,0.6,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,2829
0.5,,,0.4,0.7,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,2830
0.7,0.6,,0.4,0.5,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2831
,,,,,,,,,,,0.6,,,,,,,,,1.0,,,,,,,,,,,0.8,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,2832
,0.6,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,2834
,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,2835
,,,,0.6,,,,,,,0.7,,,,,,,,,0.9,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2836
,,,,,,,,,,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,2837
,0.7,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,2839
0.8,,,0.7,0.6,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2840
,,,,0.6,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,2841
,0.6,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,2842
,0.6,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,2843
,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.8,,,,,,,,,,,,,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,2844
0.7,0.8,,0.6,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2845
,,,,,,,,,,,0.6,,,,,,,,,0.8,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,2846
,,,,,,,,,,,0.6,,,,,,,,,0.9,,,,,,,,,,,0.8,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,2847
0.6,,,0.7,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2848
,0.6,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.8,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,2849
0.8,0.5,,0.7,0.6,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850
0.6,,,,0.7,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,2851
,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.8,,,,,,,,0.6,0.3,,,,,,,,,,,,,,,2852
0.5,0.6,,,0.7,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,2853
,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,2854
0.5,,,0.6,0.7,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2855
,0.6,,,,,,,,,,0.8,,,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2856
,,,,0.6,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,2857
,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,2858
,0.6,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.8,,,,,,,,,,0.5,,,,,,,,,,,,,,2859
0.8,,,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,2860
,0.7,,0.5,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,2861
,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,0.6,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,2862
,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.6,,,,,,,,,,,,,,,0.7,0.5,,,,,,,,,,2863
0.8,,,,0.7,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2864
,0.7,,0.7,0.6,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,2865
,0.7,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,2866
0.8,0.5,,0.9,0.6,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2868
,0.8,,0.7,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,2869
0.6,0.8,,0.7,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,2870
0.6,0.7,,,0.5,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2871
,0.6,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,2872
,,,,,,,,,,,0.7,,,,,,,,,0.9,,,,,,,,,,,0.8,,,,,,0.6,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,2873
0.8,0.6,,,0.7,,,,,,,,,,,,,,0.5,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2874
,0.6,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,2875
0.6,0.8,,,,,,,,,,0.7,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,2876
,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,2877
,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,2878
,0.8,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,2879
,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,0.3,0.6,,,,,,2880
,0.6,,,0.7,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,2882
,,,,,,,,,,,0.6,,,,,,,,,0.8,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,2884
,0.6,,,0.7,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,2887
,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.7,,,,,,0.6,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,2888
0.8,0.6,,0.7,0.7,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2889
,,,0.7,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,2890
,0.8,,0.5,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,2891
,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,0.7,,,,2892
,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,0.7,,,0.6,,,2893
,0.9,,0.6,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,2894
0.8,0.6,,0.7,0.9,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2895
,0.6,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,2896
,0.7,,0.6,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2897
0.5,0.8,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.6,,2899
,,,0.5,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900
,0.8,,,0.6,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,2901
,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.7,,,,,,,0.5,,,,,,,,,,,,,,,,,2902
,0.6,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,2903
0.7,0.8,,0.9,0.5,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2905
,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.8,,,,,,,,,,0.7,2906
,0.6,,0.8,0.9,,,,,,,,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2907
