Pop,R&B,Country,Rock,Dance,Electronic,Metal,Alternative,Latin,Indie,Indie Pop,Electropop,Alternative Rock,Nu Metal,Post-Grunge,Hip-Hop,K-Pop,Dance-Pop,Pop-Rock,Heavy Metal,Hard Rock,Thrash Metal,Power Metal,Ambient,Gothic Metal,Darkwave,Sertanejo,Dream Pop,Post-Punk,MPB (Brazilian Popular Music),Symphonic Metal,Gothic,Soul,Synth-pop,Brazilian Music,Pop Rock,Folk,Experimental,Rap,Vaporwave,Samba,French Pop,Punk,Shoegaze,Jazz,Psychedelic,Indie Rock,Psychedelic Rock,Hip Hop,Electro,Progressive Rock,Experimental Hip Hop,New Wave,Glam Rock,Post-Hardcore,Grunge,Goth,Brazilian,Post-Rock,Hardcore Punk,Progressive Metal,Brazilian Rock,Punk Rock,Hardcore,Reggae,Psytrance,Dub,Brazilian Rap,Classical,Brazilian Hip-Hop,MPB,Trap,Underground,Synthpop,Indie Electronic,Alternative Dance,Acoustic,Pop Punk,New Age,Art Pop,Funk,Contemporary,user_id
0.9,0.5,,0.8,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885
0.5,,,,,0.9,,0.6,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1886
,,,0.6,,0.8,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1888
0.5,,,0.6,,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1889
0.7,,,0.9,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890
,,,0.8,,,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1891
0.9,0.7,,,0.8,,,,,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892
0.5,,,,,,,0.7,,0.9,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893
,,,0.8,,,,0.8,,0.9,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896
,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.8,,,,,,,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897
0.6,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898
,,,0.8,,,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899
0.9,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.9,,,0.8,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901
,,,0.9,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904
,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.5,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,1905
0.5,,,0.8,,,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,1906
0.9,0.8,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1907
,,,0.7,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,1908
,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,1909
,,,0.8,,,,0.7,,0.9,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,1911
,,,0.7,,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912
0.9,,0.5,,,,,,,0.4,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1913
,,,,,,0.5,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,1914
,,,0.8,,0.6,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1915
0.9,,,0.7,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916
0.7,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.6,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,1917
,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,0.8,,,,,,,,,,,,,,,1918
,,,,,,,0.5,,0.7,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,1919
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,0.7,,,,,,,,,,,1920
0.9,0.7,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1922
0.8,,,,,0.7,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1923
,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,1924
0.9,,,0.7,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1925
,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,,,,,,,1926
0.9,0.8,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1928
0.9,0.7,,0.6,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930
,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1931
1.0,0.8,,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932
0.7,,,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,1933
0.9,,,0.7,,,,0.6,,0.5,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934
0.9,0.8,,0.6,,0.5,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935
0.9,,,,0.8,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936
,,,0.8,,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,1937
0.9,0.8,,,,,,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938
,,,,,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,1939
0.9,0.7,,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940
,,,,,,,,,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,1941
,,,,,0.5,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942
0.8,,,0.6,,,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943
0.8,,,,,,,0.7,,0.7,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,1944
0.7,,,,,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,1945
0.9,0.6,,,,,,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946
,,,0.8,,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947
0.9,,,0.6,,,,0.7,,0.8,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948
1.0,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949
0.9,0.6,,,0.8,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950
0.7,,,0.8,,0.5,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951
0.9,,,,0.8,,,,,0.6,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,1952
0.9,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953
0.9,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1954
0.9,0.5,,0.6,,0.7,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955
