Alternative Rock,Indie Pop,Post-Hardcore,R&B,Film Score,Rock,Metal,Punk,Hardcore,Alternative,Hip Hop,Rap,Alternative R&B,Indie,Pop,Brazilian,Country,Classic Rock,Indie Folk,Pop Punk,Folk,Psychedelic,Reggae,Brazilian Pop,Soul,Electronic,Dance,Chillout,Nu-Jazz,Downtempo,K-Pop,Synth-pop,Sertanejo,MPB (Brazilian Popular Music),Hip-Hop,Indie Rock,Post-Punk Revival,New Wave,Latin,Gospel,Ambient,Forr\u00f3,Experimental,Synthwave,World,Progressive Rock,Teen Pop,Disco,Funk,Grunge,Blues,Gothic Rock,Post-Punk,Rockabilly,Psychedelic Pop,Brazilian Indie,Progressive,World Music,Brazilian Rock,Metalcore,Post-Grunge,Hard Rock,Heavy Metal,Gothic Metal,Darkwave,Lo-Fi,user_id
,,,0.7,,0.5,,,,,,,,,0.9,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1526
,,,0.8,,,,,,,,,,,0.9,,,,,,,,,,0.6,0.7,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527
,,,,,0.7,,,,,,,,0.6,0.9,,,,,,,,,,,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528
,,,,,0.5,,0.6,,,,,,,0.9,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529
,,,0.7,,0.6,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1531
,,,0.7,,,,,,,,,,,0.9,,,,,,,,,,,,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1532
0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533
,,,0.6,,0.6,,,,,,,,,0.9,,0.5,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1534
,,,,,,,,,,,,,0.6,0.9,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536
,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,1537
,,,,,0.8,,,,0.9,,,,0.8,,,,,,,,,,,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539
,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,1540
,,,0.8,,0.7,,,,0.6,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1541
,,,0.7,,,,,,,,,,,0.9,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1542
,,,0.6,,,,,,,,,,,1.0,,,,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1543
,,,,,,,,,,,,,,0.7,,,0.8,,,,,,,,,,,,,,0.8,,,,,,0.9,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,1544
,,,0.7,,,,,,,,,,,0.9,,,,,,,,0.5,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545
,,,,,,,,,0.7,,,,0.9,0.8,,,,,,,,,,,0.5,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1546
,,,,,0.9,0.6,,,0.8,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1547
,,,,,0.7,,,,0.8,,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1548
,,,,,0.6,,,,,,,,,0.8,,,,,,,,,,,0.7,0.7,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1549
,,,,,0.8,,0.5,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550
,,,0.8,,,,,,,,,,,1.0,,,,,,,,,,,,0.7,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1552
,,,,,0.8,,,,,,,,,0.9,,,0.7,,,,,,,,0.7,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1553
,,,0.8,,,,,,,,,,,1.0,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554
,,,0.8,,0.5,,,,,,,,,0.9,,0.6,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1555
,,,0.7,,,,,,,,,,,0.9,,,,,,,,,,,,0.8,,,,0.5,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556
,,,,,0.7,,0.5,,,,,,0.4,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557
,,,0.7,,,,,,,,,,,0.9,,0.6,,,,,,,,,0.5,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1558
,,,0.8,,,,,,,,,,,1.0,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,1559
,,,,,,,,,,,,,,0.9,,,,,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,1560
,,,0.6,,,,,,,,,,,1.0,,,,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1561
,,,0.7,,,,,,,,,,,1.0,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1562
,,,0.7,,,,,,,,,,,0.9,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1565
,,,,,0.9,,,,0.6,,,,0.5,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1566
,,,,,0.8,,,,0.9,,,,0.9,,,,,,,,0.7,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567
,,,0.6,,0.5,,,,0.8,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568
,,,,,0.9,,,,0.8,,,,,,,,,,,,0.5,,,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1569
,,,,,0.8,,,,,0.6,0.7,,,,,,0.9,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570
,,,,,0.6,,,,0.7,,,,0.8,0.7,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1571
,,,,,0.9,0.6,,,0.8,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,1572
,,,,,,,,,0.8,,,,0.7,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,1573
,,,,,0.7,,0.5,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,1574
,,,,,0.5,,,,0.7,,,,0.7,0.9,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575
,,,,,0.8,0.5,,,0.7,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576
,,,,,0.8,,,,0.7,,,,0.9,0.5,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577
,,,,,,,,,0.7,,,,0.9,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1578
0.8,,,,,,,,,,0.6,,,,0.5,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,1579
,,,,,,,0.8,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,1580
,,,,,0.8,,,,0.7,,,,0.9,,,,,,,,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581
,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.8,0.7,,,,,,,,,,,1582
,,,0.8,,,,,,,,,,0.7,0.9,,,,,,,,,,,0.6,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1583
,,,,,0.7,,,,0.8,,,,0.9,,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584
,0.9,,,,,,,,0.8,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1586
,,,,,0.8,,,,,,,,0.9,0.7,0.5,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587
,,,,,0.9,0.8,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,1588
,,,,,0.6,,,,0.7,,,,0.8,0.9,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590
,,,,,,,,,0.7,,,,0.6,0.9,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1591
,,,0.7,,0.6,,,,,,,,0.4,0.9,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1592
,,,,,0.5,,0.7,,0.9,,,,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1593
,,,,,0.9,,,,0.8,,,,0.8,0.7,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1594
,,,,,0.7,,,,0.8,,,,0.9,0.6,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595
,,,,,0.8,,,,0.7,,,,0.9,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1596
,,,,,,,,,0.7,,,,0.7,,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,1597
,,,,,,,,,0.8,,,,0.9,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,1598
,,,0.7,,0.8,,,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,1599
,,,,,0.7,,,,0.8,,,,0.6,0.9,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601
,,,0.7,,,,,,,,,,,0.9,,,,,,,,,,,0.6,0.8,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602
,,,,,0.7,,,,0.5,,,,0.8,0.9,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1603
,,,0.7,,,,,,,,,,0.5,0.9,,,,,,,,,,,0.4,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1604
,,,,,0.7,,,,0.8,,,,0.7,0.9,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605
,,,,,0.9,,,,0.7,,,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,1606
0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.6,0.5,,,,,1607
,,,,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,0.5,,,1608
,,,,,0.7,,,,0.9,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1609
,,,,,0.9,,0.7,,0.8,,,,0.6,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610
,,,,,,,,,0.9,,,,0.8,0.6,,,,,,,,,,,0.7,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611
,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,0.7,,1612
,,,,,,,,,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.7,1613
,,,0.7,,,,,,,,,,0.6,0.9,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1615
,,,0.8,,,,,,,,,,,0.9,,,,,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1616
,,,,0.7,,,,,,,,,,0.8,,,,,,,,,,,0.6,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1617
,,,0.8,,,,,,,,,,,0.9,,,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618
,,,,,,,,,0.7,,,,0.8,0.9,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1619
