Pop,R&B,Hip-Hop,Dance,Latin,Rock,Country,Indie,Alternative,Electro,Electronic,Rap,Reggaeton,Funk Carioca,K-Pop,Lo-fi,Pop Rock,Teen Pop,Dance-pop,Gospel,Sertanejo,Synth-pop,Soul,Brazilian Rock,Brazilian Music,Psychedelic,MPB (Brazilian Popular Music),Experimental,Brazilian Psychedelic,Folk,Latin Pop,Trip-Hop,World,Pop-Rock,Classical,Brazilian,Disco,Classic Rock,Hard Rock,Progressive Rock,Alternative Rock,Indie Rock,Metal,Soft Rock,Grunge,Reggae,Punk,Metalcore,Hardcore,Indie Pop,Dream Pop,Indie Folk,Nu Metal,Acoustic,user_id
0.9,0.7,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5503
0.9,0.8,0.7,,,,,0.5,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5505
0.9,0.7,,,,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506
1.0,0.7,0.5,0.6,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5507
0.9,0.7,,0.8,0.6,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5508
1.0,0.8,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5509
1.0,,,0.9,,,,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5510
0.9,0.7,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5511
0.9,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5512
1.0,0.7,,0.6,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5513
0.9,,,0.7,,,,,,,0.6,,,,0.8,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5514
0.9,,0.5,,,0.8,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5515
0.9,,,0.7,,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5516
1.0,0.7,,0.6,,,0.4,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5517
0.9,0.7,,0.8,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5518
0.9,,,,,0.6,,,,,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5520
1.0,0.7,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5521
1.0,0.7,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5522
,,,,,,,,0.5,,,,,,,,0.6,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5523
0.9,0.7,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5524
1.0,0.6,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5525
0.9,0.7,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5526
0.9,0.8,,0.6,,0.5,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5527
0.8,,,,,0.9,,,0.7,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5528
1.0,0.7,,0.9,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5529
1.0,0.8,,0.7,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5530
1.0,0.7,,0.8,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5531
0.9,0.7,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5532
0.9,,,,,0.7,,0.8,0.8,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5533
0.9,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5534
0.9,0.5,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5535
1.0,0.6,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5536
0.9,0.8,,,,,,,0.6,,0.5,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5537
0.9,0.8,,0.6,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5538
0.9,,,,,,,0.7,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5539
,,,,,,,0.8,0.7,,0.9,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,5540
0.9,,,,,,0.7,0.6,,,,,,,,,,,,,,,0.5,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,5541
0.9,,0.5,,,0.7,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5543
0.5,,,,,0.6,,0.9,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5544
0.9,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,5546
0.9,0.7,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5547
0.9,0.6,,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5548
0.7,0.5,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,5549
0.9,,,0.8,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5550
0.6,,,,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,5552
0.9,0.7,,0.8,0.6,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5554
0.9,,,,,0.7,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,5555
0.9,0.8,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5556
0.9,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,5559
0.9,,,,,,,0.7,0.6,,0.8,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5560
0.9,0.7,,0.8,,0.5,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5562
0.9,,,0.8,,,,,,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5564
0.6,,,,,0.8,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,5565
1.0,0.6,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5566
0.9,,,0.7,,0.6,,,,,,,,,0.8,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5567
0.9,0.8,,,,0.7,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,5568
0.9,0.7,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5569
0.9,,,0.8,0.7,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,5570
0.9,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5571
,,,,,0.9,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.5,,,,,,,,,,,,,,,5573
0.9,0.5,,,,,,0.6,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5574
0.7,,,,,,,0.9,0.8,,0.6,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,5575
1.0,0.8,,0.7,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5576
0.9,,,,,0.7,,0.8,0.8,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,5578
1.0,,,0.9,0.6,,,,,,0.7,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5579
,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.6,0.5,,,,,,,,,,,5580
,,,,,0.9,,,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,5581
0.7,,,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,5582
,,,,,0.7,,0.4,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.5,,,,,,,5583
0.6,,,,,0.7,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,5584
,,,,,,,0.7,0.6,,,,,,,,0.8,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5585
0.7,,,,,0.9,,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,5586
0.6,,,,,0.9,,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,5587
,,,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.6,,,,,,5588
,,,,,,,,0.8,,0.7,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,,,,5589
0.7,,0.6,,,0.8,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5590
0.9,,,,,0.8,,0.6,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5591
0.9,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5592
0.9,,,,,0.6,,0.5,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5593
,,,,,,,0.9,0.8,,0.7,,,,,,,,,,,,,,,0.6,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,5594
,,,,,0.9,,0.6,0.8,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,5595
0.9,,,,0.7,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,5596
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.8,,,,,,,0.6,,,,,0.9,,5597
0.7,,,,,0.9,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,5598
