Pop,Electronic,R&B,Alternative,World,Rock,Brazilian Rock,Heavy Metal,Dance,Soul,Indie,Folk,Country,Hip-Hop,Latin,Metalcore,Progressive Metal,Djent,Latin Pop,MPB (Popular Brazilian Music),Punk,Glam Rock,Sertanejo,Samba,Classical,Bossa Nova,Pop Rock,Emo,K-Pop,Alternative Rock,Boy Band,Classic Rock,Jazz,Showtunes,Synth-pop,Speech/Spoken Word,Indie Rock,Smooth Jazz,Contemporary Jazz,Ambient,Flamenco,Pop-Rock,Electropop,Indie Pop,Alternative R&B,Symphonic Metal,Gothic Metal,Industrial Metal,Trance,Synthpop,Teen Pop,Italian Music,Psychedelic,Experimental,Art Pop,Metal,New Age,MPB (Brazilian Popular Music),Psychedelic Rock,Post-Punk,ASMR,Soundtrack,user_id
0.9,,0.6,0.8,,0.5,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195
0.9,,0.7,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196
0.9,0.7,,0.6,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197
0.9,,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199
0.9,0.7,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200
0.9,0.7,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201
0.9,,0.8,,,0.7,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202
0.9,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1203
0.8,,0.9,,,,,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204
0.9,,0.7,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1205
0.9,,,,,0.7,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1206
0.9,,0.7,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1207
0.9,0.6,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1208
0.8,,0.9,,,,,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209
1.0,,0.8,,,,,,0.7,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210
,0.6,0.9,0.7,,,,,,,0.8,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211
0.9,0.7,,,,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212
0.9,,,0.7,,0.8,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214
0.9,,0.8,,,,,,0.5,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215
0.9,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1216
0.7,,,,,0.8,,0.6,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1217
0.9,0.6,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1218
0.9,,,,,,,,,,,,0.5,0.7,,,,,,,,,,,,,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,1219
0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,1220
0.9,0.7,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,1221
1.0,,0.6,,,,,,0.8,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222
0.9,0.5,,0.8,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223
0.9,,0.7,,,0.5,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224
1.0,,0.8,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225
0.9,,0.8,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226
0.9,0.7,,,,,,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227
0.9,,,0.6,,0.8,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,1229
0.9,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230
0.8,0.5,,0.6,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231
0.9,0.5,0.8,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232
0.9,0.6,0.5,,,,,,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233
,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,1234
0.9,0.7,,,,,,,,,0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235
0.9,,0.8,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236
0.5,,,0.8,,0.9,,,,,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237
,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,0.9,0.8,0.5,,,,,,,,,,,,,,,1238
0.8,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,1239
0.9,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,1240
0.9,,,,,,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,1242
0.9,,,,,,,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,1243
,,,,,0.5,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,1244
0.8,0.6,,0.7,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,1245
1.0,0.7,,,,,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1246
0.8,,,,,0.7,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,1247
0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.8,0.7,,,,1249
,,,0.8,,0.7,,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,1250
0.9,0.6,,0.8,,0.5,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252
0.9,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253
0.9,0.6,,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1254
0.9,0.8,0.7,,,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255
0.9,,0.7,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256
0.9,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1257
0.9,0.5,,,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1258
0.9,0.6,0.7,0.5,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1259
1.0,0.5,0.8,,,,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260
0.9,0.5,,0.6,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1261
,,,0.8,,0.7,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,1262
0.9,,,0.8,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263
0.8,,,0.8,,0.9,,,,,0.7,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264
0.8,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,1265
,,,0.8,,0.7,,,,0.5,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1266
0.9,0.6,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,1267
1.0,0.6,0.8,,,,,,0.7,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268
,,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.9,0.7,,0.8,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,1270
0.9,0.6,0.8,,,,,,,,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271
0.9,,0.8,,,0.7,,,,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273
