Pop,Hip-Hop,R&B,Alternative,Country,Dance,Indie,Electronic,Soul,Gospel,MPB (Brazilian Popular Music),Rock,Dream Pop,K-Pop,Alternative Rock,Indie Pop,Alternative/Indie,Latin,Downtempo,Folk,Hip Hop,Rap,Metal,Disco,Punk,Reggaeton,Pop Rock,Pop Punk,Experimental,J-Pop,Synthpop,Art Pop,Indie Rock,Electropop,Singer-Songwriter,Synth-pop,New Wave,Teen Pop,Dance-pop,Tropic\u00e1lia,Grunge,Jazz,Audiobook,Brazilian,Brazilian Rock,Sertanejo,Art Rock,Funk,Nu Metal,Psychedelic,Progressive Rock,Symphonic Metal,International,user_id
1.0,,0.7,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6538
0.9,,0.7,,,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6540
1.0,0.6,0.8,,,0.7,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6541
,,,0.6,,,0.9,0.8,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6543
0.5,,,,,,,,,,,,,,0.7,,,,,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6544
0.9,,,,,0.8,,0.7,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6545
0.8,,,0.9,,,,,,,,0.9,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6546
,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,0.8,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,6547
1.0,0.6,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6548
0.9,,0.7,0.6,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6550
0.9,,,0.8,,,0.6,,,,,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6551
0.9,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,6552
0.9,,,0.8,,,0.7,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6553
0.9,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,6554
0.9,,0.8,,,,,,0.6,0.5,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6555
,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.8,0.7,,,,,,,,,,,,,,,,,,,6556
0.9,0.6,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6557
1.0,,0.6,,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6560
0.9,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,6564
0.6,,,0.8,,,,,,,,0.9,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,6566
0.9,,0.8,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6567
0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.5,,,,0.7,0.6,,,,,,,,,,,,,,,6568
0.8,,,,,,0.7,0.6,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,6569
0.8,,0.6,,,0.7,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6570
0.9,0.5,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,6571
0.7,0.8,0.6,0.5,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6572
0.9,0.6,0.8,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6573
0.8,0.7,0.9,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6574
0.9,0.8,0.7,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6575
0.9,0.5,0.7,0.4,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6576
0.8,,,,,0.6,,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6579
0.9,,,0.7,,,0.6,0.6,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6580
0.8,0.9,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6583
0.9,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,6584
0.9,,,0.5,,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6585
0.9,,0.7,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6586
0.8,0.7,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,6587
0.9,,0.6,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6588
0.9,,,,,,,,,,,0.7,,,,,,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,6589
0.8,,0.9,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,6590
0.7,,,0.6,,,,,,,,0.5,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,6591
0.9,,,0.8,,,,0.7,,,,,,0.6,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6592
,,,0.6,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.8,,0.9,,0.8,,,,,,,,,,,,,,,,,,6593
0.6,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.5,,,,,,,,,,6594
1.0,,0.7,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6595
1.0,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,6596
1.0,,,0.5,,,,,,,,,,0.8,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6597
0.9,,0.7,,,,0.5,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,6599
0.9,,0.6,0.7,,,0.8,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600
0.9,0.4,0.6,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6601
0.9,,,0.6,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6602
0.9,,,0.6,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,6603
1.0,,0.7,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6604
0.9,0.6,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6605
0.9,,,0.6,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6606
0.7,0.6,,0.8,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,6607
0.9,,0.6,0.8,,,0.7,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6608
0.9,,,0.8,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,6609
0.9,,0.8,,,,0.4,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,6610
0.9,,,0.6,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6611
0.9,,,0.8,,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6612
0.9,0.7,,0.4,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6613
1.0,,0.8,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6614
0.6,,,,,,,0.7,,,,0.8,,,,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6615
0.9,,,,,0.8,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6616
0.9,,0.6,0.8,,,0.7,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6617
0.6,,,0.8,,,0.9,,,,,0.7,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6618
0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,6619
,,,,,,0.8,,,,,,,,0.9,,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.7,,,,,6620
0.9,,,0.6,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6621
0.6,,,0.8,,,0.8,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,6623
0.9,,0.7,,,0.8,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6625
1.0,,0.6,,,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6626
0.9,,,0.7,,0.8,,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6627
,0.5,,0.8,,,0.9,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,6628
0.9,,0.6,0.5,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6629
0.8,,,0.6,,,,,,,0.7,,,0.8,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,6630
0.9,0.6,0.8,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6631
0.9,,0.7,,,0.8,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6635
0.9,,,0.6,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,6637
0.9,,,0.5,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,6638
0.9,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.8,6640
0.9,,0.8,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6641
0.9,,0.6,,,,0.5,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6642
0.9,0.6,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6643
0.9,,0.5,0.7,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6644
0.9,,,,0.6,,0.7,,,,0.4,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6645
0.8,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,6646
0.9,0.6,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,6647
