Pop,Electronic,Alternative,Indie,Rock,Latin,R&B,Funk,Folk,Ambient,Soul,Brazilian Music,Indie Pop,Alternative R&B,Electropop,Synth-pop,Art Pop,Dance,Hip Hop,Rap,Sertanejo,MPB (Brazilian Popular Music),Experimental,Brazilian,World,Symphonic Metal,Bossa Nova,Samba,Tropic\u00e1lia,Classic Rock,MPB,World Music,Disco,MPB (Popular Brazilian Music),Jazz,Alternative Rock,Classical,Indie Folk,K-Pop,Brazilian Pop,Heavy Metal,Blues,Psychedelic Rock,Hip-Hop,Post-Rock,Indie Rock,Country,Post-Punk,Gothic Rock,Brazilian Rock,Metal,Trap,Dream Pop,Psychedelic,Alternative Dance,Brazilian Funk,Pop Punk,Britpop,Emo,Punk,Children's Music,Baroque,user_id
0.5,,0.4,,,,,,0.6,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1066
,,0.8,0.9,0.6,,,,0.7,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067
0.9,,0.5,,0.7,,0.6,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068
,,,,,,,,,,,,,,,,,,,,,0.9,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069
0.9,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070
0.8,,,,0.7,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071
,,,,,,,,,,0.5,,,,,,0.9,,,,,,0.8,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072
,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.9,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1074
0.7,,0.9,0.8,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075
0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,1076
,,,,,0.8,,,,,0.7,,,,,,,,,,,,,,,,0.8,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077
0.7,,,,,,0.7,,,,0.8,,,,,,,,,,,1.0,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078
,,0.5,,,,,,,,,,,,,,,,,,,,0.7,,,,0.8,,,,0.9,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,1080
0.6,,0.8,0.9,,,,,0.7,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1081
0.7,,,0.8,0.6,,,,0.5,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082
0.8,,0.7,,0.9,,,,,,,,,,,,,,,,,0.9,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083
0.8,,0.7,0.7,0.9,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085
0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087
0.8,,,,0.7,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1088
0.8,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,1089
0.9,,,,,,0.8,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090
0.9,,,,,,0.8,,,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091
0.7,,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,1092
0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,1093
0.9,,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,1094
,,0.8,0.9,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,1095
0.9,0.4,,0.6,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096
0.7,,,,,,,,,,0.6,,,,,,,,,,,,,0.8,,,,,,,,,,,,,0.5,,,,,,,,,0.6,,,,,,,,,,,,,,,,,1097
0.8,,0.5,0.6,0.7,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098
,,,0.7,,,,,,,,,,,,,,,,,,,,0.9,,,,0.6,,,0.9,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,1099
0.7,0.5,0.9,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100
0.8,,0.6,0.7,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1101
,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6,,,,,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,1102
0.7,,0.8,0.8,0.6,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104
0.8,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105
,,,,,,,,,,,,,,,,,,,,,0.9,,,,,0.9,0.8,,,,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,1106
0.6,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107
0.6,0.5,,,0.4,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1108
0.7,0.6,0.8,0.9,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110
0.8,0.5,,,0.6,0.4,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111
,,0.9,0.8,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,1112
0.9,0.6,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113
0.8,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,1114
0.9,0.6,,,,,0.8,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,1115
0.9,0.5,,0.7,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116
0.9,0.8,,0.7,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,1117
0.9,,,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,0.5,,,,,,,,,,,,,,,,1118
0.9,,,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,1119
,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.9,0.8,0.6,,,,,,,,,,,,,1120
0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.3,0.6,,,,,,,,,,,1121
0.9,0.6,0.8,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122
0.8,0.9,0.6,0.7,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1123
0.9,,,,,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,1124
,,0.8,,,,,,,,,,0.9,,,,,,0.5,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,1125
0.9,0.6,0.5,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126
0.9,,0.6,0.5,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,1127
0.9,0.6,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1128
0.9,0.6,,,,,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129
0.8,,,0.6,0.7,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130
,,0.8,,,,,,,,,,0.9,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,1131
0.8,,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,1132
0.9,0.6,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,1133
0.9,0.7,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1134
0.9,,0.7,0.7,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1135
,0.8,,,,,,,,,,,0.9,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,1136
0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.7,,,,,,,,,,0.8,,,,,,,1137
1.0,0.5,,,,,0.6,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1138
0.9,,0.5,0.7,0.6,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1139
0.9,,0.5,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141
0.9,,0.7,0.8,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142
0.9,,,0.5,,,0.7,,,,0.6,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,0.8,,,,,,,,,,,0.7,0.6,0.5,,,,1144
1.0,,,,,,0.8,,,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1145
0.9,,,,,,0.8,,,,0.5,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,1146
0.9,0.7,,,0.6,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148
0.9,0.5,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149
0.6,,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,1150
0.8,0.6,0.7,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152
0.9,0.7,,,0.5,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,1153
0.8,,0.7,0.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,1154
0.9,,,,,,0.7,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1155
0.9,0.7,,0.6,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156
,,0.8,,,,,,,,,,,,,,0.8,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.6,1157
0.9,,,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,1158
0.6,,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1160
0.7,,0.8,,0.9,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1161
