Indie Pop,Alternative,Pop,Folk,Electronic,Dance,K-Pop,Indie,R&B,Rock,Soul,Industrial,Metal,Art Pop,Experimental,Synth-pop,Country,Punk,Rap,Psychedelic,Hip-Hop,Teen Pop,Classical,Death Metal,Rock n Roll,Electropop,Musical,Trip Hop,Jazz,Latin,MPB (Brazilian Popular Music),Classic Rock,Soundtrack,Gospel,Contemporary Christian,J-Pop,Progressive,Contemporary,Neo-Soul,Neoclassical,Alternative R&B,Contemporary R&B,Post-Punk,New Age,Brazilian,Grunge,user_id
,0.7,0.9,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,987
,,0.9,,0.7,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988
,0.4,0.9,,,,,,0.7,0.5,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,989
,,1.0,,0.6,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990
,,0.9,,0.6,,,0.5,,0.7,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,991
,,0.9,,,0.8,,,0.7,,0.5,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,992
,,0.9,,,0.8,,0.5,0.7,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,993
,,0.9,,0.5,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,995
,,0.9,,0.7,,0.8,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996
,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.9,0.7,,,,,,,,,,,,997
0.9,0.8,,,,,,,,,,,,0.6,,0.8,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,998
,0.7,0.6,,0.9,,,0.8,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999
,0.6,0.9,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000
,0.8,0.7,,,,,0.6,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001
,0.6,0.9,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002
,0.6,0.9,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,1003
,0.5,0.9,,,0.8,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004
,,0.9,,,0.6,0.7,,0.8,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1005
,,0.8,,,,0.7,,0.5,0.4,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,1006
,,1.0,,0.6,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1007
,,0.6,,,,,,,0.9,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,1008
,0.7,0.8,,,,0.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009
,,1.0,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,1010
,,0.9,,0.8,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,1011
,,1.0,,,0.8,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012
,,0.9,,,0.8,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013
,0.7,,,0.8,,,0.9,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,1014
,,0.9,,0.6,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015
,0.8,0.9,,,,,0.7,0.6,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,1016
,,0.8,,,,,0.6,,,,,,0.9,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,1017
,0.6,0.8,,0.4,,,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018
,0.8,0.9,,0.6,,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019
,0.9,0.6,,0.8,,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020
,0.6,0.9,,,,,0.7,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022
,0.9,,,,,,0.6,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,1023
0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.8,0.8,,,,,1024
,0.8,,,0.5,,,0.7,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025
,0.8,0.6,,,,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,1026
,0.7,0.8,,0.5,,,0.6,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027
,0.7,0.9,0.6,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029
,,0.8,,,,,,0.6,,0.7,,,,,,,,,,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,1030
,0.6,0.9,,,,,0.8,0.7,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1031
,,0.9,,0.5,,,0.6,0.8,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,1032
,,0.9,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.5,,,1033
0.8,,,,,,,,,,,,,0.7,0.5,,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.6,,,,,,1034
,0.7,0.9,0.6,0.5,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035
,,1.0,,,0.7,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036
,,0.9,,0.6,0.8,,,0.7,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1037
,0.8,0.5,0.6,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,1038
,0.4,0.9,,,,,0.7,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1039
,0.8,,0.5,0.7,,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040
,,0.7,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.8,0.6,1041
,0.7,0.9,,0.6,,,0.7,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,1042
,,0.9,,0.6,0.8,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1044
,,1.0,,0.6,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045
,0.7,0.9,,0.5,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046
,0.6,0.9,,0.7,,,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047
,0.8,0.9,,,,,0.8,0.7,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,1048
