Pop,Indie,Rock,Alternative,R&B,Teen Pop,Dance-Pop,Contemporary R&B,Hip-Hop,Dance,Electronic,Classic Rock,Blues Rock,Folk,Punk,Country,Pop Rock,Rap,Reggaeton,Metal,Latin,Psychedelic,Experimental,Alternative Rock,Indie Pop,Latin Alternative,Emo,Indie Rock,Garage Rock,Soul,K-Pop,Pop Punk,Hip Hop,Shoegaze,Brazilian Rock,Acoustic,Post-Hardcore,Reggae,Metalcore,Hardcore,Christian Metal,Heavy Metal,Progressive Metal,Punk Rock,Worship,Psychedelic Rock,MPB (Brazilian Popular Music),Britpop,Post-Punk,Psychedelic Pop,Grunge,Alternative/Indie,Nu Metal,Boy Band,Rock en Espa\u00f1ol,Classical,Samba,Christian Rock,Melodic Metalcore,Symphonic Metal,Alternative Metal,Euro-Disco,Italian Pop,Experimental Rock,Alternative Hip Hop,Hardcore Punk,Hard Rock,Blues,Nu-Metal,Sertanejo,Pop-Rock,Christian,Singer-Songwriter,Brazilian,user_id
,,,,,,,,,,,,,,,,0.7,,,,,,,0.9,0.8,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8621
0.9,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8622
0.8,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8625
,0.8,0.7,0.9,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8626
,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.7,0.6,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8627
0.8,,0.7,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8628
,0.8,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8629
0.7,0.6,0.5,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8630
,,,,,,,,,,,0.7,,,,,,,,,,,,0.9,0.6,,,,,,,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8631
0.6,0.9,0.5,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8632
0.7,,0.9,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8634
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8635
,0.7,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.8,,,,,,,,,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8637
0.7,0.8,0.9,0.8,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8638
,0.6,0.9,0.7,,,,,,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8639
,,0.8,0.9,,,,,,,,,,,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8641
0.7,0.8,0.9,0.8,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8642
0.7,0.9,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8643
0.4,0.7,0.8,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8644
0.6,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.7,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8645
,,0.8,0.7,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8646
0.8,0.8,0.9,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8647
,0.6,0.9,0.8,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8649
,,,0.8,,,,,,,,,,,0.7,,0.9,,,,,,,,,,,0.8,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8652
,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.6,,,,0.8,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8654
,0.7,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8655
,,,,,,,,,,,0.9,,,,,0.8,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,8658
,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,8659
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.1,,,,,,,,,,,,,,,,,,,,0.3,0.9,,,,,,,,,,,,,,,,,,,,,,,8660
,0.6,,,,,,,,,0.5,,,,,,,,,,,,,0.7,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8661
,0.9,,0.7,,,,,,,,,,,,,0.8,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8662
0.8,0.9,0.5,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8663
0.8,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,8665
,,,,,,,,,,,,,,,,0.9,,,,,,,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,8666
0.9,0.6,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8667
0.9,,0.7,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8668
,,,,,,,,,,,,,,,,0.6,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,8669
0.7,,0.8,,,,,,,,,,,,,,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,8670
,,0.9,0.8,0.6,,,,0.5,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8671
0.5,,0.9,0.6,,,,,,,,0.8,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8673
0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.8,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,8675
,0.5,0.9,0.8,,,,,0.6,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8676
,0.6,0.9,0.8,,,,,,,0.5,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8677
,0.7,0.8,0.9,,,,,,,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,8679
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.7,,,,,,,,,,,0.7,,,,,,,0.8,0.8,,,,,,,,,,,,,,8680
0.5,,0.9,0.6,,,,,,,,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8683
0.9,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,8684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,8685
,0.9,0.8,0.8,,,,,,,0.7,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8686
0.9,,,,0.8,,,,,0.7,,,,,,,,,,,0.5,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8687
,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.7,,,,,,,0.5,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,8688
,0.5,0.9,0.8,,,,,,,,,,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8689
0.7,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,8690
,,0.7,0.6,,,,,,,,,,,0.8,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8691
,,,,,,,,,,,,,,0.6,,,,,,,,,0.9,,,,0.8,,,,,,,0.5,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8692
,,0.9,0.7,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.6,,,,,,8693
,,0.9,0.8,,,,,,,,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,8694
,0.6,0.9,0.8,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8695
0.9,0.5,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8696
0.9,0.8,0.7,,,,,,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8697
0.7,,0.9,0.8,,,,,,,,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8698
0.5,0.6,0.9,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8699
,,0.9,0.8,,,,,,,,,,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,8700
,,0.9,0.8,,,,,,,,,,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,8701
0.8,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8702
0.7,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,8703
0.8,0.6,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,8705
,,0.9,0.7,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.6,,,8706
,0.8,,0.7,,,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,8707
0.7,0.9,,0.5,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,8708
0.5,,0.9,,,,,,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,8709
0.9,0.6,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8710
