Rock,Metal,Pop,Sertanejo,R&B,Indie Rock,Alternative Rock,Psychedelic Pop,Indie Pop,New Wave,Heavy Metal,Hard Rock,Thrash Metal,Classic Rock,Indie,Reggae,Alternative,Folk,Progressive,Blues,Psychedelic,MPB (Brazilian Popular Music),Hip-Hop,Jazz,Brazilian Rock,Hip Hop,MPB (Popular Brazilian Music),Trip-Hop,Instrumental Hip-Hop,Electronic,Downtempo,Punk,Latin,Nu Metal,Punk Rock,Metalcore,Alternative Metal,Hardcore,Grunge,Pop Rock,Surf Music,Brazilian,Psychedelic Rock,Experimental,MPB,Dance,K-Pop,Symphonic Metal,Country,Soundtrack,Soul,Rap,Teen Pop,Dance-pop,Samba,Indie Folk,Ska,Pop Punk,Emo,Lo-Fi,Brazilian Pop,Gothic,Post-Hardcore,Hardcore Punk,Brazilian Hip Hop,Gothic Rock,Mathcore,Classical,Power Metal,Glam Rock,Post-Grunge,Christian,Death Metal,Industrial,Film Score,Synthpop,Swedish,Progressive Metal,user_id
,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,7399
0.5,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,7400
0.7,,0.8,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7402
,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7403
0.8,,0.9,,,,,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,7404
0.9,,0.8,,,,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7405
0.7,,0.6,,,,,,,,,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7406
0.9,,0.8,,,,,,,,,,,0.7,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7408
,,,,,0.6,0.9,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7409
0.7,,,,,,,,,,,,,,0.8,,0.9,,,,,,0.6,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7410
0.9,,,,,,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,7411
,,,,,0.8,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,7412
0.9,0.7,0.5,,,,,,,,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7414
0.7,,,,,,,,,,,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,7415
0.7,,0.5,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7416
,,,,,,,,0.7,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,7417
0.7,,0.6,,,,,,,,,,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,7418
0.8,,0.5,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7419
0.8,0.7,0.5,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,7420
,,,,,,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.7,,,,,,,,,,,,,,,,7422
0.9,0.8,0.6,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7423
0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7424
,,,,,,,,,,0.9,,,,,,,,,,,,,,0.5,,,,,,,,,,0.7,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7425
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,0.5,0.7,,,,,,,,,,,,7426
,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,7427
0.9,0.8,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7428
0.9,,0.8,,,,,,,,,,,0.6,0.7,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7429
,,,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.8,,,,,,,,,,,,,,,,7430
0.9,0.6,,,,,,,,,,,,,0.5,,0.7,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7432
0.8,0.9,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7433
,,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,7435
0.8,0.5,0.7,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,7436
0.7,,0.6,,,,,,,,,,,,0.9,,0.8,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7437
,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,0.6,,,,,,,,,,,,,,,,7438
,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,7439
,,0.9,,,,,,,,,,,,0.7,,0.6,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440
0.9,,,,,,,,,,,,,,0.5,,0.8,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,7441
,,0.9,,0.8,,,,,,,,,,0.7,,0.5,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7442
,,,,,,0.5,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,7443
0.9,,0.8,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,7444
0.7,,0.9,,,,,,,,,,,,0.8,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7446
,,,,,0.7,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7447
0.8,,,,,,,,,,,,,,0.5,,0.9,,,,,,,,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7448
,,,,,,,,,,0.9,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.5,,,,,7449
,,0.8,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,,,7450
0.7,,0.8,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7451
0.8,,0.8,,,,,,,,,,,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7452
0.8,,0.7,,,,,,,,,,,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,7453
0.9,,0.8,,,,,,,,,,,,,,0.8,,,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7454
,,0.8,,0.6,,,,,,,,,,0.7,,,,,,,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7455
,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.5,7457
0.8,,0.9,,,,,,,,,,,,0.7,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7458
0.6,,0.7,,,,,,,,,,,,0.9,,0.8,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7459
,,,,,,,,,,,,,,0.9,,0.8,0.7,,,0.6,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7460
,,1.0,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7461
0.6,,0.8,,,,,,,,,,,,0.7,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7462
,,0.9,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,7463
