Pop,Rock,Indie,Alternative,Punk Rock,Pop Punk,Reggae,Alternative Rock,Brazilian Rock,Folk,Brazilian,Acoustic,Classic Rock,MPB (Brazilian Popular Music),Psychedelic Rock,Indie Rock,Brazilian Hip Hop,Emo,Punk,R&B,Sertanejo,Dance,K-Pop,Hip-Hop,Electronic,Latin,Country,Metal,Ax\u00e9,Samba,Soul,Blues,Brazilian Pop,Hip Hop,Metalcore,Gospel,Rap,Funk Carioca,Experimental,Progressive Rock,Grunge,Heavy Metal,Bossa Nova,Pop Rock,World,Shoegaze,Jazz,New Wave,MPB,Dream Pop,Indie Pop,Indie Folk,Classical,Psychedelic Pop,Alternative R&B,Glam Rock,Psychedelic,Tropic\u00e1lia,Flamenco,Fado,Thrash Metal,Garage Rock,Surf Rock,Ambient,Funk,user_id
0.8,,,,,,,,,,,,,0.7,,,,,,0.9,,,,,,,,,,,0.6,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,623
0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.7,0.6,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,624
0.8,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,625
0.6,0.7,0.9,0.8,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626
0.9,0.7,0.5,0.6,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627
0.6,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.9,,,,,,,,,,,,,,,,,628
0.8,0.7,0.6,0.5,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629
0.9,,0.7,,,,,,,,0.5,,,,,,,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630
,,0.9,,,,,,,0.7,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,631
0.9,,,0.6,,,,,,,,,,,,,,,,,,,,0.5,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632
,,,,,,,,,0.6,,,,0.9,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,633
0.9,,0.7,0.8,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,634
0.9,,,,,,,,,,,,,,,,,,,0.8,0.5,0.6,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635
,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.9,0.8,,,0.6,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,636
0.5,0.8,0.6,0.9,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637
,,,,,,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,0.6,,,,,,,,,,,,638
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,0.9,,,0.6,0.7,,,,,,,,,,,639
0.6,,0.7,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,640
0.8,0.9,,,,,,,,,0.6,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,641
,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.5,,,,,,,,,,,,0.6,,,,,,,,,,643
0.8,0.9,0.7,0.6,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644
,,,,,,,,,,,,,,,0.6,,,,,,,,,0.7,,,,,,,,,0.8,,,,,0.4,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,645
0.9,,0.8,0.7,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646
0.6,0.9,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,647
,,0.9,0.8,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.5,,,,,,,,,,,,,648
0.8,0.9,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,649
0.9,0.5,,,,,,,,,,,,,,,,,,0.8,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650
,0.8,0.5,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.6,,,,,,,,651
0.8,,0.9,0.7,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,652
,,0.7,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,653
0.8,,0.7,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,655
0.8,0.7,0.6,,,,,,,,,,,,,,,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656
,,,,,,,0.9,0.5,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,657
0.9,,,,,,,,,,,,,,,,,,,0.8,,,,,0.6,0.7,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,658
0.9,0.6,0.7,0.8,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659
0.8,,,0.5,,,,,,,,,,,,,,,,0.9,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660
0.9,0.7,0.8,,,,,,,,,,,,,,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661
0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,662
,,0.5,0.7,,,,,,,0.6,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,663
,0.7,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.5,,,,,,,,,664
,0.8,0.7,0.9,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,665
,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666
,,,,,,,,,,,,0.7,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,667
,,0.9,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,668
,0.7,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.6,,,,,,,,,0.8,,,,,,,,0.7,,,,,,,,,,,,,,,669
0.5,0.6,0.9,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670
0.5,0.6,0.8,0.9,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671
,,,,,,,,,,,,,,0.9,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,,,673
0.7,,0.9,0.8,,,,,,0.5,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674
,0.8,0.9,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677
0.5,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,678
,0.8,0.9,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,679
,,0.9,0.8,,,,,,,,,,,0.6,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,680
,,0.8,0.7,,,,,,,,,,,,,,,0.6,,,,,,0.9,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,681
0.5,0.7,0.9,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682
0.5,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,683
,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,684
0.9,,0.6,,,,,,,,,,,,,,,,,0.7,,0.8,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685
,,0.8,0.9,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,686
