Hip Hop,Samba,Rap,Brazilian Rock,Alternative,Rock,Indie,Hip-Hop,Pop,Dream Pop,Lo-Fi,Electronic,R&B,Metal,Pop Rock,Punk,Indie Pop,Alternative Rock,Classic Rock,Punk Rock,Indie Rock,Post-Hardcore,Experimental Rock,Pop Punk,Emo,Metalcore,Reggae,Hard Rock,Grunge,Folk,MPB (Brazilian Popular Music),Blues,Psychedelic Rock,Progressive Rock,Psychedelic,Gothic,Industrial,Nu Metal,Dance,Symphonic,Latin,Country,Gospel,Boy Band,Brazilian,Tango,Soul,Heavy Metal,Thrash Metal,Black Metal,Doom Metal,Hardcore Punk,Gothic Rock,Sertanejo,Hardcore,Deathcore,Screamo,Reggaeton,K-Pop,Garage,Jazz,Alternative Metal,Ambient,Funk,Brazilian Music,Pagode,Disco,Synthwave,French House,Classical,Melodic Hardcore,Skate Punk,Garage Rock,Brazilian Pop,Ska,Death Metal,NSBM,user_id
,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9640
,,,,,,0.6,,0.9,,,0.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9641
,,,,,0.9,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9642
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,9643
,,,,,,,,,,,,,,0.7,,,0.5,0.9,,,,,,,,,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9644
,,,,,0.8,,,,,,,,0.9,,,,,,,,,,,,,,0.7,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,9645
,,,,0.7,,0.6,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,9648
,,,,0.6,0.8,,,0.7,,,0.5,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9649
,,,,,,,,,,,,,,,,,0.6,,0.9,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,9650
,,,,0.7,0.8,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,9651
,,,,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9652
,,,,,,,,,,,,,,,,,0.8,,0.9,,,,0.7,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9653
,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,9654
,,,,0.9,0.7,0.8,,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9655
,,0.6,,,0.8,,,,,,,,,,,,,,,,0.9,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9656
,,,,0.7,0.8,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9657
,,,,,,,,,,,,,,,,,0.8,,0.9,0.6,,,0.7,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9658
,,,,,,,,,,,,,,,,,0.7,,,,0.9,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,9659
,,,,0.7,0.8,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,9660
,,,,,0.8,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9663
,,,,0.7,0.7,0.6,,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9664
,,,,0.6,0.9,,,,,,,,0.8,,,,,0.7,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9666
,,,,,,,,,,,,,,0.8,,,0.9,,,0.6,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9668
,,,,0.5,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,9669
,,,,,,,,,,,,,,,,,0.7,,0.8,,0.8,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9670
,,0.6,,0.8,0.9,,,0.7,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9671
,,,,0.8,0.9,,,,,,,,,0.6,,,,,,,0.7,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9672
,,,0.8,,0.8,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,9673
,,,,,,,,,,,0.6,,,,,,0.8,,,,0.5,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9675
,,,,0.8,0.9,0.6,,,,,,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9676
,,,,0.7,0.6,0.9,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,9677
,,,,0.7,0.9,0.5,,,,,,,,,0.8,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9678
,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.7,0.5,,,,,,,,,,,,,,,9679
,,,,,,,,,,,0.7,,,,,,0.8,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,9680
,,,,0.7,,0.6,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,9681
,,,,0.7,0.8,0.6,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9682
,,,,0.7,,,,0.6,,,,,,,0.9,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,9683
,,0.8,,0.7,,,0.9,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,9685
,,,,0.7,0.6,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,9686
,,,,0.8,0.5,0.7,,,,,,,,,0.9,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687
,,,,0.8,0.9,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9688
,,,,,,,,,,,,,,,,,0.8,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,9689
,,,,,0.3,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,0.6,,,,,,,,,,,,9690
,,,,0.6,0.8,0.7,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,9691
,,,,0.7,,0.6,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,9692
,,,,0.7,0.8,,,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9693
,,,,0.7,0.9,0.6,,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9694
,,,,0.8,0.6,0.7,,,,,,,,,0.9,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9695
,,,,,0.7,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,9696
,,,,0.6,,,,,,,,,0.9,,,,,,,,,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9697
,,,,0.8,0.9,0.5,,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9698
,,,,0.6,,,,,,,,,,,,,,,0.9,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,9699
,,,,0.8,0.9,,0.6,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9700
,,,,0.7,0.9,,,,,,,,0.6,,0.5,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9701
,,,,0.5,,,,,,,,,,,0.6,,,0.7,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9702
,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,0.9,,,,,,,,,9703
,,,,,,,,,,,0.5,,,,,,0.7,,0.9,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9705
,,,,,,,,,,,,,,0.8,,,0.6,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9706
,,,,,,0.4,,,,,0.7,,,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,9707
,,,,,,,,,,,,,,,,,0.6,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,9708
,,,,0.8,0.6,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9709
,,,,0.7,,0.9,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9710
,,,,0.7,,0.6,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,9712
,,,,,,,,,,,,,,,0.8,0.6,0.7,,,,0.9,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9713
,,,,0.7,0.9,,,,,,,,0.8,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9714
,,,,,,,,,,,,,,,,,0.7,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,9715
,,,,0.8,0.9,0.7,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,9716
,,0.6,,,0.9,,,,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,9717
,,,,0.7,0.6,0.9,,0.8,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9718
,,,,,,,,,,,,,,,,,0.8,,0.9,0.6,,,0.7,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9719
,,0.6,,0.6,,,,,,,,,,,0.8,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9720
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.8,0.7,9722
