Rock,Alternative,Punk,Indie,Metal,Punk Rock,Pop Punk,Alternative Rock,Emo,Pop Rock,Metalcore,Hip Hop,Pop,Psychedelic,Folk,R&B,Hip-Hop,Soul,MPB (Brazilian Popular Music),Skate Punk,Heavy Metal,Progressive Rock,Death Metal,Indie Rock,Electronic,Grunge,Goth,Hardcore,Dream Pop,Classic Rock,Hard Rock,Industrial,Synthpop,Classical,Post-Hardcore,Screamo,Alternative Metal,Progressive Metal,Nu Metal,Power Metal,Speed Metal,Doom Metal,Thrash Metal,Christian Rock,Sertanejo,Country,Acoustic,Reggae,Rap,Latin,Gothic Rock,Post-Punk,Blues,Brazilian,Progressive,Dance,Techno,Samba,MPB,Synth-pop,Forr\u00f3,Brazilian Hip-Hop,K-Pop,New Wave,Britpop,Garage Rock,Indie Pop,Soundtrack,Psychedelic Rock,Psychedelic Pop,Darkwave,Neofolk,Black Metal,Film Score,user_id
,,,,,,,,,,,,0.9,,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,9786
,,,,,,,,,,,,0.9,,,0.8,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,9787
0.9,0.8,0.6,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9788
,,,,,,,,,,,,0.9,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.6,,,,,,,,,,,,,,,9789
,,,,,,,,,,,,1.0,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,9790
0.7,,0.6,0.5,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9791
0.8,0.7,0.6,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,9792
0.7,0.8,,0.9,,,,,,,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9793
,,,0.6,,,,0.7,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,9794
0.8,0.8,,0.9,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9795
0.5,0.8,,0.9,,,,,,,,,,,,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9796
,,,,,,,,,,,0.9,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,9797
,0.7,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,0.6,,,,,,,,,,,,,9798
0.8,,,0.7,,,,,,,0.6,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,9799
,,,,,0.5,,0.9,,,,,,,,,,,,,,,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,9800
,,,,,,,0.9,,,,,,,,,,,,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,9801
0.6,0.9,,0.8,,,,,,,,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9802
0.8,0.9,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,9803
,0.8,,,,,,,,,,,0.8,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9804
,0.7,,,,,0.8,,,0.9,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9805
0.8,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,9806
0.8,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9807
0.7,0.8,,0.9,,,,,,,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9808
,,0.7,,,,,0.6,,,0.8,,,,,,,,,,,,,,,,,0.9,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9809
0.6,0.7,,0.9,,,,,,,,,0.8,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9811
,0.7,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.5,,,,,,,9812
,,,,,,0.7,0.8,0.7,0.9,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9813
,,,,,,,0.8,,0.6,,,,,,,,,,,,,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9814
0.8,0.8,0.6,0.9,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9815
0.6,0.8,,0.9,,,,,,,,,0.7,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9816
,0.8,,0.9,,,,,,,,,0.7,,0.5,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9817
,,,,,0.9,,0.7,0.6,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9819
0.7,,0.5,0.6,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9820
0.9,0.7,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,9821
,0.8,,0.9,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,9822
,0.7,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.8,,,,,9823
0.8,0.8,0.6,0.9,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9824
0.9,0.8,,0.7,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9825
0.9,,,,,,,,,,,,0.7,0.7,,,,,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9826
,,,,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,0.8,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9827
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.6,,,,0.9,0.8,0.7,,9828
0.9,0.7,,0.6,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,9829
,0.7,,0.8,,,,,,,,,0.6,,,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9830
0.7,,,0.9,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,9831
0.9,0.8,,,,,,,,,,,0.8,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9832
