Pop,R&B,Dance,Electronic,Alternative,Indie,Pop Punk,Indie Rock,Alternative Rock,Pop Rock,Indie Pop,Rock,Punk,Post-Hardcore,K-Pop,Folk,MPB,New Age,Samba,Alternative R&B,Soul,Hip Hop,Electro-Pop,World,Darkwave,Art Pop,Synth-pop,Latin,Neo-Soul,Classical,Ambient,Synthpop,Alternative Dance,New Wave,J-Rock,Trance,Blues,Teen Pop,Adult Contemporary,J-Pop,Musical Theatre,Synth-Pop,Country,MPB (Brazilian Popular Music),Soundtrack,Hip-Hop,Rap,Brazilian,Underground,Experimental,Grunge,Psychedelic Rock,Heavy Metal,Funk,French Pop,Metal,Bossa Nova,Psychedelic,Jazz,Post-Punk,Shoegaze,Brazilian Rock,Classic Rock,Jazz Fusion,Emo,Progressive Rock,Hard Rock,Alternative Metal,Lo-Fi,Brazilian Music,Post-Rock,Chanson,Hardcore,Metalcore,Hardcore Punk,Melodic Hardcore,Death Metal,user_id
0.5,,,,0.7,0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999
1.0,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000
,,,0.9,,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,0.8,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
0.9,,0.8,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002
1.0,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003
1.0,0.6,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004
0.8,0.9,,,,,,,,,0.5,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006
,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
,,,0.6,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,2008
,,,,,,,,,,,,,,,,,,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,2009
,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,2010
0.8,0.9,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,2011
0.9,0.7,,0.8,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
0.8,0.9,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
,,,,0.7,0.6,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,2014
0.8,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2015
,0.8,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,2016
,,,,0.5,,,0.6,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
,,,,0.7,0.8,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,2019
,,,,,0.6,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,2020
,,,,0.9,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,2021
0.7,,,0.8,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
,,,,,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,2023
,,,,,0.7,,,0.7,,,,,,,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,2024
,,,,0.9,0.7,,,,,,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
,,,,,0.5,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.6,,,,,,,,,,,0.8,,,,,,,,,,,,,,,2026
,,,,0.8,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,2027
,,,,0.8,0.6,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,2028
,,,,0.7,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,2029
,0.4,,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,2031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.9,,,0.8,0.8,0.6,,,,,,,,,,2032
,,,,0.8,0.9,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,2033
,,,0.7,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,2035
0.5,,,,0.7,0.8,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,2036
,,,,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.9,,,,,0.7,,,,,,,2037
,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.8,,,,,0.7,,,,,,,2038
0.9,0.8,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2039
0.7,,,,,,,,,,,,,,,,,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,2040
0.9,,,,0.8,0.8,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2041
,,,0.6,0.8,0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2042
0.9,,,0.6,0.7,0.8,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2043
,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,2044
,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.7,,,,,2045
0.8,0.9,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2046
,,,,0.9,0.9,,,,,,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,2047
,,,0.6,0.8,0.9,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,2048
0.9,0.6,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2049
,,,,0.9,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,2051
,,,,0.8,0.7,,,,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2052
,,,,0.9,0.8,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2053
,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.5,2054
0.9,0.8,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055
0.9,0.8,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2056
0.9,0.6,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057
0.9,0.7,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2058
0.9,,,,,,,,,,,0.7,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2059
0.7,,,,0.8,0.6,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,2060
0.7,,,0.6,0.8,0.9,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2061
0.9,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2062
0.7,,,0.6,0.8,0.9,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063
,,,0.7,0.8,0.9,,,,,,0.6,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064
