Pop Punk,Pop,Alternative Rock,Emo,Dance,Electronic,Synth-pop,R&B,Rock,Hip-Hop,Soul,Indie,Alternative,Latin,Country,Brazilian,Visual Kei,MPB (Brazilian Popular Music),J-Pop,K-Pop,Teen Pop,Acoustic,Folk,Singer-Songwriter,Gospel,Christian,Industrial,World,Ambient,Experimental,Classic Rock,Punk,Celtic,Metal,Progressive Rock,Power Metal,Symphonic Metal,Progressive Metal,Heavy Metal,Indie Pop,Art Pop,Baroque Pop,Disco,Electro Swing,Indie Rock,Eurovision,Turkish Pop,Dance-pop,Children's Music,Post-Hardcore,Metalcore,Dancehall,Hip Hop,Rap,Pop Rock,Reggaeton,Jazz,New Wave,user_id
,0.9,,,0.7,0.8,,,0.6,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3289
,0.9,,,,0.6,,0.7,,,,,,0.8,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3290
,0.7,,,0.6,,,,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3291
,1.0,,,0.8,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3292
,0.9,,,0.8,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3293
,0.7,,,,,,,0.8,,0.5,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3295
,0.9,,,0.8,,,0.5,,,,,,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3296
,1.0,,,0.8,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3297
,0.8,,,,,,,,,,0.6,,,,,,,,,,0.9,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3298
,,,,,,,0.6,,,0.7,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3299
,,,,,0.9,,,,,,,0.8,,,,,,,,,,,,,,0.8,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300
,0.8,,,,0.4,,,0.5,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3302
,0.8,,,,,,,0.6,,,,,,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3303
,,,,,0.9,,,0.5,,,,0.6,,,,,,,,,,,,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3304
0.9,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,3306
,,,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,3307
,0.7,,,,,,,,,,,0.8,,,,,,,,,,0.9,,,,,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,3308
,0.9,,,0.6,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3310
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,3311
,1.0,,,0.8,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3314
,1.0,,,0.9,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3318
,0.9,,,,,,,0.7,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3319
,0.9,,,0.7,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3320
,,,,,0.6,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.5,,,,,,,,,,,,,,,,,3321
,0.9,,,0.8,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,3322
,0.9,,,,,,,0.4,,,0.7,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,3324
,0.9,,,,0.8,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3326
,0.9,,,,0.6,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3327
,0.9,,,0.6,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3328
,1.0,,,0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3329
,1.0,,,0.9,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3331
,0.9,,,0.6,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3333
,0.9,,,0.8,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3334
,0.9,,,0.8,,,0.7,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,3335
,0.9,,,0.8,,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3337
,0.9,,,0.8,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3339
,0.9,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,3340
,0.9,,,0.8,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3341
,1.0,,,0.9,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3342
,0.9,,,0.8,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3343
,0.9,,,0.8,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3344
,0.9,,,,0.5,,,0.6,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3345
,0.8,,,,0.5,,0.9,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3346
,0.9,,,,,,,,,,,,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,3347
,0.9,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.7,,,,,,,,,,3348
,0.9,,,0.6,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3349
,0.9,,,,,,0.8,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3351
,0.6,,,,,,0.8,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3353
,0.9,,,0.6,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3354
,0.9,,,,,,,0.7,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3355
,0.9,,,0.7,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3357
0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,,,,,,,,3358
,0.9,,,0.8,,,0.7,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3359
,0.7,,,,,,,0.9,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,3360
,0.8,,,,,,0.9,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3361
,1.0,,,0.9,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3362
,0.9,,,0.7,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3363
,0.8,,,,,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,3364
,0.9,,,0.6,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3365
,0.7,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,,,,,3367
,0.8,,,,,,0.9,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3368
,0.7,,,,,,0.9,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3369
,0.8,,,,,,0.9,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3371
,0.7,,,,,,,0.8,,,0.7,,,0.5,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3373
,0.9,,,0.8,0.5,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3374
,0.9,,,,,,,0.7,,,,,,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,3377
,0.8,,,,,,0.7,0.6,0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3378
,0.9,,,0.8,0.7,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,3379
,0.7,,,,,,0.9,,0.6,0.8,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3382
,0.8,,,,,,0.9,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3383
,0.9,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.4,,3384
,0.8,,,,,,0.9,,,0.7,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3387
,,,,,0.9,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,3388
,0.7,,,,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,3390
,0.8,,,,,,0.9,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3391
,0.9,,,0.7,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3392
,0.9,,,0.8,,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3393
,0.9,,,,0.7,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3394
,0.9,,,,,,0.7,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3395
,0.9,,,,0.7,,0.4,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3396
,0.9,,,,0.5,,0.8,,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3397
,0.9,,,,0.8,,0.7,,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3398
,0.9,,,,,,0.8,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,3399
,0.9,,,,0.7,,0.6,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400
,0.8,,,,,,,0.7,,,,0.9,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3402
,,,,,0.8,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,3403
