Rock,Alternative,Metal,Nu-Metal,Indie,Pop,Punk Rock,Indie Rock,Pop Rock,Alternative Rock,Grunge,Hard Rock,Punk,Electropop,Experimental,Hip Hop,Alternative R&B,Dance,Rap,Post-Punk,Garage Rock,Folk,Folk Rock,Progressive,Psytrance,Hip-Hop,Emo,Pop Punk,Post-Hardcore,Electronic,R&B,K-Pop,Dance-Pop,Gothic,Gothic Rock,Symphonic Metal,Darkwave,Neofolk,Ambient,Metalcore,Heavy Metal,Alternative Metal,Hardcore Punk,Martial Industrial,Industrial,Rockabilly,New Wave,Progressive Rock,Art Rock,J-Pop,Video Game Music,Death Metal,Black Metal,Thrash Metal,Power Metal,Folk Metal,Gothic Metal,Film Score,Classic Rock,Blues Rock,Dub,Dark Ambient,Drum and Bass,Reggae,Jazz,Blues,Funk,Synthpop,Classical,Latin,Neoclassical,Psychedelic Rock,Instrumental Rock,EBM,Country,Soul,Psychedelic,Sertanejo,Funk Carioca,Reggaeton,Latin Pop,Indie Pop,MPB (Brazilian Popular Music),Pop-Rock,Disco,Synth-pop,Dance-pop,IDM,Shoegaze,EDM,C-Pop,Progressive Metal,Sludge Metal,Experimental Rock,user_id
0.9,0.8,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5113
,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5114
0.8,0.7,,,0.9,0.5,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5115
0.6,0.8,,,0.9,0.7,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5116
0.7,0.8,,,0.9,,,,,,,,0.6,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5117
0.4,0.5,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5118
0.6,0.8,,,0.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5119
,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5121
0.9,0.6,0.8,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5123
0.6,0.7,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5124
,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,0.9,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5125
0.7,0.8,,,,0.9,,,,,,,0.5,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5126
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5127
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.9,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5128
0.5,,,,0.8,0.6,,,,,,,,,0.7,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5129
,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5130
,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.9,,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5131
0.8,0.9,,,0.7,0.5,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5132
,0.8,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5134
0.8,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5135
,0.8,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,0.5,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5136
,,,,,,,,,,,,,,0.8,,,,,0.7,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.9,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5138
,,,,,0.6,,,,0.8,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.8,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5140
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.7,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5141
,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.6,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5142
,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5144
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5145
,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,0.7,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5146
,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5148
0.7,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,5150
,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.8,,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5152
,,,,,,,,,,,,,,0.6,,,,,0.7,,,,,,,,,,,,,,,0.9,,0.8,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5153
,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.8,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,5154
,,,,,0.7,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,5155
0.8,0.9,,,0.5,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,5156
,,0.5,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,5157
0.8,0.7,0.9,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5159
0.8,0.5,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5160
0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.8,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,5162
0.9,0.7,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,5163
,,,,,0.9,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,5164
0.5,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,5165
,,,,0.5,0.9,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5166
,0.6,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5168
,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,0.7,0.6,0.7,,,,,,,,,,,,,,,5169
,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,5170
,,,,0.7,0.9,,,,,,,,,,,,,,,,0.4,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,5171
0.7,0.5,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5172
0.7,0.8,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,5173
,,,,0.6,0.9,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,5174
,0.6,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5175
,,,,,0.9,,,,,,,,,,,,0.8,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.6,,,,,,,,,,,,,,,,5177
0.6,,,,,0.9,,,,,,,,,,,,0.8,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5178
,,,,,1.0,,,,,,,,,,,,0.9,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5179
,,,,,0.9,,,,,,,,,,,,0.8,,,,,,,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,5180
,,,,,1.0,,,,,,,,,,,,0.7,,,,,,,,0.5,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,5181
,,,,,0.9,,,,,,,,,,,,0.8,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,5182
,,,,,0.9,,,,,,,,,,,,0.5,,,,,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,5183
,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,5184
,,,,,1.0,,,,,,,,,,,,0.8,,,,,,,,,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5185
0.5,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,5186
,,,,,1.0,,,,,,,,,,,,0.9,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5187
,,,,,1.0,,,,,,,,,,,,0.8,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5188
,,,,0.6,0.9,,,,,,,,,,,,0.8,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5189
,,,,,0.9,,,,,,,,,,,,0.8,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5190
,,,,,1.0,,,,,,,,,,,,0.8,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5191
,,,,,0.9,,,,,,,,,,,,0.7,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,5192
0.7,0.6,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,5194
0.9,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5195
,0.8,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5196
,,,,,0.9,,,,,,,,0.8,,,,0.7,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,5197
,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.5,,0.8,,,,,,,,,,5199
,0.7,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,5200
,,,,,0.9,,,,,,,,,,,,0.8,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5201
,,,,,0.9,,,,,,,,,,,,,0.8,,,,,,,0.8,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5202
0.6,,,,,0.9,,,,,,,,,,,,0.8,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5205
,,,,,1.0,,,,,,,,,,,,0.7,,,,,,,,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,5206
,,,,,0.9,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.8,0.5,,,,,,,,5207
,0.7,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,5208
0.8,0.9,,,0.9,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,5209
,,,,0.7,,,,,0.8,,,0.6,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,5210
0.5,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,5215
,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.8,,0.5,,0.6,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5216
,0.6,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5219
,0.8,0.7,,0.6,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5221
,0.7,,,,0.6,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5224
0.9,0.7,0.5,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5229
,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.6,5231
