Heavy Metal,Rock,Gothic,Alternative,Electronic,Experimental,Ambient,Folk,Hip Hop,Progressive Rock,Metal,Pop,Shoegaze,Post-Hardcore,Alternative Rock,Goth Rock,Dream Pop,Indie,Classical,Hip-Hop,Jazz,Progressive Metal,Funk,Latin Rock,Post-Rock,Alternative Metal,Indie Rock,Psychedelic Rock,Post-Grunge,Post-Punk,Grunge,Goth,Progressive,Psychedelic,Classic Rock,Punk,MPB,Samba,Soul,Latin,Indie Folk,Art Pop,Chinese Pop,Hardcore,K-Pop,C-Pop,R&B,Scandinavian,Power Metal,Death Metal,Folk Metal,Hard Rock,Trance,New Age,Dance,Pop Rock,Scandinavian Pop,Rap,Techno,Nu Metal,Blues,Country,Emo,Brazilian Pop,Indie Pop,Brazilian,Reggae,MPB (Brazilian Popular Music),Christian,Brazilian Music,World,Afrobeat,Experimental Rock,Metalcore,Nu-Metal,Balkan Rock,Underground Hip-Hop,Hardcore Punk,Trap,Soundtrack,Drum and Bass,Brazilian Hip Hop,Electro Swing,Brazilian Rock,Psychedelic Pop,Sertanejo,Funk Carioca,Gospel,user_id
,0.9,,0.7,,,,,,,0.8,,,,,,,,0.6,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5382
,,,,0.8,0.7,0.9,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5384
,,,,,0.7,,,,0.8,,,0.6,,,,,,,,,,,,,,,0.8,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5385
,0.8,,,,,0.5,,,,0.9,,,,,,,,0.6,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5386
,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5387
,0.8,,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5388
,0.6,,0.8,,,,0.5,,,,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5389
,,,,,,,,,,,,0.7,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5390
,0.6,,0.7,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5391
,0.7,,0.8,,,,,,,0.5,,,,,,,0.6,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5392
,,,0.8,0.6,,,,,,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5393
,,,,,,,,,,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5394
,0.9,,0.8,,,,,,0.7,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5395
,0.6,,,0.5,,,,,,,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5396
,,,,,,,,0.9,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5397
,0.6,,0.8,,,,,,,,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400
0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5401
,,,,,,,,,,,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5402
,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5403
,,,,,,,,,,,,,,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5404
,0.7,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5407
,,,,0.5,,,,0.4,,,,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5408
0.8,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5409
,0.9,,0.6,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5411
,0.8,,,,,,0.7,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,5413
,,,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,5414
,,,,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,5415
,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.9,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,5416
,0.6,,0.5,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5417
,0.7,,,,,,0.6,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,5418
,0.8,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,5419
,0.9,,0.8,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,5420
,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.7,,,,,0.9,0.8,,,,,,,,,,,,,,,,,5421
0.8,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,5422
,0.7,0.6,0.8,,,,,,,,0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5423
,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,5425
,0.9,,0.7,,,,,,,,0.8,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,5426
,,,,,,,,0.8,,,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,5427
,,,0.7,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,5428
,,,0.8,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,5430
,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.6,,,,,,,,,,5431
,0.5,,0.6,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,5433
0.7,,,0.8,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,5434
,,,,,0.5,,,,,,0.7,,,,,,0.6,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5435
,,,,0.9,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,5436
,0.9,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5437
,0.9,,,,,,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5438
,0.7,,0.9,,,,,,,0.5,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5439
,,,,,,,,,,,,,,0.8,,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.9,,,,,,,5440
,,,,,,,,,,,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5441
,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.8,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5442
0.7,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.6,,,,,,5444
,0.8,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5446
,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.5,,,,,5447
,,,,,,,,,,,,,,,,,,0.7,,0.7,0.6,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,5448
,0.9,,,,,,,,,0.7,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5449
,0.8,,0.5,,,,,,,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5450
,,,0.7,0.8,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5451
,0.8,,,,,,,0.6,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5452
,0.9,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5453
,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,5454
,,,0.7,,,,,,,,,,,,,,,,0.9,,,,,,,0.9,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,5455
,0.9,,0.8,,,,,,,,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5456
,,,0.5,0.6,,,,,,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5457
,,,,0.5,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5458
,0.6,,0.8,0.7,,,,,,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5459
,,,0.8,0.6,,,,,,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5460
,0.7,,0.6,0.8,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5462
,,,,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5464
,,,0.7,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5465
,0.7,,,,,,,,,,0.9,,,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5467
,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,,5468
,,,,,,,,,,,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.7,5469
,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.8,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5470
,0.5,,0.8,0.6,,,,,,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5471
,,,,,,,,,,,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,5472
,0.7,,,,,,,,,0.5,0.8,,,,,,,,,,,,,,,,,,0.4,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5473
,,,,0.6,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5474
,0.5,,,0.5,,,,,,,0.9,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5475
,0.8,,0.5,,,,,,,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,5477
,0.9,,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5478
,0.7,,0.5,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5479
,0.7,,0.6,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5480
,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.6,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5481
,,,,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5482
,,,0.5,,,,,,,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5483
