Indie,Pop,Rock,Alternative,Folk,Country,Reggae,Punk,Electronic,Metal,Hip-Hop,Hip Hop,Psychedelic,Classical,Turkish Hip-Hop,Blues,Funk,World,EDM,Drum and Bass,House,Death Metal,Progressive Metal,Alternative Rock,Technical Death Metal,Melodic Death Metal,Jazz,Soul,Trip-Hop,Downtempo,Experimental,Art Pop,Progressive,Post-Rock,Classic Rock,Heavy Metal,World Music,Italian Music,Turkish Alternative,Rap,Psychedelic Rock,Alternative R&B,Turkish Hip Hop,Turkish Rock,R&B,Punk Rock,Indie Rock,Grunge,Glam Rock,Britpop,New Wave,Synthpop,Dance,Indie Folk,Synth-pop,Gothic Rock,Industrial,Post-Punk,Disco,Industrial Metal,Italian Pop,K-Pop,Soundtrack,Gospel,New Age,Progressive Rock,Ambient,Eurodance,Pop Rock,German Rock,Horrorcore,Underground Hip-Hop,Gangsta Rap,Soft Rock,Trance,Neofolk,Indie Pop,Neue Deutsche H\u00e4rte,Black Metal,Doom Metal,Swedish Pop,user_id
0.6,,0.9,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2711
0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2713
,,0.6,,,,0.8,,0.7,,,,,,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2714
0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.6,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2716
,0.9,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2717
0.7,,,0.9,,,,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2718
0.9,0.5,0.7,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2719
0.7,,0.6,0.9,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2720
0.9,0.5,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2721
,0.9,0.7,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2722
0.8,0.6,,0.9,,,,,0.7,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2724
0.9,0.5,0.7,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2725
,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.6,,,,,,,,,,,,,,,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2726
0.8,0.7,0.8,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2727
,0.7,0.8,0.9,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2728
,0.8,0.7,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2729
,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2730
,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2731
,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2732
,0.7,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.8,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2733
,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2734
,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2736
0.5,0.8,,,,,,,,,,,,,,,0.6,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2737
,0.9,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2738
0.5,0.8,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2739
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,,,,0.9,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,2740
,0.9,0.8,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2741
,,0.7,0.7,,,,,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2742
,0.7,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2744
,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.9,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,2745
,0.6,0.8,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,2747
,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,2748
,,0.7,,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,2749
,0.8,,,,,,,0.9,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750
,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,2751
0.5,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,2752
,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,2753
,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2754
,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.8,,,,,,,,,,,,,,,2755
,0.9,0.7,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756
,0.6,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2757
,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2758
,0.7,0.9,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2759
,0.8,0.9,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2760
,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.8,,,,,,,,,0.7,,,,,,,,,,,,,,2762
0.9,0.7,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2763
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.6,,,0.8,,,,,,,,,,,,,2764
,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,2766
,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2767
,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,2768
,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,2769
0.6,0.7,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,2770
,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2771
,0.8,,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,0.5,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2772
,0.7,0.9,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2778
0.9,,0.8,0.7,0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2779
,,,,,,,,0.5,,,,,,,,,,,,,0.9,,,,,,,,,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,2780
0.6,0.7,0.9,,0.5,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2782
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.8,0.7,0.5,,,,2783
,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.9,0.6,,2784
0.5,0.9,0.7,0.6,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2785
0.6,,0.9,0.8,,,,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2787
,,,0.6,,,,,,,0.5,,,,,,,,,,,,,,,,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,2788
,,,,,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.9,2789
,0.9,0.7,0.5,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2791
0.7,,0.8,0.9,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2793
