Rock,Pop,Indie,Alternative,Rap,New Wave,K-Pop,Electronic,Symphonic Metal,R&B,Hip-Hop,Latin,Metal,Emo,Pop Punk,Alternative Rock,Reggae,Metalcore,Post-Hardcore,Soul,Heavy Metal,Thrash Metal,Death Metal,Hard Rock,Progressive Metal,Punk,Psychedelic,Brazilian Rock,MPB (Popular Brazilian Music),Brazilian Pop,MPB (Brazilian Popular Music),Classic Rock,Religious,Britpop,Post-punk,Indie Rock,Brazilian Popular Music,Blues Rock,Post-Punk Revival,Pop Rock,Nu Metal,Indie Pop,Grunge,Folk,MPB,Blues,Psychedelic Rock,Post-Punk,Brazilian,Hip Hop,Pop-Rock,Bossa Nova,Shoegaze,Psychedelic Pop,Classical,New Age,Black Metal,Ambient,Funk,Punk Pop,Singer-Songwriter,Acoustic,Glam Metal,Art Pop,Industrial,Brazilian Music,Experimental,Punk Rock,Samba,Garage Rock,Funk Rock,Jazz,Alternative/Indie,Post-Rock,Hardcore,Dream Pop,user_id
0.7,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8845
,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8846
0.9,0.5,0.7,0.8,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8847
0.8,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8848
0.9,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8849
0.9,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8850
0.7,0.6,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8851
0.9,0.5,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8852
0.8,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8853
0.8,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8854
,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.8,,,,0.9,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8855
,0.9,0.7,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8856
,,,,,0.6,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.9,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8857
0.9,,0.6,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858
0.6,0.7,0.9,0.8,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8859
,,,,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,0.7,,,,0.9,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8860
0.7,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8861
,,,,,,,,,,,,,0.6,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8862
,0.8,0.9,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8863
0.7,0.5,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8864
0.7,0.9,0.8,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8865
,0.9,0.8,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8866
0.6,0.7,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8867
0.7,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8869
,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.8,,0.9,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8870
0.7,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8872
0.7,0.8,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8873
,,,,,,,0.5,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8874
0.8,0.5,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8875
,0.7,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8876
0.7,0.6,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,8877
0.7,,0.9,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8878
,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,8879
0.8,0.7,0.9,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8880
0.7,0.6,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8881
0.6,0.7,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,8882
0.7,,0.9,0.8,,,,0.6,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8883
,0.7,,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8885
0.6,0.8,,0.6,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8886
0.7,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8887
0.9,,0.6,0.8,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8888
0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,8889
,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.6,,0.9,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,8890
,0.8,0.7,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,8891
,0.9,0.7,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8892
,0.6,,,,,0.8,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8893
0.7,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8894
,,0.6,0.7,0.8,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8895
,0.7,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,8896
,0.5,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,8897
,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.5,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,8898
,0.9,0.6,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,8899
,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.8,,,,,,,,,,,,,,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,8900
,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,8901
0.9,,,,,,,,,,,,,,,,,,,,1.0,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,8902
,0.5,0.7,0.6,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,8903
0.8,,0.6,,,,,,,,,,,,,,,,,,0.9,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,8904
,0.7,,0.6,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,8905
0.9,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8906
,0.7,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,8907
0.9,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8908
,0.8,,,,,,,,,,,,,,0.9,,,,,0.6,,,,,,,,,,,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8909
0.9,0.8,,0.7,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8910
,0.6,0.9,0.8,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,8911
,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.9,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,8912
0.8,0.7,0.9,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8913
0.9,0.7,0.6,0.8,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8914
0.8,0.7,0.9,0.9,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8915
0.8,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,8916
,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.8,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8917
0.9,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8918
0.7,,0.9,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8919
,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,8920
0.7,0.8,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8921
0.8,0.7,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,8922
,0.8,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.5,,,,,8923
0.8,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8924
0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.7,,,,8925
0.7,0.9,0.6,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8926
,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.8,0.7,,8927
,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.6,8929
,,,,,,0.5,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,8931
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,0.8,,,,,0.7,,,,,,,,,,,,,,0.7,,,,,,,,0.6,,8932
