Punk,Heavy Metal,Indie Pop,Rock,Alternative,Power Metal,Folk Metal,Thrash Metal,Hard Rock,Death Metal,Black Metal,Viking Metal,Progressive Metal,Indie,Rap,Brazilian Hip Hop,Speed Metal,National Socialist Black Metal,Classic Rock,Metal,Psychedelic Rock,Reggae Fusion,Hip Hop,Ambient,Electronic,Post-Punk,Experimental,Hardcore,Grindcore,Extreme Metal,Industrial,Shoegaze,Darkwave,Avant-garde,Alternative Rock,Noise Rock,Pop,Gothic,Progressive,Classical,Country,Pop Rock,Electronic Dance Music,Gothic Rock,Progressive Rock,Dutch Pop,Comedy,Post-Rock,Folk,Punk Rock,Psychedelic,Jazz,Metalcore,Nu Metal,Blues,Soundtrack,Soul,Dance,Indie Rock,Alternative Metal,Swing,R&B,Grunge,Funk,Neofolk,Chanson,New Wave,Hip-Hop,K-Pop,Teen Pop,Dance-pop,Contemporary R&B,Latin,Indie Folk,Trap,Southern Rap,Gangsta Rap,Electropop,Samba/Pagode,World,user_id
,,,0.9,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2361
,,,0.8,0.7,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2363
,,,,0.9,,,,,,,,,0.8,,,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2364
,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,2366
,,0.7,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.9,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2367
,,,0.7,0.6,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2368
,,,0.9,0.7,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,2369
,,,0.6,0.8,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2370
,,,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,0.5,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,2371
,,,0.9,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,2373
,,,,0.7,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2374
,,,0.6,0.9,,,,,,,,,0.7,,,,,,,,,,,0.5,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2375
,,,0.5,0.7,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2378
,,,,0.6,,,,,,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,2379
,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,2380
,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,2381
,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,2382
,,,,0.5,,,,,,,,,,,,,,,,,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,2383
0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.7,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,2384
,,,0.9,0.9,,,,,,,,,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385
,,,0.7,0.9,,,,,,,,,0.5,,,,,,0.8,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2386
,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,2387
0.6,,,0.9,0.7,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2389
,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,2390
0.7,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,2392
0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.8,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,2395
,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.5,,,,,,,,,,,,,2396
,,,,0.5,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,0.8,,,,,,,,,,,,2397
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,,,,,,,,,2398
,,,0.5,0.6,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,2399
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.8,,,,,,,,,,,0.6,,,,,,,,2400
,,,0.6,0.7,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,2401
,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.7,,,,,,,,,,,,,,,,,,,2402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.6,,,,,,,0.9,,,,,,,,,,,,2403
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.7,,,,,,,,0.9,,,,,,,,,,,2405
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.6,,,,,,,2406
,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.8,,,,,,,,,,,,2407
,,,,,,,,,,,,,0.5,,,,,,,,,,,0.6,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,2408
,,,0.8,0.7,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2409
,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,,,,2410
,,,,0.6,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.7,,,,,,,,,,,,,2411
,,,,,,,,,,,,,0.7,,,,,,,,,,,0.5,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.8,,,,,,,,,,,,2412
,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.7,,,,,,,,,,,,,,,,,,,2413
,,,,0.7,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.5,,,,,,,,,,,,,2414
,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,2415
,,,,0.8,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,2416
,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,2417
,,,0.7,0.6,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,2418
,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,2419
,,,,,,,,,,,,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.4,,,,,,,,,,,,2420
,,,0.5,0.7,,,,,,,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2421
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.7,,,,,,,0.8,,,,,,,,,,,,2422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,0.5,,2423
0.9,,,0.7,0.6,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2424
,,,0.7,0.8,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2425
,,,,0.4,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.7,,,,,,,,,,,,2426
,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.7,,,,,,,,,,,,,,,,,,,2427
,,,0.8,0.6,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429
,,,0.5,,,,,,,,,,0.6,,,,,,,,,,,0.7,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,2430
,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.8,,,,,0.5,,,,,,,,2431
,,,,0.7,,,,,,,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2432
,,0.7,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.5,,,,,,,,2433
,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,0.6,,,,,,,2434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.7,,,,,,,,0.7,,,,,,,,,,,2435
,,,,0.5,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.6,,,,,,,,,,,,,2436
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,2437
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,0.8,,,,0.7,,,,,,,,2438
,,,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,2439
0.4,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,0.3,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,2440
,,,0.7,0.6,,,,,,,,,0.9,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2441
,,,0.9,0.8,,,,,,,,,0.7,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,2442
,,,,0.7,,,,,,,,,0.9,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,2443
,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,0.7,0.9,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2444
,,,,0.9,,,,,,,,,,,,,,,,,,,0.8,0.5,,0.6,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2445
