Pop,Dance,R&B,Electronic,Alternative,Country,Indie,Darkwave,Ambient,Neofolk,Black Metal,Experimental,Post-Punk,New Wave,Alternative Rock,Russian Rock,Folk,Classic Rock,Psychedelic,Rock,Metal,Persian Music,Hip Hop,Avant-garde,Hip-Hop,Punk,Jazz,Progressive,Post-Rock,Hard Rock,Goth,Grunge,Art Pop,Classical,Soul,Psychedelic Rock,Brazilian Rock,Blues,Progressive Rock,Heavy Metal,Gothic Rock,Indie Rock,Dream Pop,Hardcore,Industrial,Space Rock,Garage Rock,Alternative Metal,Emo,Cloud Rap,Gothic Metal,Goth Rock,Power Metal,Gothic,EBM,Synthpop,J-Rock,Symphonic Metal,Pop Rock,Folk Rock,Art Rock,Neue Deutsche H\u00e4rte,Death Metal,Indie Pop,German Hip Hop,Film Score,Glam,Rap,Reggae,Folk Punk,Symphonic Rock,Electro,K-Pop,EDM,Worship,Dance-Pop,Pop Punk,Sertanejo,user_id
0.5,,,,0.7,,0.6,,,,,,,,,,,,,0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3477
,,,0.9,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,3478
,,,,,,0.6,,,,,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,3480
,,,,,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.8,,,,,,,,,0.7,,,,,,,,,,,,,,,,3481
0.5,,,,0.8,,0.7,,,,,,,,,,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3482
,,,,,,,,,,,,0.8,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,3483
,,,,,,,,,,,,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,3484
0.7,,,,,,,,,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,,,,,,,,,,,,,3485
,,,0.8,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,3486
0.8,,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.5,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,3487
,,,,,,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3489
,,,0.7,,,,0.8,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.9,,,,,,,,,,,,,,,,,,,,,,,3490
0.7,,,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,0.6,,,,,,,,,,,3491
,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,3492
,,,0.7,,,,0.6,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,3493
,,,0.6,,,,,,,,,0.8,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3494
,,,,,,,0.5,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3495
,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,3496
,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,3497
,,,,,,,0.6,,,,,,,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,3498
,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500
,,,0.7,,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3501
0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.6,,,,3502
0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,3503
0.8,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,3504
0.6,,,,0.7,,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,3505
0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,3506
0.8,,,,0.9,,,,,,,,,,,,,,,0.9,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,3507
,,,0.4,,,,,,,,,,,0.7,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.9,,,,,,3508
0.9,,0.7,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,3509
0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.9,,,0.7,,,3510
0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,3511
0.9,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.8,,,,0.6,,3512
0.8,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,3514
0.9,,0.7,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.6,3515
0.8,,,,0.5,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,3516
