Rock,Alternative,Folk,Indie,Classic Rock,Hip Hop,Brazilian Rap,R&B,Pop,Punk,Psychedelic,Shoegaze,Psychedelic Rock,Alternative Hip-Hop,Progressive Rock,Hip-Hop,Grunge,Indie Rock,Alternative Rock,Punk Rock,Dream Pop,Latin,Blues,Post-Punk,Progressive,Electronic,Rap,Trap,K-Pop,Garage Rock,Post-Rock,Experimental,Hardcore,Emo,Post-Hardcore,Italian Indie,New Wave,Brazilian,Funk,Britpop,Pop Punk,Metalcore,Dubstep,Heavy Metal,Brazilian Music,Alternative Metal,Reggae,Metal,Acoustic,Pop Rock,Indie Folk,Soul,Hard Rock,Subliminal,Blues Rock,Reggaeton,Synthpop,Brazilian Pop,Dance,Ballad,Thrash Metal,Disco,Thrash,Death Metal,Groove Metal,Reggae Metal,Country,Brazilian Rock,Jazz,user_id
0.7,0.8,,0.9,,,,,0.6,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9843
0.8,0.9,,0.9,,,,,,,0.6,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9844
0.9,0.8,,0.5,,,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9845
,0.8,,0.7,,,,0.8,,,,,,,,0.9,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9846
,,,0.5,,0.9,,,,,,,0.6,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9847
0.8,0.7,,0.5,,,,,0.9,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9849
0.9,0.7,0.6,0.8,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9851
,0.8,,,,0.6,,,,,,,0.7,,,,,0.9,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9852
,0.9,,0.8,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9853
0.7,0.8,,0.9,,,,,0.5,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9854
0.7,0.8,,,,,,,0.9,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9855
,0.7,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9856
,,,,,,,,,,,,,,,,,0.8,0.9,0.7,,,,,,0.6,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9857
0.8,0.9,,0.8,,,,,,0.7,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9858
0.8,0.9,,0.9,,,,,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9860
0.8,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9861
0.8,0.9,,,,,,,,0.5,,,,,,,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9862
0.5,0.8,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9863
,,,,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9864
,0.7,,0.6,,0.9,,,0.8,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9865
0.7,0.9,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9866
0.7,0.8,,0.9,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9867
,,,,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9868
,0.6,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.8,0.5,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9869
,0.8,,0.9,,,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9870
,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,9871
0.9,0.8,,,,,,,0.6,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9873
,0.8,,0.9,,,,,0.6,0.5,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9874
,,,,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,9875
,0.6,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,9876
0.9,0.8,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,9877
,,,,,,,,,,,,,,,,,,0.7,0.9,,,,,,,,,,,,,0.6,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9878
0.8,0.7,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9879
,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,9881
,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,0.5,,,,,,,0.9,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,9882
0.9,0.8,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,9883
,,,,,,,,,,,,,,,,,0.6,0.8,0.9,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,9884
,,,,,,,,,,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,0.8,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9885
0.9,0.7,,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,9886
,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,9887
0.9,,0.5,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,9889
,,,,,,,,,,,,,,,,,0.9,0.7,0.6,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9890
,,,0.6,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,9891
0.9,,,0.6,,,,,,,,,,,,0.8,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,9892
0.9,0.8,,0.7,,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9893
,,,,,,,,,,,,,,,,,0.8,0.9,0.6,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,9894
,0.8,0.6,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.7,,,,,,,,,,,,9895
,,,,,,,0.8,0.9,,,,,,,0.7,,,,,,0.5,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9896
0.7,0.8,,0.6,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9897
0.6,,,0.7,,,,0.8,0.9,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9898
,,,,,,,0.9,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,9899
,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,9900
,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,0.7,,,,,,,,,,9901
,,,,,0.5,,,,0.6,,,,,,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9902
0.6,0.8,,0.7,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,9903
0.8,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.6,,,,,,,,0.7,,,,,,,,,9904
,,,,,,,,,,,,,,,,,0.9,0.8,,,,,0.5,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9905
,0.8,0.5,0.9,,,,,,,,,,,,,,,,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9906
,0.8,0.7,0.9,,,,,,,0.8,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9907
0.7,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,9908
0.7,0.9,,0.9,,,,,0.8,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9909
,0.7,,0.8,,,,0.6,0.9,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9910
,,,,,,,0.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.8,,,,,,,,,,,9911
,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.8,,,,,,,,,,,9912
0.9,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,9913
0.7,0.9,,0.8,,,,,,0.5,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9915
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.8,0.7,0.6,0.5,,,,9916
,,,,,,,0.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.8,,,,,,,,,,,9917
0.6,0.9,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9918
0.9,0.6,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,0.8,,,,,,,,,,,,,,,,,9919
0.9,0.8,,0.7,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,9921
0.5,0.8,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9922
,,0.7,,,,,,,,,,0.8,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.6,,,9923
,0.8,,0.7,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9924
0.7,0.8,,0.6,,,,,0.9,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9925
0.9,0.7,,0.8,,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9928
,0.8,,0.9,,,,,,,,,,,,,,,,,,,,0.7,,0.6,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9929
0.9,0.6,,,,,,,,,,,,,,,0.5,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,9930
0.8,0.8,,0.9,,,,,,0.7,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9931
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.7,,,,,,,0.9,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,9932
0.6,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9933
0.9,0.8,,0.5,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,9934
0.9,0.8,,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,9935
0.9,0.8,,0.8,,,,,,,0.7,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9936
0.9,0.8,,0.7,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9937
,0.6,,,0.9,,,,,,,,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,9938
0.9,0.8,,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,9939
0.9,,,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,9940
,,,,,,,,,,,,,,,,0.8,0.7,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,9941
,0.9,,0.6,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,9942
