Indie,Rock,Alternative,Pop,Metal,Brazilian,R&B,Electropop,Synth-pop,Psychedelic,Folk,Punk,Electronic,Pop Rock,MPB (Brazilian Popular Music),Doom,Black Metal,Progressive,K-Pop,Post-Hardcore,World,Classic Rock,Latin,Teen Pop,Dance-pop,Sertanejo,Death Metal,Heavy Metal,Thrash Metal,Melodic Death Metal,Grunge,Indie Rock,Post-Punk,Experimental,Country,Pop Punk,Alternative Rock,New Age,Hip-Hop,Deathcore,Metalcore,Alternative Metal,Industrial,Hard Rock,Progressive Metal,Rap,Dream Pop,Ambient,Post-Rock,Psychedelic Rock,Nature Sounds,Indie Pop,Post-Grunge,Shoegaze,Punk Rock,Emo,Indie Folk,Progressive Rock,Power Metal,Hip Hop,Gothic,Dance,Blues,Hardcore,Reggae,Gothic Rock,Brazilian Pop,Soul,Hardcore Punk,Christian Rock,Folk Metal,Underground Rap,Brazilian Rock,Brazilian Funk,Jazz,Acoustic,user_id
0.9,0.6,0.8,0.7,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9315
0.7,,0.9,,,,0.5,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9316
0.9,,0.8,,,,,,,0.5,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9317
,,,0.6,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.7,,,,,,,,,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9319
0.9,0.8,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9322
0.9,,0.8,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9323
0.8,,0.7,0.6,,,,,,,,,0.9,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9324
0.9,0.7,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9325
0.8,,,,,,,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,9327
0.7,0.6,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9328
0.9,0.8,0.7,0.5,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9329
0.9,,0.8,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,9331
0.9,0.5,0.8,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9332
0.9,,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9333
0.9,0.8,,0.7,,,,,,0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9334
0.6,0.9,0.8,0.8,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9335
0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9337
,,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,9338
0.9,0.5,0.8,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9339
0.9,0.5,0.8,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9340
0.9,,0.8,,,,,,,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9342
,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.8,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,9343
,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,9344
0.8,0.9,0.7,0.5,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9345
,0.9,0.7,,,,,,,,,0.6,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,9346
,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,0.5,,,,,,,0.9,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,9347
0.6,0.9,,,,,,,,,,0.8,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9348
0.9,0.7,,0.8,,,,,,,0.6,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9350
,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,0.7,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,9351
0.8,0.9,0.8,,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9352
,,0.6,0.8,,,,,,,,0.7,,0.7,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9354
0.9,0.6,0.8,0.7,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9356
,0.7,0.5,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,9357
,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,9358
0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9359
,0.8,0.6,,0.9,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,9360
,,,0.9,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,9361
0.9,0.6,0.7,0.8,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9362
0.8,0.9,0.6,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,9364
,0.7,,,,,,,,,,0.8,,,,,0.6,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,9366
0.6,0.9,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9367
0.5,0.6,,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9368
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,9369
0.8,0.9,0.6,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9370
,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,,,,,,,,,,9371
,0.9,0.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9372
0.7,0.8,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,9373
0.8,0.9,0.7,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9374
,0.8,0.7,,0.9,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.7,0.6,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,0.5,,,,,,,,9376
0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,0.5,,,,,,,9378
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,0.6,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.7,,,,,,9379
,,,,,,,,,,,,,,,,0.9,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.7,,,,,,,,,,,,,,,,,0.8,,,,,9380
0.6,0.9,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9381
,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9382
,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.8,,,,9383
0.9,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.4,,9384
0.8,0.6,,0.7,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,9385
0.6,,0.7,0.9,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9386
0.9,0.8,0.8,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9387
