Hip Hop,Rap,Alternative R&B,Conscious Rap,Hip-Hop,R&B,Alternative,Electronic,Trap,Experimental,Pop,Indie,Soul,Rock,Metal,Folk,Country,Indie Rock,Psychedelic Pop,Emo Rap,Alternative Rock,Psychedelic,Classical,Punk,Hardcore,Heavy Metal,Progressive Rock,New Wave,Black Metal,Shoegaze,Indie Pop,Gothic Rock,Punk Rock,Pop Rock,Brazilian Rock,Brazilian,Doom Metal,Blues,Hard Rock,Glam Metal,Speed Metal,Death Metal,Ambient,Industrial,Gothic,Psychedelic Rock,Synth-pop,Power Metal,Post-Metal,Thrash Metal,Melodic Death Metal,Grunge,Blues Rock,Alternative Metal,Symphonic Metal,Emo,Folk Punk,Gothic Metal,Post-Rock,Progressive,Dance,French Chanson,Reggae,Electropop,Dream Pop,Brazilian Indie,Latin,Post-Hardcore,Classic Rock,K-Pop,Pop Punk,Metalcore,Experimental Rock,Glam Rock,Synthpop,Hardcore Punk,J-Rock,K-pop,MPB (Brazilian Popular Music),Folk Metal,Garage Rock,Electronica,Nu Metal,Goth Rock,Rap Rock,user_id
0.9,0.8,,,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4736
,0.9,,,0.9,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4737
1.0,0.9,,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4739
,,,,0.8,,,,,,0.7,,,0.9,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4741
,0.9,,,1.0,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4742
0.8,,,,,0.7,,0.5,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4743
,0.9,,,1.0,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4744
,0.9,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4745
0.9,1.0,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4746
0.8,,,,,0.6,,,0.7,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4747
,,,,,,0.8,,,,0.5,0.9,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4748
,,,,,,,,,,0.6,,,0.8,0.9,,,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4749
,,,,,,,,,,,,,0.6,,,,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4750
,,,,,,,,,,0.6,,,0.9,,,,,,,,,,,,0.7,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4751
,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.7,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4752
,,,,,,,,,,,,,,,,,0.9,,,0.8,,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4753
,,,,,,,,,,0.7,0.8,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4754
,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.9,,0.6,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4755
,,,,,,0.7,0.5,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4756
,0.7,,,,,0.8,0.8,,,0.7,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4757
,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.9,,,,,,,,,,,,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4758
,,,,,,,,,,0.8,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4759
,,,,,,,,,,0.6,,,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4761
,,,,,,0.8,,,,,0.5,,,0.6,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4763
,,,,,,0.6,,,,0.7,,,,0.8,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4764
,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4765
,0.4,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4766
,,,,,,,,,,,,,0.6,0.8,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4767
,,,,,,,,,,0.9,,0.6,0.7,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4768
,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,0.9,,,,,,0.7,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4769
,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.7,,0.8,,,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4770
,,,,,,0.6,,,,0.5,,,0.9,0.8,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4771
,,,,,,,0.5,,,0.6,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4772
,,,,,,,,,,,,,0.9,0.8,,,,,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4773
,,,,,,,,,,,,,0.9,0.6,,,,,,,,,,,,0.8,,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4774
,,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.5,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4775
,,,,,,,,,,,,,,,0.6,,,,,0.7,,,,,0.8,0.9,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4776
,,,,,,0.6,,,,,,,0.9,,,,,,,,,,,,,0.7,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4777
,,,,,,0.6,,,,,,,,,,,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4778
,,,,,,0.7,0.6,,,,,,0.9,0.8,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4779
,,,,,,,,,,,,,,,,,0.4,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,4780
,,,,,,0.7,,,,,,,,0.9,,,,,,,,,,,0.9,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4783
,,,,,,0.6,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,4784
,,,,,,,0.7,,,0.6,,,,0.8,0.5,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4786
,,,,,,0.8,,,,,0.7,,0.9,0.5,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4789
,0.9,,,,0.6,,,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,4790
,,,,,,0.6,,,,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,4792
,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.9,,,,,,0.8,,,,,0.7,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4793
0.5,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4794
,,,,,0.6,,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,4795
,,,,,,,,,,,,,,,,,0.9,,,0.8,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,4796
,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,4797
,,,,,0.8,,,,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,4798
,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.8,,,,,,,,,,0.7,,,,,,,,,,,,0.9,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,4799
,,,,,,,,,,0.6,0.7,,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800
,,,,,,0.8,,,,,0.8,,,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,4801
,,,,,0.7,,,,,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,4803
,,,,,,0.8,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,4804
,,,,,,,0.5,,,0.9,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,4805
,,,,,,,,,,,,,0.7,,,,,,,,,,0.6,,0.9,,,,,,,,,,,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4806
,,,,,,0.8,,,,0.6,0.9,,0.7,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4807
,,,,,,,0.5,,,,,,,,,,,,,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.9,,,,,,,,,,,,,,,4808
,,,,,,0.8,,,,0.5,0.9,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4809
,,,,,,,,,,,,,,,,,0.7,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.6,0.5,,,,,,,,,,,,,4810
,,,,0.7,,0.8,0.6,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812
,,,,,,0.8,,,,0.6,0.9,,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4813
,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,,,,,,,,,,,4814
,,,,,,0.8,,,,0.8,,,0.9,,,,,,,,,,0.7,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4815
,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,0.6,,,0.8,,,,,,,,,,,,,,,4816
,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,4817
,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.7,,,,,,,,,,4818
,,,,0.5,,0.6,0.7,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4819
,0.5,,,,,0.8,,,,0.6,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4820
,,,,,,0.5,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,0.4,,,,,,,,,4822
0.8,,,,,,,0.9,,,,0.6,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4824
,,,,,,0.8,,,,0.9,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,4825
,,,,,,0.6,,,,0.8,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,4826
,,,,,,,0.5,,,0.7,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4827
,,,,,,,0.6,,,0.9,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4828
,,,,,,0.7,,,,0.9,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,4830
,,,,,,0.9,,,,0.6,0.5,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4831
,,,,,0.6,0.7,,,,0.9,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4832
,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,4833
,,,,,,,,,,,,,,,,,0.8,,,0.9,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,4834
,,,,,0.5,,,,,0.8,0.9,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4835
,,,,,,0.4,0.6,,,0.8,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4836
,,,,,,0.8,,,,0.6,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4837
,,,,,,0.8,,,0.6,,0.9,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,4838
,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.8,,,,4839
,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.6,4840
