Indie Pop,Alternative,Synth-pop,Electropop,Indie Rock,Pop,R&B,Dance,Electronic,Hip-Hop,Rock,Indie,Alternative R&B,Soul,Folk,Experimental,Country,Pop Rock,Grunge,Punk,New Wave,French,Rap,House,Techno,Electro,K-Pop,Alternative Rock,Post-Punk,Glam Rock,J-Pop,World,Classic Rock,Blues,Synthpop,Electroclash,Broadway,Retro,Adult Contemporary,Easy Listening,Ambient,Latin,Disco,Contemporary Christian,Electronic Dance Music,Soft Rock,Trip Hop,Teen Pop,Dance-pop,Contemporary R&B,Jazz,EDM,Contemporary,Electro Swing,Schlager,user_id
,0.8,,,,0.6,,,,,,0.9,,,,,,,,0.7,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,3054
,,,,,0.8,,,,,,,,,0.7,,,,,,0.6,,,,,,,,,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,3055
0.8,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.6,,,,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,3056
,,,,,0.9,0.7,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,3057
,0.6,,,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3059
,,0.8,,,1.0,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060
,0.5,,,,0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3061
,,,,,0.9,0.7,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,3062
,,,,,0.9,0.7,0.5,,,,0.4,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3064
,,,,,0.9,0.7,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3065
,,,,,0.9,0.7,,0.6,0.8,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3067
,0.8,,,,0.7,,,0.6,,0.9,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3069
,,,,,0.9,,0.8,,0.5,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3070
,0.8,,,,,,,0.7,,0.5,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3071
,,,,,0.9,,0.8,,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,3073
,,,,,0.9,0.6,0.7,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3074
,,,,,0.9,0.6,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3075
,,,,,0.9,0.7,0.6,,,,0.4,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3076
,,,,,0.9,0.5,,,,0.6,0.7,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3077
,,,,,0.9,,,0.8,,0.7,0.6,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3079
,,,,,0.9,,0.8,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3080
,,,,,0.9,,0.8,0.6,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3082
,,,,,0.9,0.5,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,3083
,,0.8,,,0.9,,0.7,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3084
,,,,,0.9,0.6,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3085
,,,,,0.8,0.6,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,3086
,,,,,0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3087
,,,,,0.9,0.8,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3089
,,,,,0.9,,,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,3090
,0.6,,,,0.7,,,,,0.8,0.5,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3091
,,,,,1.0,0.6,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3092
,,,,,0.7,,0.7,0.9,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,3093
,,,,,0.9,,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,3094
,,,,,0.9,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,3095
,,,,,0.9,0.7,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3096
,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,0.5,,,,,,,,,,3097
,,,,,0.9,0.6,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3098
,,,,,0.9,0.8,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3099
,,,,,0.8,0.6,,0.7,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,3100
,,,,,1.0,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.7,,,,,,,,3101
,,,,,0.7,,,,,0.6,,,,0.4,,0.8,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,3102
,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,,,,,,3103
,,,,,0.8,,,,,0.4,,,,0.5,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0.7,,,,,3106
,,,,,0.9,0.7,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3108
,,,0.7,,0.9,,0.8,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3109
,0.9,,,,0.8,,,,0.7,,,,,,0.6,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3110
,,,,,0.9,0.6,,,0.7,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,3111
,,,,,1.0,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3113
,0.8,,,,0.9,0.6,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3114
,,,,,0.9,0.7,0.8,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3115
,,,,,0.9,0.7,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3116
,,,,,1.0,,0.8,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,3117
,,,,,0.9,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,3118
,0.9,,,,0.6,,,0.7,,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3119
,,,,,0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3120
,0.6,0.7,0.8,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3121
,,,,,0.8,0.9,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3122
,,,,,0.9,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,3123
,,,,,1.0,0.6,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3126
,,,,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,3127
,,,,,0.8,,0.7,0.8,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,3128
,,,,,0.9,0.7,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3129
,,,,,0.9,0.7,,0.5,0.6,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3130
,,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,3131
,,,,,0.9,0.8,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3132
,,,,,0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3133
0.9,0.7,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3137
,,,,,0.9,0.8,,,,0.6,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,3139
,,,,,0.9,0.7,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,3140
,0.8,,,,0.9,,,0.5,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3141
,0.7,,,,0.9,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3142
,0.8,,,,0.5,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,3143
,,,,,0.9,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.5,3144
,,,,0.8,,,,,,,,,,0.6,,,0.5,0.7,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,3145
