Alternative,Post-Punk,Shoegaze,Electronic,Trip-Hop,Indie,Pop Punk,Rock,Hip Hop,Gangsta Rap,G-Funk,West Coast Rap,Rap,Chicano Rap,Comedy,Hip-Hop,Reggae,Dub,Reggaeton,Heavy Metal,Punk,Industrial,Blues Rock,Death Metal,Downtempo,Ambient,East Coast Rap,Hardcore Rap,Indie Pop,Mandopop,Hard Rock,Alternative Metal,Glam Metal,Post-Rock,Experimental,Pop,Dance,R&B,Folk,Progressive Rock,Classic Rock,Post-Hardcore,Alternative Rock,Emo,Film Score,Pop Rock,Metal,Punk Rock,Country,Grunge,Symphonic Metal,Psychedelic,J-Rock,Progressive Metal,Black Metal,Folk Metal,Doom Metal,Gothic Metal,Melodic Death Metal,Finnish Music,Power Metal,Thrash Metal,Epic Music,Metalcore,Deathcore,Hardcore,Classical,Instrumental,Nu-Metal,Trip Hop,Indie Rock,Britpop,New Wave,Soft Rock,Blues,Soul,Rockabilly,Brazilian Rock,Latin,Disco,Show Tunes,Funk Rock,Nu Metal,World,Brazilian,K-Pop,user_id
0.7,,,,,0.6,,0.9,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4986
,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.6,,,,,,,,0.8,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4987
0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4988
,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.9,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4990
0.7,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4991
,,,,,,,0.9,,,,,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,0.7,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4993
0.7,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4994
,,,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4995
0.8,,,,,,,0.9,,,,,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4996
0.7,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4998
0.8,,,0.6,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4999
,,,0.4,,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5003
0.8,,,,,,,0.9,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5004
0.8,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5005
0.9,,,0.6,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5006
0.8,,,,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5007
0.5,,,0.4,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5008
0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5009
0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5010
,,,,,0.5,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5014
0.8,,,0.5,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5017
0.9,,,0.5,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5018
,,,,,,,0.8,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.6,,,,,,,0.9,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,5020
,,,,,,,0.8,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,5023
,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,0.7,,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,5026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.9,0.8,0.6,,,,,,,,,,,,,,,,,,,,,5027
0.6,,,,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5029
,,,,,,,0.6,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,,,,,,,,,,,,,,,,,,,5030
,,,,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,5032
,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.4,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,5033
0.7,,,,,,,0.8,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,5036
0.9,0.6,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,5038
0.8,,,0.5,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,5039
,,,0.8,,0.7,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,5044
,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,5046
0.8,,,0.6,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5047
,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5048
0.8,,,0.7,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5049
,,,0.5,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5050
0.6,,,,,,,0.7,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5051
,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,0.6,,,,,,0.7,,,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5055
0.7,,,,,,,0.8,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5056
,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,5057
0.8,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,5058
0.7,,,,,0.6,,0.8,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5060
0.8,,,,,0.9,,,,,,,,,,0.5,,,,,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5061
,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,5062
0.8,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,,,,,,,,,5063
,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,5064
,,,,,0.5,,0.4,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5065
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,5066
,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.5,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5067
0.7,,,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,5068
,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,1.0,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5069
0.8,,,,,,,0.9,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5070
0.6,,,0.5,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5071
,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5072
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,5073
,,,0.5,,0.6,,0.9,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5074
0.8,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5075
0.7,,,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5076
,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.4,,,,,,5077
0.8,,,0.7,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5078
0.8,,,,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5079
0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5080
,,,,,,,,,,,,,,,,,,,0.7,,,0.6,,,,,,,,0.8,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5082
,,,,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,5083
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,5084
0.8,,,,,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5086
,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.8,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5087
,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5088
0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,5089
0.8,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5090
0.6,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5092
0.8,,,,,0.9,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,5093
0.8,,,,,0.9,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5094
,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5095
0.7,,,,,0.9,,0.8,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5096
0.8,,,0.5,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5097
,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,5098
0.8,,,,,0.8,,0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5099
0.8,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,5100
,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,5101
,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.9,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,5102
