Indie,Alternative Rock,Psychedelic Rock,Folk,Brazilian Pop,Rock,Psychedelic,Metal,Alternative,Classic Rock,MPB,Bossa Nova,Samba,Tropicalia,Jazz,Pop,R&B,Dance,Electronic,Experimental,Heavy Metal,Classic,Brazilian,Rap,Hip Hop,Funk,K-Pop,Punk,Emo,J-Pop,Hip-Hop,MPB (Brazilian Popular Music),Art Pop,Soundtrack,Country,Soul,Disco,World,Sertanejo,Witch House,Synthpop,Latin,Gospel,Pop Rock,Indie Rock,Alternative R&B,Pagode,Forr\u00f3,Synth-pop,Indie Pop,Show Tunes,Pop Punk,Post-Punk,Brazilian Music,Symphonic Metal,Power Metal,Gothic Metal,Progressive Rock,Classical,Post-Grunge,Britpop,Indie Folk,Latin Pop,Dance/Electronic,Shoegaze,Reggae,user_id
0.9,,,,,,,,0.8,,,,,,,0.6,,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703
0.7,,,,,,,,0.5,,,,,,,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704
0.7,,,0.6,,,,,0.5,,,,,,,0.9,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705
,,,,,,,,,,,,,,,0.9,0.7,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706
,,,,,,,,,,,,,,,0.9,,0.8,0.7,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707
,,,,,,,,0.7,,,,,,,0.9,,,0.6,,,,,,,,0.8,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711
0.7,,,,,,,,0.7,,,,,,,0.9,,,0.8,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712
,,,,,,,,,,,,,,,0.9,0.6,0.8,0.5,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713
,,,,,,,,,,,,,,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714
0.6,,,,,,,,,,,,,,,0.9,0.7,0.7,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715
,,,,,,,,,,,,,,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716
,,,,,,,,0.7,,,,,,,0.9,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717
,,,,,,,,,,,,,,,0.9,,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718
,,,,,,,,,,,,,,,0.8,0.9,,0.6,,,,,0.8,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719
0.8,,,,,,,,0.9,,,,,,,0.7,0.6,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720
0.8,,,,,,,,0.5,,,,,,,0.9,,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721
0.7,,,,,,,,0.8,,,,,,,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,722
,,,,,,,,,,,,,,,1.0,0.8,0.7,0.5,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723
0.7,,,,,0.5,,,0.8,,,,,,,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724
0.6,,,,,0.7,,,0.8,,,,,,,0.9,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725
0.6,,,,,0.5,,,0.7,,,,,,,0.9,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726
,,,,,,,,0.6,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,1.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,727
0.5,,,,,,,,,,,,,,,0.9,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,728
,,,,,,,,,,,,,,,0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729
0.7,,,,,0.5,,,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730
0.4,,,,,0.5,,,0.7,,,,,,,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732
,,,,,,,,,,,,,,,1.0,0.7,0.8,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734
,,,,,,,,,,,,,,,0.9,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,736
0.9,,,0.6,,,,,0.7,,,,,,,0.8,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737
,,,,,,,,,,,,,,,1.0,0.8,0.7,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738
,,,,,,,,,,,,,,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739
0.8,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,741
0.8,,,,,,,,0.6,,,,,,,0.9,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742
,,,,,0.6,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743
,,,,,,,,,,,,,,,0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744
0.7,,,,,0.6,,,0.8,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745
,,,,,,,,,,,,,,,0.6,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,747
,,,,,,,,0.6,,,,,,,0.8,,,0.7,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,748
0.6,,,,,0.7,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750
,,,,,,,,,,,,0.7,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,751
0.7,,,,,,,,0.8,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,752
0.7,,,,,,,,,,,,,,,0.9,,,0.6,,,,,,,,,,,,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753
,,,,,,,,,,,,,,,0.9,0.7,0.6,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754
,,,,,,,,0.5,,,,,,,0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755
,,,,,0.6,,,0.5,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756
,,,,,0.7,,,,,,,,,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,757
,,,,,,,,0.6,,,,,,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758
0.8,,,,,0.7,,,0.7,,,,,,,0.9,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759
0.8,,,0.6,,0.7,,,0.8,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760
,0.8,0.6,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.5,,,,,,,,,,,,,,,,761
,,,,,,,,,,,,,,,0.9,0.8,,0.7,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762
0.8,,,,,0.5,,,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763
0.8,,,,,,,,0.7,,,,,,,0.9,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,764
,,,,,,,,0.7,,,,,,,0.9,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765
,,,,,0.6,,,,,,,,,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767
,,,,,,,,,,,,,,,1.0,0.7,0.9,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768
,,,,,0.5,,,0.6,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769
,,,,,0.5,,,0.7,,,,,,,0.9,,,,,,,,,,,0.4,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770
0.9,,,,,,,,0.8,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771
,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.8,0.6,,,,,,,,,,,,,,772
0.7,,,,,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,774
0.9,,,,,0.6,,,0.7,,,,,,,0.8,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775
,,,,,,,,,,,,,,,0.9,,0.5,0.8,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,776
,,,,,0.7,,,,,,,,,,0.9,,,0.4,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,778
,,,,,0.7,,0.4,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,779
0.5,,,,,,,,,,,,,,,0.9,0.8,,0.7,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780
,,,,,,,,,,,,,,,0.8,,0.7,,,,,,,,,1.0,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781
,,,,,,,,,,,,,,,0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782
0.7,,,,,0.6,,0.3,,,,,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783
,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.7,0.6,,,,,,784
,,,,,0.6,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,0.8,,,786
,,,,,,,,,,,,,,,1.0,0.7,0.8,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788
,,,,,,,,0.6,,,,,,,0.9,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789
0.7,,,,,0.8,,,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,790
0.6,,,,,0.9,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,0.5,791
0.7,,,,,,,,0.8,,,,,,,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792
,0.8,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.7,0.9,,,,,,,,,,,,,,,,,793
0.7,,,,,,,,0.6,,,,,,,0.9,,,0.8,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794
0.9,,,,,0.6,,,0.8,,,,,,,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795
,,,,,,,,,,,,,,,1.0,0.8,0.7,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796
,,,,,0.6,,,0.7,,,,,,,0.9,,,0.5,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797
,,,,,,,,0.7,,,,,,,0.9,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,798
,,,,,,,,,,,,,,0.3,0.9,0.5,,,,,,,,,,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799
