Classical,Romantic,Opera,Symphony,Rock,Hard Rock,Heavy Metal,Alternative Metal,Brazilian Rock,Alternative Rock,Grunge,Pop Rock,Indie Rock,Hip-Hop,Punk,Alternative,Rap,Indie,Classic Rock,Metal,Hardcore,Progressive,Gothic Rock,Pop,Darkwave,Symphonic Metal,Death Metal,Progressive Rock,Blues,Jazz,Folk,Experimental,World,Post-Grunge,Punk Rock,Post-Hardcore,Emo,Pop Punk,Soul,Britpop,Progressive Metal,Nu Metal,Garage Rock,Psychedelic,Electronic,Ambient,Country,Indie Pop,Electro Pop,Art Pop,Metalcore,Dubstep,Rap Rock,Deathcore,R&B,Polish Pop,Gothic,Reggae,K-Pop,Funk,Soft Rock,Trip Hop,Disco,Synth-pop,Italian Music,Dance,Soundtrack,Latin,Teen Pop,Contemporary R&B,Contemporary,Industrial,EBM,Post-Punk,New Wave,Synthpop,Easy Listening,Post-Rock,Neofolk,Goth,Shoegaze,user_id
,,,,0.9,,,,,,,0.8,,,,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,8020
,,,,,,,,,,,,,,,0.8,,0.9,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,8021
,,,,0.8,,,,,,,,,,,,,,0.5,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,8022
,,,,0.9,,,,,,0.5,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8023
,,,,,0.7,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8024
,,,,0.7,,,,,,,,,,0.7,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,8027
,,,,,,,,,,,,,,,,,0.6,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8028
,,,,0.9,,,,,,,,,,0.6,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8029
,,,,,,,,,,,,,,,0.8,,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,8030
,,,,0.6,,,,,,,,,,,0.7,,0.8,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8034
,,,,,,,,,,,,,0.7,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,8036
,,,,,,,,,,,,,0.7,0.3,,0.5,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,8037
,,,,0.6,,,,,,,,,,,0.8,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,8038
,,,,0.7,,,,,,,,,,,0.4,,0.6,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,8039
,,,,0.5,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8040
,,,,0.5,,,,,,,,,,,0.8,,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8041
,,,,0.6,,,,,,,,,,,0.8,,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,8044
,,,,,,,,,,,,,,,,,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,8045
,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.9,0.7,,,,,,,,,,,,8046
,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,0.6,,,,,,,0.8,,,,,,,,,,,,,,,,8047
,,,,0.7,,,,,,,,,,,,,0.8,,,,,,0.9,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,8048
,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,8049
,,,,,,,,,,,,,0.6,,,,0.5,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,8050
,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.6,,,0.9,,,,,,,,,,,,,8051
,,,,0.6,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,8052
,,,,,,,,,,,,,,,0.6,,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,8053
,,,,0.7,,,,,,,,,,,,,,,,,,,0.9,,0.4,,,,,,,,,,,,,,,,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8055
,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,8057
,,,,,,,,,,,,,0.6,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,8058
,,,,0.7,,,,,,,,,,,0.6,,0.5,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8059
,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,0.7,,,0.9,,0.8,,,,,,,,,,,8060
,,,,0.6,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,8061
,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,8062
,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,8063
,,,,,,,,,,,,,,,0.8,,0.9,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,8064
,,,,0.9,,,,,,,,,,0.7,0.8,,,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8065
,,,,0.7,,,,,,,,,,,0.8,,0.9,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8066
,,,,,,,,,,,,,,,,,,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.9,,,,,,8067
,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.6,,0.5,,,,,8069
,,,,0.7,,,,,,,,,,,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8070
0.6,,,,0.9,,,,,,,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8078
,,,,0.8,,,,,,,,,,,0.9,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8079
,,,,0.8,,,,,,,,,,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8080
,,,,0.8,,,,,,,,,,,0.9,,,,,,,,0.7,,,,0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8082
,,,,,,,,,,,,,,0.7,0.8,,0.9,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,8083
,,,,0.8,,,,,,,,,,0.5,0.9,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8086
,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,8088
,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.9,0.5,,,8090
,,,,,,,,,,,,,,,0.7,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,8091
,,,,,,,,,0.9,,,,,,,,,,,,,,0.6,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,0.5,,8093
,,,,,,0.7,,,0.9,,,0.8,,0.5,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8094
,,,,,,,,,0.8,,,0.6,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,8096
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.7,8097
