Rock,Punk,New Wave,Indie,Post-Punk,Pop,Jazz,Classical,Dance,Traditional,Folk,Classic Rock,Alternative,Electronic,Heavy Metal,Thrash Metal,Hard Rock,Speed Metal,Hip-Hop,R&B,Latin,J-Pop,French Chanson,New Age,Fado,MPB (Brazilian Popular Music),Country,Reggae,Blues,Pop Rock,Brazilian,Metal,Acoustic,World Music,Celtic,Alternative Rock,World,Soul,Experimental,Bossa Nova,Funk,Acid Jazz,MPB (Popular Brazilian Music),Brazilian Music,Soft Rock,Pop Punk,Electronica,Indie Rock,Psychedelic Rock,Post-Punk Revival,Metalcore,Indie Pop,Indie Folk,Psychedelic,Garage Rock,Samba,Chanson,Brazilian Pop,Progressive Metal,Children's Music,Latin Rock,Folk Rock,Soundtrack,Emo,Post-Hardcore,MPB,Ax\u00e9,Hip Hop,Tropic\u00e1lia,K-Pop,Italian Music,Contemporary,Rap,Instrumental,Contemporary Christian,Gospel,Brazilian Rock,user_id
0.9,,,,,0.7,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8742
,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8743
0.8,,,,,0.7,,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8746
0.9,,,,,,,,,,,0.9,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8747
,,,0.5,,0.9,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8748
0.6,,,0.9,,0.7,,,,,0.5,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8749
0.6,,,0.9,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8750
0.9,,,0.7,,0.6,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8751
,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,8752
0.7,,,0.9,,,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,8753
,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.9,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,8754
,,,0.8,,0.9,,,,,,,0.7,,,,,,0.6,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8755
0.9,,,0.8,,,,,,,,,0.8,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,8756
,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.5,,,,,,,,,,0.8,,,,,,,,,,,,0.9,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,8757
0.9,,,0.8,,0.7,,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8758
0.8,,,0.6,,,,,,,,,0.5,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,8759
0.9,,,0.8,,,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8760
0.8,,,,,0.6,,,,,0.5,,0.7,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8761
0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,0.8,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,8762
,,,0.8,,,,,,,0.6,,0.7,,,,,,,,0.7,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8763
,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.7,,,,,0.8,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,8764
,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,0.5,0.6,,,,,,,,,,,,,,,,,8765
,,,0.8,,0.9,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8766
,,,,,,0.8,,,,0.7,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8768
0.6,,,0.9,,0.7,,,,,0.5,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8769
0.9,0.6,,0.8,,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.8,,,,,,,,,,,,0.9,,0.7,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,8771
0.7,,,0.9,,0.7,,,,,,,0.8,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8773
0.6,,,0.9,,0.7,,0.5,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8774
0.7,,,0.8,,,,,,,,,0.9,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8776
0.6,,,0.9,,0.5,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8777
0.5,,,0.9,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8778
0.7,,,0.9,,0.5,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8779
0.8,,,0.9,,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8780
0.8,0.5,,0.9,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8781
0.7,,,0.6,,0.8,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,8782
0.7,,,0.9,,,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8783
0.6,,,0.9,,0.5,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8785
0.7,,,0.9,,,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8786
,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,,,,,,,,,,,,,8789
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.8,,0.7,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,8790
0.6,,,,,0.9,,,0.8,,,,,,,,,,,0.7,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8794
,,,,,0.7,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.9,0.6,,,,,,,,,,,8795
,,,,,0.9,,,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8796
0.7,,,0.9,,,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8797
0.5,,,0.6,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8798
,,,,,,0.6,,,,,,,0.5,,,,,,,,,,,,,,,,,0.4,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,8799
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.7,,,,,,,,,0.8,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,8800
0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,8801
0.6,,0.7,,0.5,0.8,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8802
,,,,,0.9,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8803
,,,,,0.9,,,0.7,,,,,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8804
,,,,,0.9,,,0.8,,,,0.5,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,8805
0.6,,,0.9,,0.8,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8806
,,,0.6,,0.9,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.8,,,,,,8807
,,,0.6,,0.9,,,0.8,,,,,0.5,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8808
0.6,,,,,0.9,,,,,,,,,,,,,,0.7,,,,,,,0.5,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8809
0.5,,,0.6,,0.9,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8810
,,,,,0.9,,,0.8,,,,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8811
,,,0.9,,0.5,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8812
,,,,,0.9,,,0.6,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8813
0.7,,,0.6,,0.8,,,,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8814
,,,0.6,,0.9,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,8815
,,,0.8,,0.9,,,,,,,0.8,,,,,,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8816
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,0.8,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.6,0.4,,,,8817
0.7,,,0.5,,0.8,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8818
,,,,,0.8,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,8819
,,,,,0.9,,,0.8,,,,,,,,,,,0.6,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,8820
,,,0.7,,0.9,,,,,,,0.5,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8821
0.7,,,0.8,,0.6,,,,,,,0.7,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8822
,0.6,,0.9,,0.7,,,,,,,0.8,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8823
0.8,,,0.9,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,8824
0.8,0.5,,0.9,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8825
0.6,,,0.8,,0.9,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8826
