Indie Rock,Electronic,Alternative,Synthpop,Pop,Jazz,Swing,Indie,Soul,Rock,Hip-Hop,Dance,Synth-pop,R&B,Punk,Country,Folk,K-Pop,Indie Pop,Alternative Rock,Latin Pop,Dream Pop,Art Pop,Electropop,Post-Hardcore,Metalcore,Emo,Shoegaze,Post-Punk,Latin,Hard Rock,Grunge,Classic Rock,Gospel,Funk,Pop Rock,Experimental,Experimental Rock,Hip Hop,Lo-Fi,Comedy,Worship,French,Meditation,MPB (Brazilian Popular Music),Forr\u00f3,Sertanejo,Brazilian,Alternative R&B,K-pop,MPB,Samba,Symphonic Metal,Soundtrack,Reggae,Pop Punk,user_id
,,0.7,,0.9,,,,,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6314
,,0.7,,,,,,,,,,,,,,,0.6,0.7,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6315
0.7,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6317
,,0.7,,0.9,,,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6318
,0.6,0.7,,1.0,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6319
,0.5,0.8,,0.9,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6320
,,0.9,,0.5,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6321
,,,,0.9,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,6322
,,0.7,,0.9,,,0.6,,,,,,0.5,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6323
,0.7,,,0.9,,,0.6,,,,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6324
,,0.4,,0.9,,,0.5,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6325
,,,,1.0,,,,0.6,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6326
,,,,,,,0.6,,,,,,,,,0.5,,,0.9,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,6327
,,,,1.0,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,6328
,,,,0.9,,,,,,,0.6,,0.8,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,6329
,,,,0.8,,,0.6,,0.9,,,,,,0.7,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,6330
,,,,0.9,,,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,6331
,0.6,,,0.9,,,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6332
,,,,0.9,,,0.5,,0.6,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6334
,,0.8,,0.9,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6335
,0.6,,,0.9,,,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6336
,0.5,,,0.9,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6337
,0.6,0.5,,0.9,,,0.7,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6338
,,,,0.9,,,,,0.5,0.7,,,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,6339
,,,,0.9,,,0.7,,,,,,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6340
,,0.8,,0.9,,,0.8,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6341
,0.6,0.7,,0.8,,,0.9,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6342
,,0.8,,0.9,,,0.7,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6343
,,,,0.9,,,0.6,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6344
,,,,0.9,,,,0.7,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,6345
,,0.5,,0.9,,,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6346
,,,,0.9,,,,,0.7,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6347
,,0.6,,0.9,,,0.5,,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6348
,,0.5,,0.9,,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,6350
,,0.8,,0.9,,,,,,,,,0.7,,,,,,,,,0.9,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,6352
,,0.6,,0.9,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6353
,,0.6,,0.8,,,,,,0.9,,,,,,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6354
,,0.7,,0.8,,,0.9,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,6355
,0.4,,,0.9,,,0.5,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6356
,0.5,,,0.9,,,0.7,,0.6,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6357
,,0.7,,0.9,,,0.8,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6358
0.8,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.6,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,6359
,0.8,0.7,,,,,0.9,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,6360
,,0.5,,0.9,,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6362
,0.5,0.4,,0.9,,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6363
,0.7,,,0.9,,,0.7,,0.6,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6364
,0.6,,,0.9,,,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6365
,,,,0.9,,,,,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,6366
,,,,0.9,,,,,0.5,0.7,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6367
,0.6,,,0.9,,,,,,0.5,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6368
,0.6,,,0.9,,,,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6369
,0.6,0.8,,0.5,,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6370
,0.7,,,0.9,,,,,,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6371
,0.6,0.5,,0.9,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6372
,,0.7,,0.8,,,0.9,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6373
,,0.7,,0.6,,,0.9,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,6374
,,0.9,,0.6,,,0.8,,0.7,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6375
,0.7,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,6376
,,,,0.9,,,0.8,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,6377
,0.7,0.9,,0.6,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6378
,0.5,,,0.9,,,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,6379
,,0.7,,0.9,,,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,6380
,0.6,0.8,,,,,0.9,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,6381
,0.5,,,0.9,,,0.7,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6382
,0.7,,,0.9,,,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6383
,0.7,0.5,,0.9,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6384
,0.8,0.6,,0.9,,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6385
,0.8,,,0.9,,,,,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6386
,,,,,,,,,,,,0.7,,,,,,0.8,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,6387
,,0.8,,0.9,,,0.6,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6388
,0.6,0.8,,0.9,,,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6389
,,0.6,,0.9,,,0.5,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6390
,,,,0.9,,,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.5,,,,,,,,,,,,6391
,,,,0.7,,,0.8,,0.9,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,6392
,,,,0.9,,,,,0.6,,,,0.8,,,,,,,,,,,,,,,,0.7,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,6393
,0.5,0.7,,0.9,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6394
,0.7,0.8,,0.9,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,6395
,,,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,,,,,6396
,,,,0.9,,,,,,0.6,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6397
,,,,0.8,,,,,,,,,0.7,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,6398
,,0.7,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.5,,6399
,0.5,,,0.9,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,6400
,0.8,0.6,,0.9,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6401
,,0.6,,0.9,,,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6402
,0.7,,,0.9,,,,,,,0.7,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6403
,,0.6,,0.9,,,,,0.7,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6404
,,,,0.9,,,,,0.6,0.7,,,0.8,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,6405
,,0.6,,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,6406
,,,,0.9,,,,,,0.5,0.7,,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,6407
