Pop,R&B,Dance,Electronic,Indie,Alternative,K-Pop,Dance-Pop,Girl Group,Rock,Acapella,Symphonic Metal,Alternative Rock,Soul,Hip-Hop,Indie Pop,MPB (Brazilian Popular Music),Pop Rock,Nu Metal,Punk Rock,Latin,Metalcore,Country,Post-Grunge,Christian Rock,Pop-Rock,Reggae,Brazilian Hip Hop,Hip Hop,Rap,Trap,Brazilian,Metal,Punk,Hardcore,Pop Punk,Indie Rock,Emo,Brazilian Rock,Death Metal,Black Metal,Grindcore,Indie Folk,Progressive Metal,Underground,East Coast Rap,Brazilian Hip-Hop,Psychedelic,Grunge,Gangsta Rap,Folk,Reggaeton,Trip-Hop,Brazilian Music,Synthpop,New Wave,Alternative Dance,Post-Punk,Shoegaze,J-Pop,J-Rock,Dream Pop,Experimental,user_id
,,,,,0.8,,,,0.9,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1651
0.9,,0.8,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653
0.9,0.7,0.8,,,0.5,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1654
0.9,,,,,0.6,,,,0.7,,0.5,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1655
0.8,,,0.6,0.7,0.9,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1656
0.9,,,,0.8,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1657
0.9,,,,0.8,0.7,0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1658
0.9,0.8,0.7,,,,,,,0.6,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1659
,,,,0.7,0.7,,,,0.9,,,,,,,,,,,,,,,,,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1661
,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1663
,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664
0.7,0.8,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665
,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666
0.8,,,,,,,,,,,,0.8,,,,,0.9,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,1667
,0.5,,,,,,,,,,,,,0.8,,,,,,0.6,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668
,,,,0.7,0.9,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1669
,0.8,,,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,1671
,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673
,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.7,0.6,0.5,,,,,,,,,,,,,,,,,1674
,0.7,,,,,,,,,,,,,0.9,,,,,,,,,,,,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675
,,,,,,,,,0.9,,,,,,,0.8,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,1676
0.7,0.9,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677
0.7,,,,0.9,0.5,,,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678
0.8,,,,0.9,0.7,,,,0.5,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679
,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,1680
0.8,,,,0.9,0.7,,,,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1681
0.7,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.6,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682
0.9,0.7,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683
0.9,,0.8,,0.7,0.6,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684
0.9,0.7,,,0.8,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685
0.7,,,,0.9,0.9,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1686
0.9,,,,0.8,0.8,,,,0.7,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687
0.9,0.8,0.8,0.6,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688
0.9,,,0.6,,0.5,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690
0.9,,,,,0.6,,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,1691
0.9,,0.4,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,1692
0.9,,,0.7,,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1693
,,,,0.8,0.6,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,1694
0.8,,,0.7,0.5,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,1695
0.7,0.8,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1696
0.7,,,,0.6,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697
,,,,0.7,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.6,,,,,,,,,,1698
,,,0.8,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,0.5,,,,,,,1699
0.9,,,0.6,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700
,,,,0.9,0.9,,,,0.8,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,1701
0.9,0.6,,0.5,0.7,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702
0.8,,,0.6,0.7,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1703
0.7,,,0.5,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,1704
0.9,0.7,,0.5,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1705
0.9,0.7,,0.6,0.4,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706
0.6,,,0.5,0.8,0.9,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1708
0.9,,,0.7,0.8,,,,,,,,,,,,,,,,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710
0.9,0.8,,,0.6,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1711
0.8,0.9,,0.7,0.6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1712
0.9,0.6,,,0.5,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1713
0.9,0.7,,,0.6,0.6,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1714
0.9,,,0.6,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1715
0.9,,,0.4,0.5,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716
0.9,0.7,,0.5,0.6,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717
0.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,1719
0.9,0.6,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720
0.9,,0.8,0.7,0.5,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721
1.0,0.7,0.6,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722
0.9,,,0.7,0.5,0.4,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723
1.0,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724
,,,,,0.7,0.9,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,,1725
0.9,,,0.5,0.4,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1726
1.0,0.7,0.9,0.6,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1727
0.6,,,0.7,,0.9,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,1728
0.9,,,0.5,0.8,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729
,,,0.9,,0.5,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.7,1730
