Metal,Punk,Indie,Alternative,Folk,Rock,Jazz,Ambient,Indie Rock,Alternative Rock,Hip Hop,Electronic,Pop,Grunge,Drum and Bass,Dubstep,Jungle,Hip-Hop,Psychedelic,Psychedelic Rock,Noise Rock,Experimental Hip Hop,Punk Rock,IDM,Experimental,Rap Rock,Hardcore,Nu-Metal,Classic Rock,Hard Rock,Blues Rock,Southern Rock,Gothic Rock,Post-Rock,Instrumental,Rap,Post-Grunge,Nu Metal,Progressive Rock,World Music,Middle Eastern Music,Classical,Persian Classical,Trip Hop,Blues,Metalcore,Post-Hardcore,Reggae,R&B,Dance,Persian Traditional,Industrial,Downtempo,Psybient,World,Progressive Metal,Art Rock,Psychedelic Trance,J-Pop,Symphonic Metal,Heavy Metal,Thrash Metal,Anatolian Rock,Trip-Hop,Synth-pop,Traditional,Ethnic,Balkan Beats,Ethnic Fusion,Gypsy,Shoegaze,Country,Deathcore,Chillwave,Dream Pop,Witch House,Post-Punk,Avant-Garde,New Wave,Ska,French Chanson,Soul,Oldies,Alternative Metal,Indie Pop,Doom Metal,Neo-Soul,Noise,MPB (Brazilian Popular Music),Gothic Metal,user_id
,,,0.9,,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5291
0.7,,0.5,0.8,,0.9,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5292
0.6,,0.5,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5293
,,0.7,0.6,,0.9,,,,,,,0.8,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5295
0.8,,0.6,0.7,,0.9,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5299
,,,,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300
,,,0.7,,0.9,,,,,,,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5301
,,,,,,,0.9,,,,0.8,,,,,,,,,,,,,0.6,,,,,,,,,0.5,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5302
0.8,,,,,0.9,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,5304
,,0.8,0.9,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5305
,,0.6,,,,,,,,,0.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5306
,0.7,0.6,0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5307
,,,,,0.6,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5308
,,,,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,5309
,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,5310
,,0.9,0.8,0.6,,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5311
,,0.6,0.8,,0.5,,,,,,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5315
,,0.5,0.9,,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,5317
,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,0.7,,,,,,,,,,,,,,,,,,,,,5318
,,,,,,,,,0.9,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,5320
,,,,0.7,,0.8,0.9,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,5321
,,,,,,,,,,,,,0.7,,,,,,0.8,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,5322
0.6,,,0.8,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5323
,,0.6,,,,,0.7,,,,0.8,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,5324
,,0.7,0.8,,0.5,,,,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5325
,,,,,,,0.8,,,,0.7,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,5326
,,0.8,,,,,,,,,,,,,,,,0.9,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.7,,,,,,,,,,,,,,5327
0.9,,,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5328
,,,,,,0.7,,,,,,,,,,,0.5,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,5329
,,0.9,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,5330
,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.8,,0.6,,,,,,,,,,,,5331
,,0.6,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5332
,0.7,0.6,,,0.8,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,5333
,,0.8,0.7,0.5,,,,,,,0.9,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5335
,,,0.8,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.7,,,,,,,,,,,,5336
,,0.7,0.9,,0.7,,,,,,0.8,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5337
,,0.8,0.9,,0.6,,,,,,0.7,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5339
,,0.6,,,,,0.9,,,,0.8,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,5340
,,0.9,0.8,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.5,,,,,,,,,,,,,,5341
,,,,,,0.7,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,0.8,,,,,,,,5342
,,0.8,0.8,,,,,,,,0.7,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,5343
,,0.5,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5344
,,,0.7,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5345
0.7,0.8,,,,0.9,,,,,,,,0.5,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5346
,,0.9,0.8,0.7,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,5348
,,0.9,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5349
,,0.9,0.8,0.5,0.7,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5350
,,0.6,,,,,,,,,0.9,,,,,,,,,,,,,0.8,,,,,,,,,0.7,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5351
,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,5353
,,,,,,,,,0.8,,0.7,,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,5354
,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,5355
,,0.8,0.9,,,,,,,,0.5,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,5356
,,,,,,0.8,,,,,0.5,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,5357
,0.6,0.8,0.9,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5358
,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,0.8,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5360
,,0.6,0.7,,,,,,,,0.8,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,5361
,,0.9,0.8,,0.7,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,5362
0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5363
,,0.5,0.6,,,,,,,,0.8,0.7,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5364
,,,,,,,,,0.7,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,5365
0.5,,,,0.6,,,,,0.9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5366
