K-Pop,Pop,R&B,Indie,Rap,Dance,Electronic,Rock,Soul,Classic Rock,Comedy,Alternative,Teen Pop,Pop Rock,Hip-Hop,Latin,Electropop,Folk,Country,Punk,Progressive Rock,Gothic Rock,Alternative Metal,Indie Pop,Soundtrack,Classical,World,Ambient,Metal,Death Metal,Pop Punk,Art Pop,Experimental,Heavy Metal,Jazz,World Music,Symphonic Metal,Melodic Death Metal,Gothic Metal,Black Metal,Progressive Metal,Dream Pop,Classical Crossover,Progressive,Alternative Rock,Art Rock,Indie Rock,Persian Pop,Psychedelic Rock,Space Rock,Folk Rock,New Age,Post-Rock,Neoclassical,Doom Metal,Trip-Hop,Folk Metal,Gothic,Emo,Blues,Persian Rap,Hardcore,Post-Hardcore,Metalcore,Singer-Songwriter,Hip Hop,Psychedelic,Indie Folk,Britpop,Hard Rock,Acoustic,Post-Punk Revival,user_id
,0.9,,0.7,,,,,,,,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3532
,1.0,0.8,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3533
,0.9,0.6,0.7,,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3534
0.5,0.9,,0.6,,,0.7,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3535
,0.9,0.7,0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3536
,0.9,,,,,,0.7,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3537
,0.8,0.9,0.7,,,,,,,,0.6,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3538
,0.9,,0.7,,,,0.6,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3540
0.6,0.9,0.7,0.4,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3542
,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3543
,,,,,,,0.9,,,,0.6,,,,,,,,,,,,,,0.8,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3545
,,,,,,0.5,0.9,,,,0.8,,,,,,0.6,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3546
,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,0.8,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3547
,,,0.9,,,,0.5,,,,0.8,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3548
,,,,,,,,,,,0.6,,,,,,,,,0.8,,,,,,,,,0.7,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3549
,0.9,,,,,,0.8,,,,0.6,,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3550
,0.5,,0.9,,,,,,,,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3551
,0.5,,,,,0.8,,,,,,,,,,,0.6,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552
,,,0.7,,,,0.8,,,,0.9,,,,,,,,,,,,,,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3554
,0.8,,0.7,,,,0.9,,,,0.7,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3555
,,,,,,,0.9,,,,0.5,,,,,,0.6,,,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3556
,,,,,,,0.9,,,,0.7,,,,,,,,0.6,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3557
,,,0.9,,,0.6,,,,,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3558
,0.7,,,,,,0.9,,,,0.8,,,,,,,,,0.8,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3560
,,,0.8,,,,0.7,,,,0.9,,,,,,0.6,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3562
,,,,,,,,,,,0.7,,,,,,,,,0.9,,,,,,,,0.8,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3563
,,,,,,,0.9,,,,0.6,,,,,,,,,,,,,,,,,0.8,,,,0.5,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3564
,,,0.6,,,,0.9,,,,0.8,,,,,,,,,,,,,,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3565
,,,,,,,,,,,,,,,,,,,,0.9,,,0.6,,,,,,,,,0.7,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3566
,,,,,,0.6,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,3568
,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,3569
,,,,,,0.6,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,3570
,,,,,,0.8,,,,,0.5,,,,,,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,3571
,,,,,,,,,,,0.9,,,,,,,,,0.8,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,3572
,,,,,,,,,,,,,,,,,,,,0.8,,,,0.9,0.6,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3573
,0.7,,,,,,0.8,,,,0.6,,,,,,,,,,,,,,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3574
,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,3575
,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.9,0.5,,,,,,,,,,,,,,,,,,3577
,0.8,,,,,,0.9,,0.8,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3578
,0.5,,0.7,,,,,,,,0.8,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,3579
,,,0.8,,,0.7,0.6,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3580
,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,3581
,,,0.8,,,0.7,,,,,0.9,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,3583
,,,,,,,,,,,,,,,,,,,,0.9,,,,,0.5,,0.7,,,,,,,,,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,3584
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.6,,,,0.6,,,,,,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,3585
,,,,,,,,,,,,,,,,,0.7,,,0.8,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,3586
,,,0.7,,,,0.9,,,,0.8,,,,0.5,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3587
,0.5,,,,,0.7,,,,,0.9,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,3588
,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.9,,,,,,,,,,,,,0.7,,,,,,0.6,,,,,,,,,,,,,,3589
0.8,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,3590
,,,,,,,0.9,,,,0.7,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.5,,,,,,,,,,,,3591
,0.6,,0.8,,,0.7,0.7,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3593
,,,,0.5,,,,,,,0.7,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.8,,,,,,,,,,,3594
,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,3595
,,,0.9,,,,,,,,0.8,,0.5,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3596
,0.9,0.6,0.5,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,3597
,,,0.9,,,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,0.5,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3598
,,,0.9,,,,0.6,0.5,,,0.8,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3599
,0.6,,0.8,,,,0.5,,,,0.7,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600
,0.8,,0.9,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3601
,,,0.9,,,0.5,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.6,,,,,,,3602
0.6,0.9,,0.7,,,0.8,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3603
,,,,,,,,,,,0.7,,,,,,,,0.9,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.8,,,,,,,,,,,3604
,0.5,,0.9,,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,3605
,,,0.9,,,,0.7,,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3606
,0.8,0.9,0.7,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3607
0.5,,,0.8,,,,0.7,,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3608
,0.9,,,,,0.8,,,,,0.5,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,3609
,0.6,,0.9,,,0.5,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3610
,0.6,,0.7,,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3611
,0.5,0.7,0.9,,,,,,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3612
,0.7,,0.9,,,,0.6,,,,0.8,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3613
,0.5,,0.9,,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,3614
,0.7,,0.6,,,,,,,,0.8,,0.9,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3615
,,,0.9,,,,0.8,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,3616
,0.6,,0.9,,,0.7,,,,,0.8,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3617
,0.7,,0.6,,,,0.9,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,3618
,0.7,,0.8,,,0.9,,,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3619
,,,0.9,,,0.6,0.7,,,,0.8,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3620
,0.8,,0.9,,,,0.5,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3621
,0.7,,0.9,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,3622
,,,0.9,,,,0.8,,,,0.8,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,3623
,0.8,,0.6,,,,0.7,,,,0.7,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3625
,0.9,,0.8,,,,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3626
,0.8,0.5,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,3627
,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.5,3628
