Indie,Folk,Alternative,Rock,Electronic,Classic Rock,Psychedelic Rock,Hip-Hop,Hip Hop,Trap,R&B,Film Score,Experimental,Psychedelic,Pop,Alternative R&B,Indie Pop,Metal,Progressive Rock,Rap,Garage,Alternative Rock,Post-Hardcore,K-Pop,Comedy Music,Punk,Jazz,Post-Rock,Indie Rock,German Rap,World,Punk Rock,Pop Punk,Post-Grunge,Black Metal,Doom Metal,Atmospheric Metal,Dark Ambient,Synth-pop,Dream Pop,Grunge,Soul,Pop Rock,Ambient,Gothic,Dance,Synth-Pop,Shoegaze,Underground Hip Hop,Drum and Bass,Hardcore,Hardcore Punk,Folk Metal,Arabic,Christian,Industrial,Post-Punk,Country,Teen Pop,Trip Hop,Sertanejo,Funk Carioca,Nu Metal,Neue Deutsche H\u00e4rte,Christian Rock,Emo,Brazilian Rap,Hard Rock,Britpop,Post-Britpop,Latin,Brazilian Rock,MPB (Brazilian Popular Music),Brazilian,Brazilian Music,Worship,Soundtrack,Dance-pop,Reggae,Indie Folk,user_id
,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,0.9,,,,,,,,,0.6,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,8143
,,0.9,0.8,,,,,,,,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8144
,,,,0.6,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,8145
0.8,,0.9,0.6,0.5,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8147
,,,,0.6,,,,,,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8148
0.7,,0.9,0.8,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,8151
,,0.8,0.9,,0.7,,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8152
,,0.8,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,8153
0.9,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,8154
,,0.7,0.5,,,,0.8,,,0.9,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8155
,,,0.6,0.3,,,0.4,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,8158
0.8,,0.9,0.7,0.6,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8159
,,,,0.7,,,,,,0.6,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,8160
,,,,,,,,,,0.8,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8161
,,0.8,0.7,,,,0.6,,,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8162
,,,,,,,0.8,,,0.9,,,,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8163
0.6,,0.5,,,,,,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,8164
0.5,,,,0.7,,,,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8165
,,,,,,,,,,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,0.7,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,8166
,,0.5,0.6,,,,0.7,,,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8167
,,,,,,,0.6,,,0.7,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,8168
0.5,,,0.4,,,,0.6,,,0.7,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8169
,,,,,,,,,,0.8,,,,0.9,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,8170
,,,,,,,,0.6,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,8171
,,0.8,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,8172
0.9,0.6,0.8,0.5,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8173
,,0.8,0.9,,,,,,,,,,,,,,0.7,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,8174
,,0.8,0.9,,,,,,,,,,,,,,0.8,,,,,,,,0.7,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8175
,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,8176
,,,,,,,0.9,,,0.9,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,8177
,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,8178
,,0.8,0.9,,,,,,,,,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,8179
0.9,0.6,,,,,,,,,,,,,,,,,,,,1.0,,,,0.5,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8180
,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.7,0.6,,,,,,,,,,,8181
,,,,0.7,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,8182
0.5,,,0.6,,,,,,,0.7,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,8183
0.9,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,8185
0.8,,0.7,0.7,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,8186
0.9,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,8187
0.9,,0.8,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8188
0.6,,,0.7,,,,,,,,,,,0.8,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,8189
,,,,0.7,,,,,,,,,,0.9,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8190
,,,0.4,,,,,,,0.6,,,,0.9,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8191
0.7,,0.8,0.6,,,,,,,0.5,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8192
,,0.9,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,8194
0.6,,,0.7,,,,,,,0.4,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,8195
,,0.8,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,8196
,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.7,0.6,,,8197
0.6,,0.8,0.7,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,8199
,,0.8,0.9,,,,,,,,,,,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8200
0.7,,,0.9,,,,,,,,,,,0.6,,,,,0.5,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8201
,,0.8,0.7,,,,,,,0.6,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,8202
,,0.9,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.8,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,8203
,,,0.9,0.7,,,,,,,,0.5,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8204
,,,0.6,,,,0.5,,,0.7,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,8205
0.9,0.5,0.8,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8207
0.8,0.5,0.7,0.6,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8208
,,0.6,0.9,,,,,,,,,,,0.5,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,8209
,,0.7,,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,8210
0.8,,0.8,0.6,,,,,,,,,,,0.7,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8211
,,,,0.7,,,,,,,,,,,,0.8,,,,,0.9,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8212
,0.3,,0.9,,,,0.7,,,,,,,0.6,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8213
