Pop,R&B,Rock,Hip-Hop,Indie,Brazilian Music,Dance,Electronic,Alternative,Folk,Soul,Country,Synthpop,Dream Pop,Pop Rock,Indie Pop,Alternative Rock,Indie Folk,Musical,K-Pop,Disco,New Age,Trance,Progressive House,Brazilian,Indie Rock,Hip Hop,Teen Pop,Brazilian Pop,Post-Punk,New Wave,Trip-Hop,Electronica,Art Pop,Psychedelic,Latin,Gothic,MPB,Synth-pop,MPB (Brazilian Popular Music),Psychedelic Rock,Classic Rock,Brazilian Rock,Classic Pop,Metal,Progressive Metal,Gothic Rock,Symphonic Metal,Industrial,Ambient,Post-Rock,Grunge,Sertanejo,Rap,Punk,Drag,Contemporary,Dance-pop,Funk,Gospel,Bossa Nova,Drag Music,user_id
0.8,0.9,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6496
0.9,0.6,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6497
0.9,0.7,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6498
0.8,0.9,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,6499
0.9,,,,0.8,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,6501
0.9,0.6,,,,,,,0.5,,,,,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6502
0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,6503
0.9,0.8,,0.5,,,,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6504
1.0,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,6505
0.9,0.7,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6506
0.9,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,6508
0.6,,0.5,,0.9,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6509
0.9,,,,,,0.7,0.6,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6510
0.9,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,6511
0.9,0.8,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6512
0.9,,0.7,,,,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,6513
0.9,0.7,,,0.6,,,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6514
0.9,,0.5,,,,0.7,0.6,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6515
0.9,0.7,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6516
0.9,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,6517
1.0,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,6518
0.7,0.5,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.8,,6519
0.9,0.8,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,6520
0.9,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,6522
0.9,0.7,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,6524
0.8,,0.9,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,6525
