Alternative Rock,Symphonic Metal,Indie Pop,Classical,Electronic,Rock,Alternative,Metal,Punk,Pop,Country,Asian Pop,Heavy Metal,Gothic Rock,Hard Rock,Folk Metal,Power Metal,Progressive Rock,Hip-Hop,R&B,Indie,Folk,Americana,Bluegrass,Nu Metal,J-Pop,Hardcore,Ambient,Post-Rock,Jazz,New Wave,Punk Rock,Rap Metal,Alternative Metal,Post-Hardcore,Post-Punk,Garage Rock,Gothic,Dance,Teen Pop,Pop Rock,Soul,Sertanejo,Pop Punk,Samba,Latin,Gospel,Drag Music,K-Pop,Classic Rock,Brazilian,Synthpop,Gothic Metal,Metalcore,Turkish Pop,International,New Age,MPB,Singer-Songwriter,Indie Rock,Grunge,Twee Pop,C86,Psychedelic Rock,Rap,Comedy,MPB (Brazilian Popular Music),Hip Hop,Emo,Indie Folk,Synth-pop,Psychedelic,Post-Britpop,Experimental,Downtempo,Glam Rock,Soft Rock,Folk Rock,Experimental Rock,user_id
,,,,,0.9,0.6,0.8,0.7,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7727
,0.8,,,,,,,,,,,,,0.7,,0.9,0.8,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7728
,,,,,,,0.9,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7730
,,,,,0.8,0.7,0.6,,0.9,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7731
,0.6,,,,,,,,,,,0.9,,0.8,,,0.7,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7732
,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.6,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7733
,,,,,0.9,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7734
,,,,,0.7,0.8,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7735
,,,,,0.9,0.7,0.8,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7736
,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7738
,,,,,,,,,0.9,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7739
,,,,,,,,,0.9,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7740
,,,,,0.5,,,,0.9,,,,,,,,,0.4,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7742
,,,,0.7,,,,,1.0,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7743
,,,,0.8,,0.6,,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7744
,,,,0.5,,,,,0.9,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7745
,,,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7747
,,,,,0.7,,,,0.9,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7749
,,,,,,,,,0.9,0.6,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7750
,,,,0.5,,,,,0.9,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7751
,,,,,0.7,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7752
,,,,0.5,0.6,0.8,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7753
,,,,0.4,,0.5,,,0.9,0.6,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7754
,,,,,,,,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.8,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7755
,,,,0.6,,,,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7756
,,,,,,,,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7757
,,,,,,,,,0.9,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7758
,,,,0.6,,,,,1.0,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7760
,,,,0.6,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7762
,,,,,0.9,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7763
0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.8,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,7765
,,,,,0.5,0.6,,,0.8,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7766
,,,,,,,,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7767
,,,,,0.9,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,7768
,,,,,,,,,0.9,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7769
,,,,,,,,,1.0,0.4,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7770
,,,,0.5,,,,,1.0,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7771
,,,,,,,,,0.9,0.6,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7772
,,,,,0.4,,,,0.9,0.5,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7774
,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,7775
,,,,,,,,0.5,0.9,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7776
,,,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,7777
,,,,,,0.7,,,0.9,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,7778
,,,,,0.7,0.6,,,0.9,0.5,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7779
,,,,,0.5,0.7,,,0.8,,,,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7780
,,,,0.6,0.8,0.9,,,0.7,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7781
,,,,0.6,,0.7,,,,,,,,,,,,0.9,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7782
,,,,0.6,0.7,0.8,,0.5,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7783
0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,7784
,,,,0.7,0.6,0.8,,,0.5,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7785
,,,,,0.6,0.8,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7786
,,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,,,,,,,,,,,,,,,,,7788
0.9,,0.8,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,7789
,,,,0.6,0.7,0.9,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7790
,,,,,0.6,0.8,,,0.7,,,,,,,,,,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7791
,,,,0.6,0.7,0.9,0.5,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7792
,,,,,0.8,0.9,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,7793
,,,,,0.7,,,,0.8,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,7794
,,,,0.5,0.7,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7795
,,,,,0.7,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.6,,,,,,,,,,,,7796
0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,7797
,,,,0.6,0.7,0.9,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7798
0.9,,,,,,,,0.7,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7799
,,,,,0.9,0.8,0.5,0.7,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800
,,,,,0.9,0.8,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,7801
,,,,,0.8,0.8,,,0.7,,,,,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7803
,,,,,0.7,0.5,,,0.9,,,,,,,,,,,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7804
,,,,,,,,,0.9,,,,,,,,,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.4,,,,,,,,,,,,7805
0.7,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,7806
0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,0.7,,,,,,,,,7807
,,,,,0.7,0.5,,,0.8,,,,,,,,,,,0.6,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7808
,,,,,0.9,0.6,,,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7809
,,,,0.5,0.8,0.7,,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7810
0.9,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,7811
0.7,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,7812
,,,,,0.9,0.8,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,7813
0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,7815
0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,0.8,,,,,,,7816
,,,,,0.7,0.8,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.6,,,,,,,,7824
0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,7826
,,,,0.9,,0.8,,,,,,,,,,,,,,0.5,,,,,,,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7830
0.9,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.6,,,,,,7831
,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,0.7,,,,,,,,,,,,,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,7833
,,,,0.8,0.6,,0.5,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,7834
,,,,,0.9,,0.6,0.8,0.7,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7837
,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,7838
,0.6,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,7839
,,,0.6,,0.9,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,7840
,,,,,,,,,,,,,,,,,0.8,,,,,,,0.6,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,0.5,7841
0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,7842
