Post-Hardcore,Electronic,Rock,Metalcore,Alternative,Pop,Indie,Brazilian,Emo,Metal,Pop Punk,Punk,Brazilian Rock,Pop Rock,Alternative Rock,Hip-Hop,R&B,Punk Rock,Hardcore,Indie Rock,Grunge,Hip Hop,Soul,MPB (Brazilian Popular Music),Experimental,Blues Rock,Latin,Dance,K-Pop,Indie Pop,Folk,Drag,Classical,Baroque,Romantic,Contemporary Classical,Symphonic Metal,French Pop,Gothic Rock,Teen Pop,Nature Sounds,Dance-Pop,Synth-pop,Adult Contemporary,Jazz,Acoustic,Singer-Songwriter,MPB (Popular Brazilian Music),Shoegaze,Post-Punk,Dream Pop,Alternative R&B,Reggae,Brazilian Hip Hop,Country,Brazilian Music,Classic Rock,Brazilian Pop,Samba,MPB,Funk,Christian/Gospel,Worship,user_id
,,,,,0.9,,,,,,,,,,,0.8,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5635
,,,,,0.9,,,,,,,,,,0.7,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5637
,0.7,0.6,,,0.9,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5638
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,5639
,0.6,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5641
,0.8,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5642
,,0.8,,0.7,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5643
,,0.8,,0.7,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5644
,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,5645
,,0.7,,,0.9,,,,,,,,0.8,,,,,,,,,,,,,0.6,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,5646
,,0.6,,,0.9,,,,,,,,,,0.5,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5647
,,0.5,,,0.9,0.6,,,,,,,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5648
,0.4,0.5,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,5649
,,,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,0.9,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,5650
,,,,,0.9,0.6,,,,,,,,,,0.8,,,,,,,,0.7,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5651
,,,,0.5,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5652
,,,,,1.0,,,,,,,,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,5653
,0.6,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,5654
,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,5655
,,0.6,,,0.9,0.5,,,,,,,,,,0.6,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5656
,,,,,0.9,,,,,,,,,,0.6,0.7,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5657
,,0.6,,0.5,0.9,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,5658
,,0.6,,,0.9,0.5,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5659
,,0.5,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,0.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5660
,,,,,,0.6,,,,,,,0.7,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.8,1.0,,,,,,,,,,,,,,,,,5662
,0.5,0.6,,,0.9,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5663
,0.6,0.5,,0.7,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5664
,,,,0.7,0.7,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,5665
,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.5,,,,,,,,,,,,5666
,,,,,,,,,,,,,0.5,0.8,,,,,0.9,,,,,,0.7,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5667
,,0.6,,0.7,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5668
,,0.9,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,5671
,,0.8,,0.7,,0.9,0.5,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5672
,,0.8,,0.7,0.7,0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5673
,0.6,,,,0.8,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,5674
,,,,0.7,0.8,0.9,,,,,,,,,0.6,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5675
,0.8,0.6,,,0.7,,,,,,,,,,0.9,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5676
,,0.6,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,5677
,,0.6,,0.5,0.9,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5678
,,0.8,,0.9,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,5679
,0.6,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5680
,,0.9,,0.8,0.5,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5681
,,0.9,,0.6,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,5682
,,,,0.7,,0.9,,,,,,,,,,,,,,,,,,0.5,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,5683
,0.5,0.8,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,5684
,,,,,,,,,,,,,,,,,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9,0.6,,,5685
,,0.9,0.8,0.8,0.7,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5686
,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,5687
,,,,,0.7,,,,,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,5688
,,,,,1.0,,,,,,,,,,,0.7,,,,,,,,,,,0.8,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,5689
,,,,,,,,0.7,,0.9,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5690
,0.5,,,,0.9,,,,,,,,,,0.6,0.8,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5691
,,0.6,,0.7,0.9,0.7,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5692
,0.5,,,0.8,0.9,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5693
,,0.8,,0.7,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5694
,,0.8,,0.7,0.6,0.9,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5696
,,,,,0.9,,,,,,,,,,0.6,0.8,,,,,,0.5,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5697
,,0.6,,0.9,,0.8,,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5698
,0.6,0.7,,,0.8,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,5699
,,0.9,,0.6,0.8,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700
,0.8,,,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5701
,,,,,,,,0.7,,0.9,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5702
,,0.7,,0.7,0.8,,,,,,0.6,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5703
,,0.7,,,0.8,0.6,,,,0.7,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5704
,0.6,0.8,,0.9,0.7,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5705
,,0.7,,0.5,0.9,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5706
