Pop,R&B,Soul,Hip-Hop,Latin,Dance,Country,Rock,Metal,Alternative,Indie,Pop Rock,Electronic,Alternative Rock,Indie Rock,Post-Britpop,Sertanejo,Forr\u00f3,Funk Carioca,Indie Pop,Alternative R&B,Art Pop,Electropop,K-Pop,Punk,Brazilian Music,Rap,Gospel,MPB (Brazilian Popular Music),Psychedelic,Nu Metal,Punk Rock,Metalcore,Teen Pop,Folk,Synth-pop,Classic Rock,Experimental,Visual Kei,Grunge,Electro,Latin Rock,Brazilian Pop,Hip Hop,Contemporary,Funk,Indie Folk,Brazilian,Children's Music,user_id
,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6800
0.9,,,0.7,,,,,,0.5,,,0.6,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,6801
0.9,0.6,,,,,,0.7,,0.7,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,6802
1.0,,,,,0.8,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,6803
0.9,0.6,,,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6804
0.9,,,,,,,,,0.7,,,,,,,,,,0.8,,,0.6,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,6805
1.0,,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,6806
0.9,0.6,,,,0.7,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,6807
0.9,0.5,,,,,,0.7,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6808
0.6,,,,,,,,,,,0.9,,0.7,,,,,,,,,,,,,,,,,,0.8,,,,,0.5,,,,,,,,,,,,,6809
0.9,0.7,,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6810
0.9,,,,,0.8,,0.6,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6811
0.9,0.6,,,,,,0.7,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6813
1.0,0.7,,,,0.9,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6814
0.9,,,,,0.8,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,6815
0.9,0.7,,0.7,,0.8,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,6817
0.9,,,,,,0.6,0.7,,0.5,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6819
0.9,,,,,,,0.7,,0.6,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,6820
0.9,,,,0.7,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6821
0.9,0.7,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6822
0.9,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,6823
0.9,0.7,,,,0.6,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,6825
0.9,,,,,,,0.6,,0.7,0.8,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6826
0.9,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,6827
0.9,,,,,,,0.8,,0.8,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,0.6,,,,,,,,,,,,6828
0.7,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.7,,,,,,,,,,,6829
0.9,0.8,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6830
,,,,,,,0.9,,0.7,0.8,,,,,,,,,,,,,,,,,,0.6,,,,,,,,0.8,,,,,,,,,,,,,6831
0.9,0.6,,0.4,,,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6832
0.7,,,0.5,,,,0.9,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,0.8,,,,,,,,,,6833
0.9,,,,,0.8,0.6,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6834
0.9,0.7,,,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6836
0.9,,,,,0.6,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6837
0.9,,,,,,0.6,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6838
1.0,0.6,,,,0.8,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6839
1.0,0.7,0.5,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6841
0.9,,,,,,,,,0.5,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6842
,,,,,,,0.9,0.5,0.7,0.6,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,6843
0.9,,,0.5,,,,,,0.6,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6844
0.9,0.7,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6845
0.9,0.8,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,6846
0.6,,,,,,,0.7,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,6848
0.8,,,,,,,,,,,,,0.9,,,,,,0.7,,,,,,,,,,,0.6,,,,,,,,,,,0.5,,,,,,,,6849
0.9,,,,,,,,,0.7,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6850
0.9,,,,0.7,0.8,,,,,,,0.5,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,6852
0.9,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,0.7,,,,,,,6853
0.9,0.6,,,,,,0.5,,0.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6854
0.8,0.9,,,,,,,,0.6,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,6855
1.0,0.7,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,6856
1.0,0.7,,,,0.8,,,,,,,0.5,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,6857
0.9,0.7,,0.6,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6858
0.9,,,,,,,0.5,,0.8,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6859
0.9,0.7,,,,,,,,,,,0.6,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6860
0.9,0.8,,0.7,,,,,,,,,0.5,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6861
0.9,0.8,,,,,,,,,0.6,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0.5,,,,6862
0.8,,,,,,,0.6,,0.7,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.7,,,6863
0.9,0.8,,0.8,,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6865
0.9,0.7,,,0.7,0.8,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,6866
0.9,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,6868
0.8,,,,,,,0.7,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,6869
0.9,0.7,,,,0.8,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6870
0.9,0.7,,,,,,0.6,,,0.4,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6871
1.0,0.8,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6872
,,0.5,,,,,0.8,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,6873
1.0,0.8,,,,0.7,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6874
0.9,0.8,,,0.6,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6875
0.9,,,,,,,0.7,,,0.4,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,6876
