Pop,R&B,Hip-Hop,Indie,Bossa Nova,Electronic,MPB (Brazilian Popular Music),Alternative,Rock,Punk,Country,Dance,Synth-pop,K-Pop,J-Pop,Latin,Soul,Metal,Rap,Blues,Psychedelic,Symphonic,Power Metal,Gothic,Brazilian Music,Progressive Rock,Gothic Rock,Death Metal,Alternative Rock,Heavy Metal,Thrash Metal,Hard Rock,Classic Rock,Emo,Pop Punk,Alternative Metal,Metalcore,Black Metal,Progressive Metal,Experimental,Brazilian Pop,Reggae,Brazilian Rock,Hip Hop,Indie Pop,Punk Rock,Post-Hardcore,Folk,Progressive,Dark Ambient,Doom Metal,Electronicore,Folk Rock,Glam Rock,Glam Metal,Nu Metal,Stoner Rock,Atmospheric Black Metal,Folk Metal,Post-Black Metal,Symphonic Metal,Psychedelic Rock,Indie Rock,Jazz Fusion,Rockabilly,Psychobilly,Hardcore,Grunge,Ambient,Industrial,Goth,Drum and Bass,Pop Rock,Gospel,Disco,Brazilian,Instrumental,Jazz,Flamenco,Film Score,Sertanejo,Trip-Hop,Pop-Rock,Post-Punk,user_id
0.9,0.7,,0.6,,,,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7002
0.8,,,,,,0.9,,0.7,,,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7003
0.9,0.7,,,,,,,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7004
,,,0.6,,,,0.8,0.9,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7005
0.7,,,,,,,,0.8,,,,,,,,0.9,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7006
,,,,,,,,0.8,,,,,,,,,0.9,,,,0.7,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7007
0.8,0.9,0.6,,,,,,,,,,,,,,0.7,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7009
0.6,,,,,,,0.8,0.9,0.5,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7010
,,,,,,,,,,,,,,,,,0.9,,,,,,,,0.8,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7012
,,,0.8,,,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7013
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.9,0.7,,,,,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7014
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.6,,,,,,,,0.9,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7015
,,,0.5,,,,0.6,0.9,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7016
,,,,,,,0.8,0.9,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7017
,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.8,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7018
0.9,0.6,,0.8,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7019
,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,0.7,0.9,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7020
,,,,,,,,0.8,,,,,,,,,0.9,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7021
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,0.9,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7022
0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.4,,,,,,,,,,0.8,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7023
,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,0.8,,,,,,,,,,0.9,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7025
,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.8,,0.7,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7028
,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,0.8,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7029
,,,0.9,,0.7,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,0.6,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7031
0.7,,,0.8,,,,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7032
,,,,,,,0.7,0.9,,,,,,,,,0.8,,,,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7033
,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7034
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.9,,,,,,,,,,,0.7,,,,,,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,7035
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,0.8,0.9,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7036
,,,,,,,0.6,0.9,0.7,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7037
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,7038
0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.9,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,7039
0.6,,,0.9,,,,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7040
,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.8,,,,0.6,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,7042
,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,0.5,0.7,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7043
,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.8,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,7044
,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.6,,,,,,,,,,,,,,,,,,,,,7045
,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,7046
,,,,,,,0.9,0.8,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,7047
,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.8,,,,,,0.6,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7048
,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.8,,,,0.9,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7049
,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.6,0.9,,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7050
,,,0.8,,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7052
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.9,,0.5,,,,,,,,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7053
0.6,,,0.9,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,0.7,,,,,,,,,,,,,,,,7055
,,,0.6,,0.7,,0.8,0.9,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7056
0.5,,,0.9,,0.6,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7057
,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,,,,,7058
,,,,,0.8,,,0.7,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,7060
0.8,,,0.6,,0.5,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7061
0.9,0.8,0.6,,,,,,,,,0.5,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7062
0.9,0.6,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7063
0.9,0.8,,0.5,,0.7,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7064
0.9,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,7065
0.9,0.7,,,,,,,,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7067
0.9,0.4,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,,,,,7068
,,,0.7,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,0.9,0.7,,,,,,,,7069
0.9,,,0.6,,,,0.7,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7070
0.7,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5,,,,,,7072
0.9,0.7,,,,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7073
0.9,0.7,,0.5,,,,,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7074
,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.7,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,0.4,,,,,7075
0.6,,,0.9,,,,0.8,0.7,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7077
0.8,,,0.7,,,,0.9,0.7,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7078
0.9,,,0.6,,,,,0.7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,7079
0.8,,,0.9,,,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7081
0.8,,,0.6,,0.5,,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7082
0.7,,,0.9,,0.5,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7083
0.8,,,0.7,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,7084
0.7,,0.5,0.8,,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7085
0.9,0.7,,,,,,0.5,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7086
0.9,,,0.7,,,,0.6,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7087
0.9,,,0.6,,,,0.5,0.7,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7088
0.7,,,0.6,,,,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,7089
0.9,0.7,,,,0.6,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7090
0.9,0.6,,0.5,,,,,0.7,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7091
0.9,0.8,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7092
0.6,,,0.8,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7093
0.9,0.8,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,7094
0.9,,,,,,,,0.6,,0.5,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7098
,0.8,,,,0.7,,,,,0.6,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,7099
0.9,0.8,,,,,,,0.5,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,7100
1.0,0.6,,,,0.7,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7103
0.9,,,,,0.7,,,0.6,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7104
0.9,,,0.6,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,7105
,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,0.6,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,7106
,,,,,,,0.8,0.9,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7108
0.5,,,0.9,,,,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,7109
