Indie,Pop,Alternative,Electronic,Rock,Pop Punk,Alternative Rock,Indie Rock,Emo,Hip-Hop,Nu Metal,Post-Hardcore,R&B,Dance,Soul,Broadway,Country,Latin,Folk,Jazz,Brazilian,Christian/Gospel,Experimental,Latin Pop,Reggae,Punk,Pop Rock,Rap,Metal,K-Pop,Contemporary,Teen Pop,Dance Pop,Contemporary R&B,Symphonic Metal,Indie Pop,Gospel,Sertanejo,Classic Rock,Psychedelic Rock,Blues Rock,Britpop,Ambient,Gothic,Synthpop,Trance,New Wave,Soft Rock,Blues,House,Techno,Electropop,Samba,Italian,J-Pop,MPB,World Music,Post-Punk,user_id
0.7,0.9,0.6,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814
,0.8,,0.6,0.7,,,,,,,,,,0.5,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815
,0.9,,,,,,,,0.7,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816
,0.9,,,,,,,,,,,0.7,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817
,0.9,0.6,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818
,0.9,,0.5,,,,,,0.7,,,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819
0.7,0.8,,,0.5,,,,,0.6,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821
,0.9,,0.7,0.5,,,,,,,,,0.8,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822
,0.8,0.5,,0.7,,,,,,,,,,,,,,,,,,,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823
,0.9,,,,,,,,0.6,,,0.7,0.8,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824
0.7,0.6,0.9,,0.8,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827
0.7,0.9,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828
,0.9,,,,,,,,,,,0.7,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829
,0.7,0.8,,0.9,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830
,0.9,,,,,,,,,,,0.8,0.6,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831
,1.0,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,833
,0.9,0.5,,0.6,,,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,836
,0.9,0.4,0.7,0.6,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837
0.6,0.9,0.7,,0.7,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838
,0.9,0.7,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,839
0.7,0.9,0.4,,0.5,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840
,1.0,,0.6,,,,,,,,,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841
0.7,0.9,0.5,0.8,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844
0.7,0.9,0.5,,,,,,,,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845
,0.9,,,,,,,,,,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846
,0.9,,,,,,,,0.7,,,0.8,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847
0.9,,0.8,0.7,0.6,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848
,,,,,0.8,0.7,,0.7,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,849
,0.9,,,,,,,,,,,0.7,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,850
,1.0,,0.6,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851
,1.0,,0.5,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852
,1.0,,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,853
,0.9,,0.6,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,854
,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,855
0.6,0.9,,0.5,,,,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857
,0.9,0.6,,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858
0.6,0.9,,0.5,,,,,,,,,0.7,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859
0.5,0.9,,0.6,,,,,,0.7,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860
,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,0.9,0.8,0.6,0.5,,,,,,,,,,,,,,,,,861
,0.9,,0.6,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862
,0.6,,0.8,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,0.9,0.7,,,,,,,,,,,,,,,863
,0.9,,0.7,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,864
,0.9,,,,,,,,,,,0.8,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,865
0.5,0.6,,0.8,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,866
,1.0,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,867
,0.8,0.6,,,,,,,0.9,,,0.9,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868
,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,0.7,0.6,,,,,,,,,,,869
,0.7,0.5,,0.8,,,,,,,,0.6,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870
,0.9,,0.6,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871
,0.9,,0.7,,,,,,,,,,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872
,0.6,,,0.7,,,,,,,,,,0.6,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,873
,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.7,0.6,,,,,,,,874
0.8,0.6,0.9,,0.7,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875
,0.9,,,0.6,,,,,0.8,,,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876
,1.0,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,877
,0.9,,,,,,,,,,,0.8,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878
0.6,0.9,,,0.7,,,,,,,,,,0.6,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879
0.7,0.8,0.6,0.5,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880
0.5,0.9,0.7,0.6,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881
,0.9,,,,,,,,,,,0.6,0.8,,,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882
0.5,0.9,,,0.7,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883
,0.9,,,,,,,,,,,,0.6,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,,,,,884
0.8,0.9,0.8,0.7,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885
0.4,0.9,,0.5,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886
,0.9,,0.8,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,887
0.7,0.8,0.7,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,888
,,,0.6,,,,,,0.7,,,,,0.8,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,889
0.7,,0.6,,0.9,,,,,,,,,,,,,,,,,,,,,0.8,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890
0.8,0.9,,0.5,0.6,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891
,,,0.8,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,0.6,,892
,0.9,,,0.6,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893
0.7,0.9,0.8,0.5,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894
,0.9,,0.8,,,,,,,,,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895
0.7,,0.9,0.6,0.8,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896
,0.9,0.6,,,,,,,,,,0.7,,,,,0.5,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897
0.4,0.9,0.7,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898
0.9,0.7,0.8,0.6,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899
0.6,0.5,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.9,,,901
,1.0,,0.5,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902
0.7,0.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,0.7,,,,,,,,,903
0.9,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0.7,904
0.8,0.6,0.9,,0.7,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905
0.9,0.7,0.8,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906
,0.9,0.7,,0.6,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907
,0.8,,0.6,,,,,,,,,,0.7,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908
,0.9,,0.7,,,,,,,,,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909
,0.9,,0.5,,,,,,,,,0.7,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910
0.8,0.9,0.7,0.6,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911
